Company,Model,Year,Reviewer,Date,Title,Rating,Review
buick,cascada,2016,Tom in Pittsburgh, 07/31/2016,Still a Great Looker and Enjoyable to Drive,4,"I enjoy driving the car more and more each day. The ride is smooth on good roads, a bit bumpy on uneven roads (sport suspension). Our roads are hilly and windy here in Pittsburgh, but the Cascada handles the road exceptionally well. Seat and steering wheel adjustments are very accommodating. Initially I was concerned about the rear view visibility and the enclosed feeling with the roof up, but have no problems. The curvature of the two side mirrors is such that half of the lane behind me is visible in each of the side mirrors. Although the rear window is small, and is at an angle that reduce the visibility even more, between the rearwiew mirror and the two side mirrors visibility is pretty good. I have always had cars with sun roofs or panoramic roofs, so I was not sure how a solid black roof over my head will feel. I guess because of the huge wind shield and all the surrounding glass, there is absolutely no enclosed feeling. The trunk is small with the roof down, but that was expected with a convertible. It is a good size with the roof up except for the trunk opening. I am not a golfer, but I do not think that a golf bag would fit through the opening; of course there is always the back seat. In other reviews there have been a lot of comments about outdated dash, and too many buttons. True, there are a lot of buttons, but most of them are duplicates of the touch screen buttons.  Just have to get used to when to use which button, touch screen or dash. I particularly like the ""Destination"" button on the dash, it eliminates going through several menu selections for selecting destination. The other feature that I like is that you can have the navigation displayed on the small screen between the speedometer and the tachometer, leaving the main display for other things, radio, CD music track and the like. It is cleverly designed, in addition to the voice instructions the direction of the next turn is displayed as an arrow and there is a progress bar that gets smaller as you approach the turn, very good. There are numerous technological features on the Cascada that you have to pay extra for with other cars. Blind spot monitoring is not included, but there is parking assist, lane departure warning, collision prevention warning, back up camara, road following headlights, cornering lights and several other safety and convenience features. Some reviewers had issues with the collision prevention, parking assist warning and low resolution back up camera. Both of the assists worked as intended for me; I just have to remember to turn off the parking assist before going through a car wash. As for the low resolution back up camera, let's be realistic, if it shows and alerts the driver that there is an object behind the car that could possibly be hit it did it's job, hi-res is great watching movies, but a pavement?? I have had several convertibles, and they all leaked going through car washes. Now granted, cars are better built nowadays, and car washes came along way in improving how they clean a car, but my the Buick Cascada does not leak. In my opinion it is a very attractive car with the top up or with the top down. Acceleration is exceptionally good considering the weight of the car and the engine size, yes there is room for improvement, but remember you get a lot for what you spend. So far I am very pleased with my Buick Cascada. If my review is still up on the website by the time we get snow here in Pittsburgh, I will update the review on how the Cascada handles winter driving on hilly windy roads and on cold temperatures features, heater, defogger, heated steering wheel and the like. 

Updated February 12, 2020. I enjoy driving the car more and more each day. Now I have had it for almost four years without any problems. Other than the usual tire rotation, oil and oil filter replacement and other routine maintenance item, the car had no
 mechanical breakdowns or electrical faults. Unfortunately, Buick decided to not sell the Cascada here in the United States after 2019, but I can enjoy driving it till 2029 and still get parts for it if needed. I will properly maintain and keep this convertible as long possible; it has been one of the best cars that I/we have owned. It’s stylish, fast, comfortable, fun, well equipped and did not cost as much as similarly equipped convertibles. After almost four years I still get compliments on the style and color (Flip Chip Silver Metallic) of the Cascada.
The only drawback is that it is not very good in the snow using all-season tires. There are some new all-season tire designs from Nokian with unique tire thread patterns that I will try next.
Updated August 17 2020. Still no mechanical, electrical or convertible roof problems. Seems to be a change oil, filter and rotate tires type of a car. Too bad it is no longer manufactured.
Read more
"
buick,cascada,2016,Bobw, 05/19/2016,In its own league,4,"Bought this car for my wife (she loves it), and to be fair we have not had it but for a few weeks. I was looking for the great American convertible, something like a 1960s Buick LeSabre or Pontiac Catalina, but alas the big, roomy American verts are long gone. I was going to get a 2 series BMW (tiny back seat) or a CPO E350 (same price, 4 years old) convertible, but I went to see this car, too. Glad I did.

This car has a comfortable, adult-sized back seat, big trunk for a vert, drives well, has wonderful front seats, and looks great (blue with the cream interior). It feels solid. Despite some of the pundits' reviews, the car feels plenty quick if not sports car quick (this car is not a sports car but a cruiser, which is what I wanted). The top works like a dream and the car is very quiet with the top up. Bose stereo is solid. 

The few negatives are no memory driver's seat; the low profile 20 inch tires can be jarring on rough pavement; rearward view with the top up is poor; and it is not really an American car, despite the nameplate. Some others have complained about the gadgets in the car like nav and lane change assist, but I have an I-phone for nav (although the Buick's nav works okay) and I can drive without some electronic nanny steering my car. As far as they go, these gadgets work okay, but I do not need them or want them on this or any other car. If you want a relatively affordable convertible that looks great and makes you smile, this could be your car.

Update: Have had the car for about six months and we have loved every minute of it. Great car.

Update: The car now has 26,900 miles on it. So far we’ve had two unscheduled maintenance issues, one being a tire puncture and the other being a windshield washer motor that went out, and which was repaired under warranty. We still love the car and would recommend it.

Update: This is more of a suggestion for owners. Buick recommends a very high 35 PSI (cold) for tire pressures, presumably to enhance gas mileage. I have run the car at between 30 - 32 PSI (cold) and it makes the ride much more comfortable over rough pavement, and where I live rough pavement and potholes is the norm.
"
buick,cascada,2016,SydC, 03/31/2016,Classy convertible,5,"Had the Cascada for a month now and it is a joy to drive.  It has a classy design and great leather interior that is extremely well designed.  We recently went on first road trip of 1100 miles and it was great.  We encountered strong winds in New Mexico and the Cascada went straight as an arrow while other vehicles were all over the place.  We held the speed at 80 MPH and got 26 MPG which is actually pretty good considering all the headwinds.   Cascada allows the user to get extra room in the truck if the top is up by merely pressing forward the device that holds the top in the trunk.  We had lots of room for a very large suitcase and three other carry on type bags(also could easily hold a set of golf clubs in this mode).  The sound systems is top of the class and can be easily heard because the road noise is kept at a minimum on the Cascada(yes even at 80 MPH).
"
buick,cascada,2016,Scott S., 06/13/2016,Beautiful rattling tin can,2,"To date, the 2016 Cascada with 5148 miles, has been in the dealership service lane 5 times, all for the same reason.   

The convertible top is faulty.   

I initially took the car in due to a very odd knocking and popping sound coming from the rear of the vehicle.  My first dealership said it was road noise and I had to deal with it.  This was literally metal on metal banging...    After I insisted the dealer attempt to diagnose the noise concern, a technician somehow broke the interior panel but didnt tell me, nor replace the actual part.  I then received a message once again stating the knocking was just road noise and body-flex and couldnt be fixed.    After contacting Buick, I was connected to another dealership which took the time to review the knocking and found the broken panel, and also a screw that wasnt seated properly.   Drove home in complete quiet.  

Three days later...

The knocking was back and this time I had a leak on the opposite side of the car.   Back to the dealer...    They adjusted the top and replaced the seal as the dealer stated the seal had managed to fold incorrectly and formed to that shape and had to be replaced.   Further adjustments to the top and the knocking was gone again.  

A week later...

The banging and knocking is back.  The interior panel that was replaced has again disconnected and is flapping around constantly.   Adjusted, reseated, no more knocking.   

A week later...

banging is back again.    Returned to the dealer and had a technician drive the car.   After a day in the shop the technician decided to replace a guide pin for the top cover.   Noise gone again.   

3 days later...    Knocking and clacking is back, I have a leak, and the chrome trim was gouged by the service team during the last service.   Being returned to the dealer.  

At this point, the 2016 Buick Cascada has become the biggest let down / regret of my car purchasing life.   

Though the service team has been polite and helpful, I didnt buy the vehicle for it to be in service more than I am able to drive it.    Definitely regret the whole purchase at this point.

UPDATE:    12/14/2016     GM and I reached an agreement that included a buy-back of the Cascada.
"
buick,cascada,2016,Joe Sabin, 05/03/2016,Just What We Wanted,5,"We wanted a convertible, I wanted something fun to drive with style. I owned a Lotus Elise, but that was too small as we aged, so we were looking for something a little bit more. We looked at the Audi A3, but if it had the features of this (German company Opel) car, it cost $12K more. 

I didn't buy it to turn heads, but to be honest, it gets a significant amount of attention. Maybe not like the Lotus did, but it's a very good looking car. It's not fast, but it handles well, I love the front end suspension that handles the vagaries of the road and stops the odd bump from pulling the steering. Very nice feature. 

Overall this is a great touring car with an amazingly quiet interior even with the top and windows down. It's also got super spousal support, a moderate price, and solid overall performance. Take a look, I promise you won't be disappointed...IF you are willing to keep an open mind and realize a Buick can be pretty cool.
"
buick,cascada,2016,Bob Edmondson, 05/10/2016,Computer problems,5,"Buick was never able to fix the computer/electrical problems on my 2017 Buick Cascada, so they gave me a new 2018 Buick Cascada at no cost to replace it.  I am very very happy and pleased with the new vehicle and have experienced none of the problems encountered with the 2017 model.  I do wish that the car had automatic braking and blind spot detection.  Other than that, I and all my lovely grandchildren absolutely love the car.
This Buick continues to be a great car.  I live in Southern California which commonly has wonderful top down weather and many beautiful drives to take with the top down.  I also have lots of grandkids, all of whom absolutely love driving (or being driven in) the Cascada.  No mechanical problems at all.  Love it.  Exclamation point.  Was saddened to see Buick drop the Cascada, was going to buy another one within the year.
"
buick,cascada,2016,Rich, 05/14/2016,My Wife's New Convertible. Updated 11/19/20,4,"Our new Deep Sky Blue Cascada, purchased in March of 2016, replaces our faithful old Chrysler Sebring JXI.  My wife loves convertibles and this car is a nice one.  So far she has logged just a few hundred miles but they have been surprisingly enjoyable.  The turbo 4 has better then expected performance and the handling is crisp.  Not a floaty ride like Buick's of yore.  Much has been made of all of the buttons on the dash, but most are only used occassionally and you quickly get used to the layout.  The seats are comfortable and the convertible top, and it's mechanism, are awesome.  So far we haven't found  much not to like about this car.  Styling is extremely attractive from every angle and the car gets a lot of compliments.  At $37K, the price seems reasonable for what you get.  Our old Sebring listed at $27k when new back in 2000, and it is no where near as well equipped.  The car has some nice Euorpean touches, like the redundant set of tail lights when the trunk is open and the side signal lights on the front fenders. As for fuel economy, we recently averaged 28.6 mpg on a day trip here the DIC showed an average speed of 46 mph city/highway.  We are looking forward to enjoyable summer driving with this car.

Update:  November, 2016 -  Enjoyable summer with the Cascada.  Fun car to drive.  Current mileage is around 3,000 with no problems encountered.  Still getting a lot of positive comments.

Update: May, 2017 - Still enjoying this car.  No winter problems and no problems with the vehicle.

Update: May, 2018 - Two winters, no problems.    We still really like this car.

Update: November, 2018 - We really enjoyed our third summer with this car.  It has been totally reliable with zero problems.  My wife still gets a lot of compliments on the car.  I recently found a Cascada Owner’s Facebook page and I see many similarly happy owners worldwide.  Unfortunately it seems that 2019 may be the last year of production due to GM’s sale of Opel.

Update: November, 2019 - Right around 11,000 miles now and we are still enjoying this vehicle.  It will be four years old this coming March and still looks and rides as new.  One problem this year.  The shark fin antenna for XM radio went bad and was replaced under warranty.  Sadly production of the Cascada has ended due to the GM sale of Opel and there just are no comparable convertibles left in the marketplace.

Update:  May, 2020.   Cascada is now beyond its initial 4-year warranty but has no issues.  Still runs and looks as new after 4 Ohio winters.  No new problems encountered.  Still a very enjoyable little convertible.

Update November 2020

12,000 miles.  Didn’t drive as much this summer due to Covid restrictions.  Still enjoying this car and it still gets a lot of compliments.  Replaced the battery this month at almost 5 years old.  $220 installed by dealer.
"
buick,cascada,2016,Joe A., 06/30/2016,Great car once it meets potential,4,"Went to learn about cascada and test drive at Buick near me. Showroom car looked beautiful in and out. I wanted to see the trunk but it couldnn't be opened by anyone in the dealership. Trunk has no keyhole (does not use a key to open)  or open lever or switch  inside the car, the only way to open is to press a plate on trunk hood. Problem, is that the battery was dead and that wouldn't work!  Disappointed the driver seat has no memory! More consideration for back seat passenger as seat stops if knees are hit. Problem is that I don't ever have passengers in the back seat. Fake alarm system above front windshield. Was told 2017 will bring an alarm sensor for when the top is down. Liked that however Started think I should wait for next model. Hands free microphone worked ok with top down. Radio speaker quality is very poor. Top went up and down amazingly. Not having to use latches to lock the top is a great feature. Premium accessories include a windbreaker that has to be manually attached each time to avoid draft on driver/ front passenger bak and same for back seat.  Didn't like the sound of that. I didn't test it though. Really enjoyed the ride. Acceleration is ""underwhelming"" in that the downshift is slow even though it did pick up speed better than expected. Overall, I really want this car! This could very well be my next car and first convertible. But I will wait for next year's model with improvements I hope will make me want to drive right out of the show room as soon as possible.
"
buick,cascada,2016,Ray, 05/07/2017,"Great car, Great value",5,"Bought my 2016 Cascada convertible Sept. 2016., took it down to Fla. for the winter.I had people pulling up to me at stop lights asking what kind of car it was, they all thought it looked Great.Drove it down to Key West, what a Great drive with a convertible.It was kind of funny, we started counting Mustang convertibles on the way down, it was like every 5 or 6 cars was a mustang convertible, I think we saw 1 Cascada. The one thing I think the engineers missed, if you are driving alone with the top down, the passenger seatbelt starts banging on plastic trim once you hit around 25 miles an hour.I've looked at other convertibles and they have the belt clip up tite to the top so it is not loose to bang around.also could make Nav. System more user friendly.All in all ,Great car.
"
buick,cascada,2016,Cal, 03/20/2016,SUMMER'S AROUND THE BEND,5,"It is a very solid car.  It handles very well and holds the road/corners really well.  It is not a high performance car, so if you want one get a mustang or camaro.  The 4 cylinder turbo moves you down the road really well but your not going to use the car at a drag strip.  All the controls are there in front of you and I like that it has a key to start. I'm not a fan of start buttons, kind of brings back the 50's with the starter on the gas pedal.  Everywhere i go people are very positive about the cars looks and should bring in lots of traffic to the dealership.  It's fun to drive and that's what it should be about.  It's a great go for a drive car with the top down and on those really hot days the a/c works really well and keeps you comfortable. I now have 33,000 trouble free miles and is still a dream to drive.  Once it hits 65 degrees it's top down and out for a ride
"
