Company,Model,Year,Reviewer,Date,Title,Rating,Review
chrysler,300,2005,marivr, 04/10/2015,2005 chrysler 300 limited w/3.5L.,4,"In 2005 my dad bought this car new. While he maintained it Well I (now 21) grew up with this car. He used this beauty for work which meant the trunk was always full of construction equipment. Its now April 2015 and I inherited the car And drive it regularly.  
Point being the car has 271,000 miles And still drives like the day I rode home in it. Its never had any work done. Just oil gas and tires. Best car ever. "
chrysler,300,2005,Greg Caron, 09/26/2016,Dream car,4,"I fell in love with these cars about 8 years ago when I had one as a rental. When it was time to buy another ""new"" used car I shopped specifically for this. I had quite a time because I wanted the C model in black with lower miles. I ended up driving 630 miles to & 630 miles back to get it & I love it so far. The C is loaded & has a Hemi...I recommend the Hemi for the power. It only gets 2 mpg less than the 6 cyl 3.5 & I average over 25 mpg on freeway. The interior is very comfortable, it brakes very well & handles well. The sound system is awesome but because the car is 11 years old the navigation system is outdated & has no touch screen or back up camera. For the price of the disc required to update I can buy an after market unit that has all of these features & it will fit right into the dash w/o modifications. There are outstanding airbag recalls that I will have to take care of & the worst thing is that when you fill up the car all the way it stalls. This is a known problem with this & several Chrysler cars & fortunately about 2 years ago they finally agreed to extend a lifetime warranty to the gas tank which will need to be replaced. I have arranged to take it in to dealership & this work will be free of charge. Overall for as nice as this car is, with only 75,000 miles & for the price I paid...$8750 I believe its a bargain. They are out there to be found but some dealers think they are worth $10-12k...Don't pay that. Find one & stick to your guns. Many of the dealers who initially laughed at my offer are now calling me ready to sell after sitting on there cars for a couple months...but of course they are too late.
"
chrysler,300,2005,jersey guy, 07/10/2010,I Stole This Beast!,5,"Second 300, this one is a Hemi.  The salesman told me it was driven by an old lady, of course it was!  Truth is I met her and it was all true. Her husband died and she had to get rid of it.  It has 11,965 miles !! Every option and it is very fast and very comfortable.  I just back from a trip to Vegas, averaging 75 MPH.  At 110 degrees out with the A/C on I still averaged 22 MPG.  I only use Regular gas and it runs fine.  This is a keeper for a long time. Buy one, they are out there for good prices. You won't regret it!"
chrysler,300,2005,Gmedina, 07/31/2015,Awesome ! High perfomance car!,5,"I just bought an 05 300 C SRT 8 and I'm loving this car! it reminded me of my prime time when I used to have a 77 Trans Am ! I never taught I would see another car like that 77 (performance and handling ...even looks)and this SRT 8 really exceeded my expectations.
"
chrysler,300,2005,Griff, 07/16/2006,simply honest,5,"great car.  always turns heads with its great design.  i can not go anywhere without being stopped by men and women alike asking ""how do you like your 300,  i love the look and wish i had one!""  i'm proud to drive and own this fabulous Chrysler product.  the other car makers are scratching their heads and wondering what they are going to do next to compete.  go drive one for yourself and see what all the hype is about...you will not stop thinking about the car untill you have one.  thanks Chrysler!  "
chrysler,300,2005,DE Austin, 12/12/2009,Lord blessed me with a great find,4,This car can go -  This car is loaded and drives and acts like a luxury car or a fast sports car...Now I am the one asked to driver everywhere.  I think Chrysler and Dodge get a bum rap!!  The great Lord blessed me with an awesome find...
chrysler,300,2005,marlonm, 04/03/2010,Great car,4,"I have 121,000 miles on my 300C and still love the car. In general, it has been reasonably reliable and is certainly fun to drive. I would buy one again."
chrysler,300,2005,homer, 08/16/2006,My Chrysler,4,"Look me Over but please don't touch is how i feel about my Chrysler. And thats what I get. A lot of lookers and nice car. What is it ? I drove the 300 in the sixties and now in the 21 century. What a car. Nice to drive and I feel very safe with all air bags the electronic steering system and the AWD.I drove big brother the Merc's and yes a little softer ride but thew 300 is great. If I have one comeback it is the navagation system, for $1400 it could be a lot more and the car arrived with a data disc three years old in development. The tires are not wearing as they should I am getting 1/2 tread todate and only 15000 miles no help from the dealer or the tire manufactor ""Contintal."
chrysler,300,2005,GooseLyne, 08/17/2009,A Dream,5,Sole owner from 3 miles to recently rolling over 145000. Five years of ownership and all I have replaced is a EGR Valve last May and a rear speaker that I blew out myself. To compare this car to a Audi or Honda or Toyota is a huge mistake. They have no where near the same in-cab room and feeling of comfort on the surface of the road. The low-long body allows for tight turns and an excellent grab on the pavement. The small V6 is well enough for highway and in-town acceleration. There is no other car (under 30000 dollars) on the market with an average MPG of 25 to 28 and a presence on the road of captivating aesthetics and size that can swallow similarly priced sedans.
chrysler,300,2005,G1NA3C, 12/23/2009,My Experience,3,"Exterior aesthetic appeal is undeniable, however interior budget cuts are evident. Leather is cheap, and not supportive - sadly MOPAR engineers have yet to achieve a benchmark ride akin to Cadillac/Lincoln. However as prior owners of both, neither can compare to the pure acceleration and road manners of 5.7/340hp 300C.  Approaching 100k (5W20), w/ no mechanical problems to mention. Still avg range 320City/+400hwy varied elevation/region/driving conditions including snow. Very powerful, compliant, and forgiving platform. Thoroughly do the research and test drives, the Hemi is kicking with class leading fuel economy. On a more juvenile level, it just feels good."
