Company,Model,Year,Reviewer,Date,Title,Rating,Review
ferrari,portofino,2019,Bnkrboy, 09/28/2019,Horsepower the Italian way!,5,"The Portofino is NOT a cheap Ferrari. The build quality and R&D that went into the Portofino is absolutely top notch. This car is a wolf in sheep’s clothing. Push the revs above 5k and the whole car changes. It’ll surprise you, know where you want to go and have the car pointed that direction before slamming the accelerator to the floor! Truly the next generation of Ferrari’s commitment to top quality materials and design. This is a drivers car. 
"
ferrari,portofino,2019,Robert, 09/13/2020,Awesome looking and ride,5,"Test drive it and you will be sold
"
ferrari,portofino,2019,SirWallSt, 09/13/2020,A Very Satisfied Portofino Owner,5,"It took six months for my Ferrari Portofino to be built and shipped to my eagerly awaiting garage. It proved to be worth the wait. While I rarely drive it, as it’s 3,430 miles will attest to, I enjoy its ownership everyday. "
ferrari,360,2001,Duane Lyons, 11/02/2002,360 Modena Review,4,"This is the most awesome Ferrari I have 
owned! Great looks and performance! 
Much better than the 355 and 550."
ferrari,360,2001,catman, 06/07/2003,360 in vegas,5,"Having owned Porsches all my adult life 
even though Ferraris were available, 
the 360 Spider with F1 trans was a car 
to drive everyday as the Porsche. The 
hard part to find one. I finally 
acquired one and it has been a ball. 
Sitting still the car moves people and 
on the highway it moves the driver. The 
Tubi exhaust gives you that added plus 
going through the underpasses and 
tunnels, takes it right to Monte Carlo 
and F1 races."
ferrari,360,2001,Porsche Crazy, 09/05/2005,"Always Wanted One, Finally Got One",5,"We've had the Spider almost a year and have enjoyed every moment.  Not only is it reliable but gets more thumb's up from people on the road than our 355 Berlinetta or 911 Turbo ever did.  Lots of power, excellent sound, great handling; this car is a complete package.  "
ferrari,360,2001,Adam Rappin, 06/11/2002,Excellent,5,"This is the greatest car you can ever 
buy. It has leather interior and very 
very comfortable."
ferrari,360,2001,Speedy, 10/14/2008,360 Modena NY,4,"Upgraded from a Porshe 911. As far as the handling, it's hard to say. The 911 is like a roller coaster on a track. The sound and the power of the 360 is amazing! The car screams so loud, you really do not need a radio in this car. The exhaust is music to my ears. All in all, it's AWSOME !!!"
ferrari,360,2001,RobertMcDonald, 06/21/2002,Great car... to constantly be repairing,3,"Ah, Ferraris... Nothing quite like 
them in the world. The 360 Modena is a 
great example. Performance, beauty, 
and the reliability of a Mazda or 
Ford. No, worse than that. Look 
forward to constant repairs, many 
annoying problems, and spending a lot 
of time at the dealership. Do yourself 
a favor and only plan on using it on 
weekends. Day to day, I'll take an NSX 
or 911."
ferrari,360,2001,adam penske, 06/27/2002,What Was I Thinking?,4,"It's gorgeous!  It's fantastic.  But 
it's still Viper fodder.  What ever 
happened to the days that Ferrari meant 
the absolute best?"
ferrari,360,2001,James J. Cone, Esq.,One Great Car,4,"Ferrari has outdone themselves with 
this beauty.  This car handles so well 
it makes diving fun.  I recommend that 
you take lessons on hw to drive a 
performance car first, this was you can 
enjoy the ride so much more.  I can't 
wait for next summer when I will buy my 
third Ferrari, The Enzo."
ferrari,360,2001,redpoorsche, 05/17/2004,Moody Modena,4,"I love my modena...as far as specialty 
cars go, it is one one of the most 
reliable.  Lots of trunk room and 
behind the seat room if you have the 
carbon fiber racing seats.  I call it 
moody because it is very specific about 
EVERYTHING you do, from foot on the 
brake, resetting the ignition kill for 
the alarm, to turning off the car in 
gear.   There are lots of rules and 
regulations you have to abide by in 
order to drive this car or you will be 
buzzed and beeped at constantly.  If 
you are type A, it should be no problem!"
ferrari,360,2001,Rick, 06/03/2005,360,5,An all around excellent car.  What an improvement over the F355
ferrari,360,2001,ChiCrazy, 04/26/2006,One of the best,3,"Outside of my McLaren and Lamborgini Diablo (both are silver), this is my favorite weekend car.  My 360 Spyder is red. My ex-girlfriend liked the syling of this one best.   For comfort, I go with my Arnage R Turbo or Phantom though - but I'll leave that review for those pages :)   "
ferrari,360,2002,ScuderiaF1, 08/22/2008,"A magnificient, but unreliable beauty",3,"Stalled the first day I had it. Engine warning light came on second day. After a week the ""Slow Down"" warning light came on and it would occasionally not start...unless you had someone rock the car back and forth while you tried to get the transmission in to neutral using the paddles. It has been in the service garage longer than my own garage. It's under an extended warranty. It is an absolutely gorgeous piece of art though and it converted me (a Lamborghini enthusiast) to Ferrari when I saw it at the dealership. It is the most beautiful looking Ferrari in my opinion - better looking than the newer F430. The sound is great also. The glass hood over the engine is a nice touch. "
ferrari,360,2002,tim zhou, 01/30/2003,my ferrari,4,"after driving the car i have never been so impressed. the 
performance was awsome and the tarction was great. overall a 
perfect car."
ferrari,360,2002,Cal, 03/19/2002,Ferrari Drive,4,"The Ferrari 360 is an excellent car the Exterior Design is the best, it looks like the car from the future and the speed of it and the sreering is excellent."
ferrari,360,2002,Puppy's Parts, 08/05/2002,Good car -,4,"I absolutly love the car. The roof 
mechanism is outrageous and I enjoy 
watching it. The design is spectacular 
both inside and out. The F1's good - 
slow starts are easy, fast starts are 
easy, but moderate starts take some 
time to get used to especially when 
the gearbox is cold."
ferrari,360,2002,rol, 02/27/2004,super car,5,"I have a 2003 Porsche C4 Cab as well 
and this is 4 times the car at twice 
the price! Fuel milage a solid 18mpg at 
triple digit speeds. (no Ferraris have 
good milage around town) Drove all 
around Europe with it as well; only the 
550 Maranello is better! Get 370 miles 
per tank of gas. A keeper!"
ferrari,360,2002,cjblack, 08/16/2016,Disappointed,2,"This car is a piece of junk. After waiting my whole life to buy a Ferrari, it broke down the first weekend I had it. Got it serviced, worked fine for a week and broke down again. Just take a look at the Ferrari forums online and you'll see how unreliable these cars are. It perplexes me that a car as respected as a Ferrari can be so terrible. As with all Ferraris, your mechanic will spend more time worth it than you will. I got rid of mine and will never but a Ferrari (or any Italian car) again.
"
ferrari,360,2002,shorty, 04/12/2002,cool car,5,i love it
ferrari,360,2002,Amanda, 12/17/2002,fast car,5,"it is the coolest car ever i really 
like the car because it has so many 
features it is hard to get all the 
different buttons strate"
ferrari,360,2002,Kyle Parker, 04/08/2002,Great Car,5,I love this car
ferrari,360,2002,acuraman, 05/19/2002,"The ""F"" in Ferrari stands for Fun",4,"What a great car. I've had it for about 
three months and it is worth every 
penny.  I traded in my NSX and I don't 
miss it at all. I may have to change my 
user name to ferrariman."
ferrari,360,2002,Gzagasoccer510, 05/29/2002,Damn what a nice car!,5,"The purchase of my ferrari was the best 
i ever made! this car handled like a 
dream and is the best looking thing on 
two wheels. as you entered the car it 
felt like you were entering the cocpit 
of of an F-16. a well proportioned 
wheelbase let the beast fly 
effortlessly around those hair pin 
turns. amazng horsepower gave the best 
acceleration i have felt in a car. many 
a head turned while i drove around ; 
this is the BEST looking car made!"
ferrari,360,2002,MilleniumFalcon, 06/03/2002,Fast,4,"Well, out of the three Ferraris,two 
Porsches, four Beemers, and two Benzes 
I own, I would have to say it lies 
between my Porsche 911 GT2, and my MB 
Cl600 overall.  It has excellent 
acceleration, and the car is an 
absolute babe magnet."
ferrari,360,2002,milanista, 06/25/2002,Not a bad car at all,4,"This is my 4th Ferrari (512BB, 512 TR, 
355 Spyder before this one), and by far 
the best one in terms of driving 
pleasure, reliability, and styling. The 
car is very stable at high speed 
(160+); in fact more so than when doing 
less than 100.  The only problem is 
that SUV/truck drivers tend not to see 
you when you're too close behind them."
ferrari,360,2002,Fosters_360, 11/12/2002,Excellent,5,"The 360 Spider is everything you want 
plus a little more. The spider 
represents the history and exceptional 
quality Ferrari can give you. The 360 
has no flaws, but when you rap the 
RPM's near red line, there feels like 
there's a little bit more to go until 
you finally max the vehicle. The one of 
many qualities that seperate this type 
of car from any other, has to be the 
sound, espically when the top is down 
and your running up a mountain pass at 
7500 RPM's. There's just nothing like 
it."
ferrari,360,2002,TheCaneMan, 12/04/2002,A dream car,5,This vehicle is a dream come true !!
ferrari,360,2002,Duane Lyons, 04/02/2002,360 Modena review,4,"Awesome car I've owned for 12 months. Incredible performance, styling and fun factor! A ""10"" all the way. Big money but you get what you pay for. Incredible car!"
ferrari,360,2002,Funcarhotone, 04/02/2002,looker,4,Not a bad car but way to expensive and you must have it services all to early and often at the dealer and they charge way to much.  The car is a very nice streetable race car and gets lots of attention.  This is my 3rd Ferrari and I like the improvents they have made.
ferrari,360,2003,bahram, 09/04/2003,SO QUICK & SO FUN,5,"So much quicker than my previous 355 
F1 spider. More sexier exterior. Much 
roomier interior. The F1 gearbox is 
much smoother.  "
ferrari,360,2003,Mike, 02/27/2016,"Perfect ""starter"" Ferrari!",5,"This car is now 16 years old and it still looks great and performs very well. Styling is timeless and is unmistakable Ferrari (Pininfarina design). V8 3.6L naturally aspirated engine has been solid and pulls strong at 400hp and 275lb/ft of torque. The car only weighs around 3,000lbs. F1 transmission (about 90% of 360s made) is accurate and exciting to drive but opt for the polished, gated six speed for traditional Ferrari feel (but expect to pay a purchase price premium for this). First all aluminum Ferrari and ""modern"" for maintenance, which cost much much less than its predecessors (no need to remove engine anymore for cam belts). I've owned mine for 4 years and put about 2k miles per year. It's been a very reliable and extraordinary car to own and drive. I regularly use it around town and once per year take it on a road trip from NYC to Montréal for the Grand Prix.  Very reliable, fast, handles amazing, easy to drive, and reasonable from ownership and maintenance perspective. But what I love the most about this car is the sound of the exhaust from the high revving (8,500 rpm redline) V8 mates with Tubi (factory approved) muffler. Note at 17k miles I replace the clutch, which typically lasts 15k-20k miles.
"
ferrari,360,2003,da61780, 02/14/2011,what can I say,4,What can I say except THIS IS THE GREATEST CAR I HAVE EVER OWNED 
