Company,Model,Year,Reviewer,Date,Title,Rating,Review
gmc,acadia-limited,2017,Dave J., 10/22/2016,My second Acadia,5,"Loved my '08 Acadia and I felt no need to change horses when it came time for replacement. So far, I have driven this only in good weather, so I can't comment at all on rain/snow driving. This model seems noticeably quieter than my 08, and seems a bit more peppy. Driving is smooth, I can't think of a thing to criticize in a major way but I have some  quibbles. The Infotainment system may have some improvements over my old system, but it doesn't seem as intuitive. For one thing, I can't figure out how to mark the location where I am sitting and if it's in the manual, show me where!  The feature was drop-dead easy in my old Acadia. The manual by the way, is poorly thought out and lacking detail. The electronics are great! Blind spot alert feature is very helpful and a must-have. Backup camera as well. Color we chose was Sparkling silver and it's gorgeous!
"
gmc,acadia-limited,2017,KAREN miller, 07/12/2017,Still love my Acadia,5,"Still love this car only thing is we are having problems keeping the back of the SUV cool enough for our two dogs.  We've brought it in several times regarding AC issues - seems to be the one thing about this car that is hard to resolve.  Front AC works great except for an occasional musty smell that occurs.  
"
gmc,acadia-limited,2017,Neil Birchler, 06/01/2017,A Great Vehicle at an astounding price!,5,"I owned a 2014 Acadia Denali before, but after purchasing the 2017 Acadia Limited, I find it to be every bit as good, if not better than it's predecessor.  The only thing I miss is the power tilt and telescope steering wheel. But the manually adjusted function in the 2017 Limited is easy to adjust and I'm sure it will not be any problem in the near future. The up grades to the 2017 Limited are really amazing. Wish they would have been available in the 2014 Denali, but that is the difference in 3 years of technology upgrades. I prefer the size of the Limited , as opposed to the new smaller 2017 Acadia. My wife and I just purchased our new Limited in March and drove to St Louis and back to Vero Beach, FL averaging 23 mpg. We are pleased!
After driving the Acadia Limited for 3 years now, my wife and I are both very happy with the Acadia Limited's size, and preformance. It is hands down the best car we have ever owned.
"
gmc,acadia-limited,2017,Gregor, 10/15/2017,Last Year for the Acadia Limited,4,"GMC has a great SUV with the Larger Acadia Limited.  This is the 4th Acadia we purchased in our family.  We had 3, 2014, my wife and two daughters.  Love the vehicle.  Great for hauling around our 4 grandsons, car seats fit great in the second row and large cargo space for strollers and all the stuff that goes with infants and toddlers. Not sure why GM decided to shrink the size down to that of a Ford Exployer other than maybe the Acadia had knocked the heck out of the Yukon and Tahoe sales. The older Acadias and the 2017 Acadia limited (same as older ones) had as much cargo space as the Yukon, 5000 pound towing, better fuel economy, easier to park and about $20,000 less.  This being the last year they will make the larger Acadia is why we sold the 2014 and purchased the 2017.  Hopefully this one will last for 10 plus years.  I drive a Yukon XL Denali which is great for towing and hauling, but the Acadia is a great family SUV for trips to the mall, grocery and short trips.
"
gmc,acadia-limited,2017,A Pedersen, 04/12/2017,Wow!,5,"I have only owned an Acaidia for a short time, we purchased a 2015 certified pre owned, which we love.  It needed service and we received a loaner which was a 2017 Acaidia Limited.  Both cars are amazing.  I hope that GMC doesn't  stop production of the larger size SUV.
"
gmc,acadia-limited,2017,Gemgal, 06/15/2020,My 50th Birthday Present to ME!,5,"I had admired the look of the GMC Acadia truck for over 5 years before I bought it for my 50th bday in 2018. In my 49th year, it was announced that the Acadia was going smaller in the 2017 model, but still offering the Acadia ""Limited"", the bigger model as well. GMC was phasing out the larger truck. I desperately wanted the larger truck, as I had 2 dogs, and desired more road trips.  Space was a necessity! I spent an entire year looking for ""the"" Acadia. Finally found it, and bit the bullet 5 days before my 50th. It was a fleet lease vehicle with low miles. I also negotiated a sunroof in the deal.
Lucky for me, the price was desirable. I am 2 yrs into loving this truck, more and more every day! Space, ride, safety and maintenance has all been a huge plus for me. From 2019 through 2020, I've made 4 cross country trips from beating hot desert, to rainy conditions to mountainous wintery conditions, this truck grooved along effortlessly.  
LOVE IT AND RECCOMEND IT! 
"
gmc,acadia-limited,2017,Dave, 08/10/2019,Nice,4,"Decided on the Limited primarily because the newer model had no CD player.  Is a little cumbersome but overall a nice vehicle.  No problems in snow.  I wish though, as with any car I have owned,  they would put some kind of lift retainer from the front of the passenger seat that would prevent things(groceries, CD, fast food, etc) from sliding off the seat onto the floor whenever making any kind of quick stop(deer, stop lights, pedestrians, etc.). 
"
gmc,envoy,2000,coby4, 03/07/2013,My Envoy/ Improved Jimmy,3,"I got my envoy back in 2006 for a good price of 4,790 with 119,000 miles on it. Its been very great and only had one problem with the audio controls which is getting fixed next month. The style is ok its kind of old S10 look. But the interior is amazing. Comfortable seats and wood and chrome trim makes it look nice. The ride is amazing except off-road it rock just a little. Gas mileage could a little better as well.Overall Its been a great vehicle to us."
gmc,envoy,2000,Ladystrdst, 06/18/2002,GMC Jimmy Envoy 2000,3,"Exellent vehicle, handles well, quiet 
smooth ride. This is my third Jimmy, 
previously owned a 95.  The 2000 has 
come a long way compared to the 95."
gmc,envoy,2000,DAPAR, 12/02/2002,2000 Envoy,3,"Beautiful interior /exterior, all the 
little extra's on this model made it 
seem almost too good to be true.  
Unfortunately performance hasn't been 
that great.  When I bought the vehicle 
I thought it only needed a front end 
alignment and was given $30 by 
dealership to fix, I bought it out of 
state).  I found later it really needed 
upper & lower ball joints, idler arm 
and front end alignment (cost over 
$1000).  After having it under 5 weeks 
the transmission went out... very 
disappointing. Doors also should lock 
when in motion, but don't. Temperature 
control needs improvement - doesn't 
seem to reach temperature setting 
inside vehicle."
