Company,Model,Year,Reviewer,Date,Title,Rating,Review
jaguar,e-pace,2018,Hk_650, 08/01/2018,2018 Jaguar E pace,3,"Bought this car because the Volvo XC40 I wanted to order was so far out on production. I thought this would be a good alternative despite being almost $10,000 more. However, the tech is extremely lacking, the interior is simple but my Chevy Cruze rs is just as nice. So no big points there. Also, the car has less then 2,000mi and been in the shop twice with transmission issues kicking it out of gear while driving down the road and not allowing you to select a gear, Essentially leaving you straded. Oh, and when I was asked to review from Jaguar they took down my review. So be quite weary if you decide to purchase this car.
"
jaguar,e-pace,2018,G.T. in SoCal, 10/17/2018,Do Not Buy This Vehicle...Safety Defects Galore!,1,"After reading so many positive reviews, my E-Pace may be a lemon!  The engine suddenly loses power (has happened to me twice, once in a 55mph zone and the second time on a 5 lane freeway!), the check engine light illuminates and the E-Pace goes into a ""limp home"" mode.  Jaguar is well aware of this defect and has just rolled out a ""software patch"" to supposedly fix this issue.  Too little, too late.  I was almost rear ended by a semi when this first happened!  My E-Pace went in for the patch on 9/28/18, and whatever they did to ""fix"" the problem has affected the start/stop function.  It remains on 80% of the time.  This affects the mpg of the vehicle and should raise the eyebrow of the EPA.  Additionally, the engine and the transmission are poorly synched.  Once I place the E-Pace in drive or reverse it takes 1-2 seconds for the vehicle to move, and when it does, it leaps.  The entertainment system lacks Apple or Android connectivity, the speedometer is far too small, voice recognition is horrible...I could go on and on, but to top it all off, Jaguar's Customer Relations is a joke!  Do Not Buy This Vehicle!
"
jaguar,e-pace,2018,Lance Bowling, 08/10/2018,Best Compact SUV by a mile; but could be better,4,"Pros: Best looking, best handling in class and fun to drive. Stunning looks & style for a SUV, well laid out & comfortable sporty cockpit (F Type copy), good driver visibility, brilliant performance technology, great features, smooth shifting nine-speed transmission, quite nimble, precise steering, super stable braking, great cornering & windy conditions stability, excellent surround camera system, brilliant adaptive cruise control, unbelievable self parking, very good sound system, good interior fit and finish, and great storage capability considering vehicle size. 
Cons: Little expensive, feathery overly sensitive accelerator (spurts), 1 second transmission kick down delay, washed out touchscreen display, windshield blocks radio frequencies, and a few other minor issues listed under, “Details of Issues”.
Overall: A vehicle well suited to city driving and equally at home in the country; but not my first choice for long distance trips (full-size SUV time). The vehicle is best suited to a family of four or less (children and smaller bodies in the rear). The 21 inch wheels provide a great ride in “Comfort” & “Dynamic” modes, better than the smaller offerings. Brakes are excellent and feel stable under hard braking. Has “ECO” mode to improve fuel consumption. 6 -different models and a plethora of options to suit most needs. Has all the latest safety features and collision avoidance. Top model could do with a more powerful motor. It is miles better than the competition.
5 out of 5 if it wasn’t for the metalized windshield, display washout, spurty throttle and transmission delay. 
Bottom Line: If you want the best looking, best handling compact SUV in the world, your search stops here.
Details of Issues (nothing major)
Expensive
Has better performance technology than the competition which costs a little more; but even so, still seems a bit pricey.
Windshield Blocks Radio Frequencies
I really dislike the  metalized windshield which blocks radio frequencies. Toll Tag clear patch is too small. Range of wireless devices is reduced (up to 95%), including; door and gate openers, phones, RFID, Bluetooth, Wi-Fi, radar detectors and medical alert.
Feather Light and Overly Sensitive Throttle Pedal
Almost no foot feel and too sensitive. A bumpy road, a sharp corner or just acceleration forces can cause unwanted acceleration spurts (jerking). Also, you have to hold your foot up all the time when just cruising. It feels unnatural and a little uncomfortable. Thank goodness for the excellent adaptive cruise control. 
Transmission downshift delay
Foot to floorboards and wait 1+ seconds for significant acceleration. 
Touchscreen Washout
The touchscreen difficult to see in bright daylight and is barely visible in bright sunny conditions. 
The problem is that the display sits angled almost flat well ahead of the roofline and there is no sunshade, so the sun shines right on it. Accentuated by no high contrast color scheme option, just “Light” (light pastel) or “Dark”. It’s fine at night or on dreary days.
Windshield Reduces Night Vision
The windshield is metalized to block UV rays which it does well. It also cuts down visible light reducing normal vision just like sunglasses or regular window tint does. The problem is that it also reduces vision at night too when you need maximum clarity. 
Road Noise
Road (tire) noise is noticeable and could benefit from improved floor and wheel arch insulation.
Automatic Relocking & Arming
Only the dealership can turn it on or off. I can see the reason for automatic locking and arming in high crime areas. In the country, the automatic system is annoying and inconvenient. There should be an easy way to turn the feature on and off.
Door Locked Condition Indicator
No visible external indicator that the doors are locked (except the folding door mirrors). In a noisy bright light situation, it’s difficult to see (light
 flash) or hear the doors lock. 
Automatic Power Fold Door Mirrors
Useful option, but it can only be turned on and off by the dealership? 
Keyless Door Locking
Keyless locking is overly complicated and imprecise (Unlocking is great). The manual goes into detail not to grab the door handle while touching the lock sensor. In reality, it is only necessary to be lightly touching the handle for the sensor not to work; or if your finger touches a little outside of the sensor area. One could turn on the auto locking full time, but that causes other irritating convenience issues.
Restricted Driver’s Foot Well
No good place to put your left foot if you have long legs. Wheel well intrudes into this space.
Reflections from Bright Shiny Bezels
Reflections in driver’s side mirror from bright shiny driver’s side air vent bezel. Reflections from bright shiny bezels (air vents and display) on front windshield.
Driver’s Maximum Seat Height
The front dash and side windows sills are quite high. I found that with the seat all the way up, I still felt like I was sitting a bit too low (1 inch).
Read more
"
jaguar,e-pace,2018,Tony, 11/22/2019,big disappointment!,1,"Bought this car without reading reviews due to its captivating looks. Engine fan sound is like a moulinex juicer, seats are starting to wrinkle (leather) transmission replaced already, gear kicks on acceleration and deceleration better than roberto carlos and air conditioning fan changes speed on its own! All that topped with bad customer service and incompetent mechanics that don’t know how to fix the problems...you can imagine how it is like!"
jaguar,e-pace,2018,Kelly Smith, 11/09/2018,Not worth the money,2,"My local Jaguar Land Rover dealership is working on my 2012 Land Rover LR4 and they dumped this tiny turkey on me for a loaner for about 5 days. I really don't like it at all. I don't think it looks anything like a Jaguar, it reminds me of a small Ford Taurus, I think those were called a Ford Concave.  Of course the looks really don't matter to me as it is only a loaner at this point.  What I don't like is the ride, I feel like I'm in a chuck-wagon going on an expedition across the prairie, what with all the jerking and vibration that goes on just to drive at a steady clip of 40mph.  Hold on to your bonnet if you are stalled/stopped at a light and need to re-ignite the engine as it will jerk you into action.  The interior is nothing to write home about, in fact it is rather dull.  There is a lot of unnecessary hoopla that will drive up the price of this ordinary small vehicle such as the lights that show a circle and jaguar when you open the door at night, the nice but really overblown electronics - I'm a 57 year old woman and enjoy driving a car, not a computer - and the inane way you have to hold the gear a certain way and move it forward to go in reverse and move it backwards to go forward - why complicate what should be an enjoyable experience. I want to drive and enjoy it, not feel like I'm in the computer lab and have to figure out a coding program to get the car to work.  I'm 5'10"" tall and occasionally I bang my head trying to get into the drivers seat.  I can't wait to get my big, 2012, LR4 back, it will feel like I left the small hardwood chair for a couch.
"
jaguar,e-pace,2018,ROBERT, 11/26/2018,JAG guy gets JAG suv,5,"It's heavy.. How do I know, somebody said so. I can't tell. Rides and handles great, seats very comfortable. Looks great, people notice. It's a Jaguar.
"
jaguar,e-pace,2018,MinnesotaNiceMom, 07/09/2018,Love this Jaguar!,5,"Very sharp looking - I get compliments all of the time on my car. (My Husband’s BMW X5 doesn’t ever get any!) I love the way it drives. Only complaint is the subwoofer shakes my car and makes the doors rattle. 😢 And the back seat is very small!
"
jaguar,e-pace,2018,Robert AC, 11/09/2018,Love the Jaguar E-Pace,5,"I have only leased this car for a short period of time, however, so far no problems at all. It is fun to drive, and even with the smaller horsepower turbo engine there is so much pickup even from an initial start. Plenty of power merging into highway traffic. I am driving the S trim with lots of added options. Adaptive Cruise control works very well. Leather seats are very comfortable. Lots of standard options even on the S trim, but recommend upgrading to the Meridian sound system. My model has park assist, however, it is a bit more difficult to adapt to than the park assist I had on my previously owned Mercedes. Enough room in the back seats for 2 adults even when the front seats are pushed back a bit. The storage space is smaller than my wife's Audi Q5, but with the back seats down plenty of room to go shopping at Cosco and spend my usual $350 for more stuff than I need! The interior trim is not as fancy as some other luxury SUV's, but the reason to buy this car is the way it handles - especially steering and acceleration. The warranty and service maintenance is for 5 years or 50,000 miles and is included with the price of the car. The one option for this car is a fixed glass roof with sunshade, but I generally have never opened the roof even on cars I have owned that had that functionality. I test drove several other SUV models before deciding on the E-Pace, but this one sold me because of the way it drove and the number of standard options included which are usually extra on other models. Also, the current lease deals are virtually at 0% interest rate. Virtually no wind noise on the highway. After I drive this car for a few thousand miles I will update this review.
"
jaguar,e-pace,2018,Andy, 09/07/2018,First Jag I've ever owned,5,"Stunning car. Everything from design, to drive, to look and feel is impeccable. Highly recommended.
"
jaguar,e-pace,2018,Dissapointed, 03/06/2019,Piece of Crap,2,"Sorry.  This is my first luxury car and I am so disappointed.  I should have researched the reviews before I bought this car.  This is very ridiculous for someone to spend so much on a vehicle that is basically a lemon.  My car has been in and out of the shop and right now it need a brake job and alignment with only 12000mile. Very disappointed.  I pray this is the last of this for some time because I an ready to trade it in for a Hyundai
"
