Company,Model,Year,Reviewer,Date,Title,Rating,Review
land-rover,discovery,2003,iward1, 08/05/2014,Find a good one,5,"I bought my 2003 Disco with 98k miles for $6000 in September 2013. Have a Land Rover specialist (preferably not a dealer) do a thorough inspection before you buy. Get a service history.
Expect a lot of work to have been done. The only red flag is a history of overheating associated with a very loud engine knock/tap.
In the last 10k miles I have replaced the power steering pump and done regular maintenance, about $1200 total. I'm not bothered since I paid so little up front. It's a fantastic truck with an old-school feel. I average 11mpg city and 15mpg highway. If you love it and treat it well, this truck will get to 200k miles and beyond.

UPDATE: Feb 2017. 126k miles. Total maintenance has been about $2k a year. Not cheap by any means but I still love this truck. I have learned a lot about wrenching! I have a baby now and as a family car it is good, though certainly not as practical as a minivan, but infinitely cooler. I stand by my earlier review.
"
land-rover,discovery,2003,Pat Mancini, 08/25/2002,Worth every penny,4,"Great SUV clean, turns heads, sexy 
look,fun to drive, very 
solid,everything a hummer offers but 
more practicle. 2003 comes with a great 
warranty and if still in doubt about 
british engineering get their extended 
warranty. Fuel economy sucks but if 
this is a major concern than buy a 
Honda."
land-rover,discovery,2003,Toyotas From Now On, 02/24/2009,Don't be fooled,2,"This was my first and last experience with Range Rover! If you want to throw your money away, this is your brand. Do your homework before you get caught in the hype of Range Rover. I've owned numerous SUV's (Mercedes, BMW, Land Cruiser etc.)and this brand is truly ""tall hat-no cattle!"" Never purchase this brand without a thorough pre-inspection by a certified Rover mechanic. Get to know him well because you will be helping put his kids through college! You've just met your new best friend. The ride quality and rugged good looks are the only redeeming characteristics that stands out to me. Toyota/Lexus is your stand-out best-choice every day of the week. "
land-rover,discovery,2003,atldane, 04/22/2011,You gotta love this Rover...,3,"I know, I know...horrible reliability, very expensive, low mpg..but I love this vehicle.
This is our third one, and this one I am going to keep.
I have 130,000 miles on this Discovery, I am pouring money into it, but I love it.
It was time to get something more reliable and better on gas, so I chose a new BMW 328i so I could keep the Rover.
I now have a new car, but have my boy to take to the lake and use for rugged adventures.
You know the saying ""if it isn't leaking then it is empty"" about Land Rovers. well it is true, true, true! But worth every penny...I really love this truck!!! Very Classic...."
land-rover,discovery,2003,vgardon, 10/29/2010,"Dream Car, but not quite a Nightmare",4,"I have always wanted this car and finally bought one in 11/2008. It was already 5 years old, but initially ran well. However, after having it for about 1 year, major issues arose (i.e., O2 sensors went, window motor broke, major ticking noise from under the hood, etc). This car is very expensive to maintain and after a while, it just wasn't worth pouring any more money into it. Thankfully, it has never shut down on me, but I don't think I would buy another one until I know much more about maintaining luxury cars."
land-rover,discovery,2003,Peter, 07/10/2008,The most unreliable vehicle on the road.,2,"As the owner of a 2002 Freelander which I traded in for a 2003 Discovery I can tell everyone to take seriously the ratings given by both JD Power & Associates and Consumer Reports magazine (among others).  JD Power & Associates reviewed 38 auto manufacturers and Land Rover placed right at the bottom for the reliability of all their vehicles.  Consumer Reports magazine ranks Land Rover vehicles as ""much worse than average"" for reliability but also displays in graph form how much worse than average Land Rover vehicles actually are.  When compared among 48 other midsize SUV's, the Range Rover, LR3 and Range Rover Sport all ranked between -129% to -195% in reliability (a score of zero is perfect"
land-rover,discovery,2003,Pete, 09/22/2009,DONT GET SUCKED IN,3,"Don't let this vehicles awesome look bring you to purchase one.  I bought a 2003 disco 4 months ago in pristine condition. Until after having it a weak the Lifters failed, the oil pump went and needed a total engine replacement at 58,000 miles. Local LR dealership put in a ""used"" engine in ""good"" shape and repair cost $8000. Two weeks after getting it back the head gasket blew on the replacement engine! Also a $3000 repair not covered by the warranty! I have never had a more terrible experience with a vehicle in my life. It's funny sitting in a million dollar showroom around all these high end vehicles,while they're telling you that these repairs are normal. I sold the car after 5 months"
land-rover,discovery,2003,My New Ex Boyfriend, 05/21/2007,My New Ex Boyfriend,2,"Yes, it's true...I ran to him when 6000 lbs or better meant notaxes that year! and now he has cheated on me. He got into bed with a gas pump and I just can't trust him anymore! He was quite the looker, but boy he has a drinking problem. Seriously, I loved the look of this truck, I like the classic stying.  The romance fades from here. Although it's never left me stranded, OK once - E means empty, there is no forgiving here.  Have already done the brakes and I am on my 2nd set of tires.  Front end is leaking as it is prone to do. O2 sensors have been replaced two times. Rear door latch failed and while rounding a corner door flew open and bent hinges"
land-rover,discovery,2003,please take it back, 05/05/2009,Oh God I've Made A Terrible Mistake,3,"I have never known true regret until I bought my 2003 Discovery.  There it was sitting in the lot gleaming, little did I know that the Devil can come in the shape of a car.  I should say that I bought it used, with 55,000 miles on it, it drove wonderfully for the first 3 months when my monthly sojourn to the Land Rover Service Lot began.  Every light on my dashboard has lit up like the 4th of July sky, I especially enjoy the ones with the exclamation marks.  Every gasket, every hose, everything except the engine, whose failure I am currently awaiting, has failed.  Anyone who comes across this vehicle should run, not walk in the opposite direction.  A demon lurks beneath the gleaming hood."
land-rover,discovery,2003,propertybroker, 09/30/2009,"Looks good, reliable, well-built",4,"I am very pleased with my '03 Discovery after 95k miles. It adopted the 2002 Range Rover's silky 4.6L engine, and is as powerful as it sounds. Shifting is smooth and quality- sounding. Sharp- looking inside and out. My friends, neighbors, and client like the luxurious look of it and think it costs much more that it did. Vehicle rides tall on the road. I get a good view of the road and feel safe in the vehicle. Surprisingly quick acceleration, plows through heavy rain and snow. I have had the vehicle for 4 years and have only had to do regular maintenance on it."
land-rover,discovery,2003,J Davis, 12/27/2003,dissapointed,2,"Well considering I paid $41,000 for 
this car I have to say I miss my old RR 
98 model.

The drivers window fell out, Alternator 
packed up.
3 sets of brake pads in 1 year. New 
jack didn't work when tire went flat. 
Insurance rate on this car is 
ridiculous and every service still 
costs $$$$$ for the smallest little 
repair. Gear train is noisy as hell and 
people constantly comment on how loud 
the whining of the engine sounds.
Fule economy is amazingly bad and 
turning radius is a joke for an off 
road vehicle.
Then a dealer tells me that after a 
year I would be lucky to get $20,000 
for it."
land-rover,discovery,2003,jeevanga, 10/17/2011,Engine damaged after overheating,4,Bought with 29k and whole year of warranty left for $22000.Used for 4 years and put on only 11k due to terrible gas mileage.Loved the ride and apperance.No issue for 3.5 years then 3 amigos appeard but did not fixed. Engine overheated due to coolent tube leak and seems to be head gasket blown or engine cracked.Sold it to carmax for $7000.
