Company,Model,Year,Reviewer,Date,Title,Rating,Review
lincoln,aviator,2003,v_sanders1, 05/16/2013,Bought this car new LOVE IT,5,I've owned this car for 11 years new and it still looks beautiful inside and out. No problems what so ever and I only change the oil when it says to. It drives wonderful and is very safe (airbags even in back). I would buy this car all over again but they quit making them during our economic slump :( You will not go wrong with this year model 2003
lincoln,aviator,2003,Al, 03/23/2010,Only drive while under warranty,4,"Its a pretty good bet that the transmission will need some work. At about 35k miles, mine needed to be overhauled while on a road trip out of state. Ignition coils were recalled and I would recommend just getting all 8 original coils replaced, BEFORE they go out, which eventually they will. Overall, I've enjoyed owning this Aviator but now that it's well past the Lincoln warranty and extended warranty expiration, it's time to let this Aviator get some rest before it puts me in the poorhouse. "
lincoln,aviator,2003,Rsmith, 07/08/2009,Extremely Poor Reliability,3,"Enjoy the vehicle, plenty of power, comfort and overall utility.  However, with only 75,000 miles, the following maintenance issues have developed. On three wheels the bearing failed,$1,600, the number eight cylinder is bad, requiring over $4,000 in repairs, transmission failed, over $3,000 repair, driver side window motor failed, $350 in repair, back window hatch cracked, and now the shift lever is bad.  The dealer did not treat me as a valued customer, but tried to gouge me and stated that I should get rid of the vehicle. This is by far the most unreliable vehicle that I have ever owned. Wil never purchase another Lincoln or so called American car."
lincoln,aviator,2003,Rancher, 03/12/2010,2003 Lincoln Aviator premium Edition,4,"This vehicle rocks. purchased new I now have over 130,000 miles and still going strong. The ride and comfort is still exceptional. While this model does not have stability control or the roll over features it is a great vehicle. The car can be at a comfortable 70-75 miles per hour, and then go into passing mode quickly with no lag and hit over 90 with ease, and yeah I have done that both new and with current total miles. The engine is strong and sure. I am now having an issue with the differential and am looking for another Aviator to purchase. I have towed a 21 ft boat, two jet skies, with this car,(no, not all at once) and it still tracks smoothly with no sway. Would buy this again."
lincoln,aviator,2003,Jim Wieber, 08/21/2016,"Wheel bearings, wheel bearings, wheel bearings",4,"These trucks love to go through wheel bearings
"
lincoln,aviator,2003,pam, 02/19/2010,little problems,4,"I bought my aviator used it had 22,000 miles. I love it. No big problems. Replaced a coil after 106,000 miles. The dash board lights some times go on & off, but easy to deal with. "
lincoln,aviator,2003,None, 11/06/2008,Another Lincoln Lemon,2,"I liked the look and the interior, so I bought one used with 60k mi. However, 4 months out of the dealer and I'm looking at $1500 of repairs on various plastic engine parts that have deteriorated. It took the dealer nearly a week to diagnose.  Conveniently these aren't covered under their useless extended warranty. One of the rear doors doesn't unlock. I got the metal panel crack underneath the tailgate window that I read many others got within 3 months. Fuel mileage dips into single digits in city driving.  Oh well, another Ford, another shoddy car. At least it's not a Chrysler or the bumpers would be falling off by now."
lincoln,aviator,2003,Kamil, 11/19/2008,Stay Away!,3,"Rides nice, comfort and luxury, but American car makers still have a long way to go!  This car is very unreliable, had so many issues, transmission, heated seats, fog lights, torque converter, remote starter. Americans can create nice options but can't seem to make them last. The car has 54k and has problems like it was over 150,000! The electronics stink on this thing. Every fuse or some module goes every month. It's still under warranty, and that's how I will sell it!"
lincoln,aviator,2003,vinny, 02/15/2009,Great SUV,4,"I bought my 2003 Aviator new. The truck is quick and beautiful looking. I got it in the pearl white with the white leather. Not the best choice with kids but still looks good after 6 years. I did have two problems which the dealer fixed under the warranty .The idler pulley was giving off a whining noise. They replaced it and it fixed the problem . The second problem was a rough idle and it would come close to stalling. It was a vacuum leak that the dealer fixed with the warranty. I have 61,000 on it now and it has started to idle rough again but I'm sure it is a simple fix . People who complain about the interior of this truck are crazy. It is very luxurious and comfortable. "
lincoln,aviator,2003,abqlincoln, 02/03/2010,Never an issue,5,"We have loved this for 2 years and have loved it. A lot of people complain about the mileage but for a full sized SUV to get 21 mpg on the highway at 80 mph I have no complaints at all.  Around town we get 15 mpg but again, I never expected this to be an economy car.  It has been very reliable and has never given us an issue."
lincoln,aviator,2003,aprilfire, 09/17/2002,this truck is great,5,"i have a mercedes ml 320 and it doesnt 
compare t omy new lincoln. I love 
everything about this truck"
lincoln,aviator,2003,E. Mayer, 11/16/2003,This ain't no Explorer,4,"We were in the market for an SUV with 3rd row 
seating. If this is you, do yourself a favor and 
test drive this SUV. You'll understand why 
most limo's are Licoln's - it's all about the ride 
and this SUV delivers. "
lincoln,aviator,2003,Lindsey, 06/27/2006,Pure Excellence,4,"This SUV is more than amazing. The luxury and capability is just awesome. It drives like a sports car and handles is so smooth and luxurious, I don't even want to complain about the gas mileage. It is not a commuter that is for sure. We just bought it and have been fighting over who gets to drive it everyday since. 50k Miles and drives better than the new Caddy DTS!  Love it!"
lincoln,aviator,2003,armymechanic, 06/23/2015,I just got my first aviator,5,"I was very surprised with its power and fuel mileage and I'm curious at how well it will tow a boat up and down steep hills because I'm considering getting a small 18' pontoon boat I'm wondering if it can muster it and Lincoln SUVs are the best and are really reliable and i just got my aviator but last year I had the privilege to own my very first Lincoln and I have always wanted an SUV and 4x4 and a Lincoln and I ended up knocking all out with one stone I had a 1999 navigator which was totaled out 9months later I got t-boned by a 21year old and now I have my aviator it's been a blessing from God to have an other Lincoln they are worth it and I walked away from rolling 3 times they are the best it's been a good vehicle very reliable I've had it almost 4 years now small minor complaints nothing big thank God
"
lincoln,aviator,2003,Great Vehicle, 03/18/2008,Excellant All Around Vehicle,4,"Go anywhere SUV, Go several times a year on out of state trips. The Aviator is the ultimate in comfort! Hit that seat warmer after a long day and ahhh! Our Aviator has 42K on it and has only needed the regular maint performed on it. I did replace the tires to one size up and that helped on the milage-AVG 19 mph allaround and up to 21 on the road. I also had the computer upgraded thru the dealer on a new program that has made it perform even better. No gripes here glad we have it as our all around veh and well worth the price!"
lincoln,aviator,2003,Horrible Vehicle, 05/30/2007,Never Never Never Never again,2,"This car has been nothing but problems. After owning the vehicle for two years the transmission had to be replaced.  When the third time repair did not fix the original problem.  I have had electrical problems from day one but no one can seem to figure out why. The auto-window doesn't work, the side view mirrors would change positions, the passenger seat heater does not work, the sound system takes about a minute to come on after the car is started. The steering wheel shimmies when braking, and there is a long whining sound when you start the vehicle in cold weather (which they can't seem to figure out why).  This vehicle is the most expensive I have owned and yet the worst purchase made."
lincoln,aviator,2003,Elias Farid B., 10/20/2016,"Repair,repair,repair transmission,cooling system,",2,"Bot brain new in 2003 $47k on the 3rd year after the warranty was over, repairs started constantly every other month had to visit the repair shop for some problem and currently it has 96,000 Miles and it is seating in AAMCO waiting for front differential ($2500) after changing the transmission cooling system that costed over $1400. No dealers had offered more than $500 to buy it as is (with broken differential) . This the story of my Aviator in nut shell
"
lincoln,aviator,2003,TheCaneMan, 12/05/2002,Not all it's cranked up to be !!!!,2,"Before buying -- test it for at least a 
day and I think you'll go with another 
vehicle.  

I sure wish I did !!!!!!!!!!!!!!!!!!"
