Company,Model,Year,Reviewer,Date,Title,Rating,Review
lotus,elise,2005,mark Greenblatt, 03/28/2006,2005 Lotus Elise,4,"Anyone who is serious about sports cars should put this car on your short list of cars to test drive. I have had 4 Porsches, much more expensive than this car, but I will never go back to Porsche again. They are so boring and bland compared to this car. A purchaser of this car should be aware that it is one of the most raw cars for sale. Raw meaning it has a loud engine (1/3 of my reason to buy a car is the sound it makes), the interior is spartan with a lot of exposed chassis metal (which I think looks so cool), it is a simple car designed to have balanced handling and performance, low weight, and will give you grins every time you get in it. It has a Toyota drivetrain to boot."
lotus,elise,2005,WC Kelly, 06/24/2008,Lots of Bang for your Buck!,4,"This car is a true head-turner.  There is absolutely, positively NO other car that competes with the Lotus Elise in either looks or performance for the price.  An absolute PLEASURE to drive, this car will give you a perma-grin.  I have parked my Chrome Orange Elise next to cars costing twice as much, yet the crowd seems to gather around the Lotus.  If you are shy, this is NOT the car for you, unless, perhaps, you are looking to come out of your shell.  This is an excellent car for for women or men with small feet, as the pedals are located close together.   It is certainly not the most graceful car to enter and exit... (don't wear a skirt ladies!)  All in all a fantastic car to drive!"
lotus,elise,2005,dk, 12/21/2009,Pure Fun,4,"If you just want to have kick butt driving fun, this is your car.  Don't expect posh comfort but do expect the most fun that you have ever had driving a car.  No cup holders but then again, it would spill anyway.  You will also become a minor celeb as people will take your picture, and will follow you all over the place.  It can actually get a little annoying but once again, fun.  No matter what other cars on around you, you will become the focal point.  I have had mine for 4 years and I still love to just look at it.  The temptation to drive too fast is overwhelming but it looks fast just parked so you get over it.  Fantastic car."
lotus,elise,2005,JohnRocket, 06/04/2007,Dump your Ferrari!,5,"Having owned virtually every dreamy sportscar imaginable (yes, I HAD an Enzo), this car is BY FAR the greatest thing that has ever happened to a sunny Sunday morning.  Though tough to get into, once inside, you get a comfortable driving position, phenomenal fuel economy, unfiltered communication from the car, and the most pure ""street legal"" driving experience.  Plus, the added benefit of very low cost of ownership, and not worrying if something is happening outside to your Lambo/Ferrari while it is unattended, be it valet or street- parked.  Plenty of fans on the streets, but more are curious of what it is, rather than what it costs.  Very cool, very fun."
lotus,elise,2005,Bill, 02/11/2006,Like nothing else,4,"I've had the car for 9 months and can't rave about it enough.  I've had my experiences with other exotics and this car just amazes me every time I drive it.  My Ferrari is just a memory! I can't believe we're fortunate enough to have this genuine hard-core exotic sports car in the US. The build quality is excellent, especially for being hand-built. I have had zero trouble with it and it never fails to bring a smile to my face. If you live to drive quickly and efficiently then this car is for you. "
lotus,elise,2005,lotus racer, 09/23/2005,Track this car... please!,4,"Unbelievable, but my wife bought this car because it looks great and she lets me take it to the track.  Drives like a race car because that's what it was built to do.  Take a racing class if you've never done such a thing.  Then take the car out and have some fun on the track.  But don't try this on the street.  You'll get squashed like a bug when you move fast into the blind spot of just about any car and every truck. Hold on to your seat because you've never had a ride like this before."
lotus,elise,2005,Paul, 02/05/2006,The most amazing car I've ever owned,3,"This car is absolutely amazing. It handles like no other street legal car you can buy. I looked at Porsche, BMW, Corvette, Ferrari and others. Handling-wise it blew them all away hands down. In a straight line there are faster cars but nothing handles and connects you to the road like the Elise. It's a true drivers car. This was not intended or designed to be an everyday grocery hauler. If that's what you're looking for, buy something else. But if you want the real ""Ultimate Driving Machine"" then the Elise is it."
lotus,elise,2005,RedElise, 02/15/2006,Unbelievable Ride,4,"Clearly this car is not for everyone, but if you are under 6'0"" tall, 200 lbs, and have a size 10 or smaller foot then this is a tremendous amount of fun.  It is extremely difficult to get in and out of (words cant describe it), but there is nothing out there that handles like it.  The stereo is poor, but usually you have the top off and you are listening to the purr of the engine behind your head.  This car really lives up to all the great magazine reviews it has accumulated over the last year."
lotus,elise,2005,Jerry, 12/13/2006,Nothing else even similar,4,"This car is such a total departure from any other street car that I'm shocked it made it to production, much less DOT and EPA certified. The car is so light, rigid, and responsive to input that the driving experience is simply not comparable to driving anything else.  The noise and ride aren't as harsh as you would expect and the driving position and seats are excellent. 30+ mpg. Terrible radio and alarm. There is a rattle in the gear box the dealer says is not normal but they won't do anything about it. Fit and finish are pretty good for a low production hand built car requiring unconventional materials and manufacturing processes."
lotus,elise,2005,JK, 02/17/2007,A True Weekend Racer,3,"The Elise is certainly not for everyone.  It is not a luxurious vehicle, a daily driver (for most people), or extremely powerful.  However it is very unique, very light, very fun, relatively affordable, reliable, and pure!  This car weighs 25% less than a Mazda Miata, and maneuvers precisely.  The steering car is very communicative, through its steering, ride, and pedals.  Because of its light weight and low center of gravity it sticks to the road like glue.  The engine isn't too powerful, but it is reliable with Toyota's 1.8L VVTi engine.  At 6 RPM the VVTi kicks in and the car pulls very hard to redline."
