Company,Model,Year,Reviewer,Date,Title,Rating,Review
mini,clubman,2017,John B in LIT, 12/24/2016,Happier with my MINI than I was with my BMW 328i,5,"The Clubman is about the same exterior and interior dimensions as the 3 series BMW. The S has a bit less BHP than the BMW 328, but this is almost unnoticeable and has plenty of power to spare, so don't be dissuaded by the side-by-side figures. The ALL4 provides superior traction in most conditions, which provides an additional level of confidence and safety on slick roads. Although both the BMW and the MINI have run flat tires as standard equipment, MINI offers a donut spare as an option and BMW does not. I would say that the handling of the Clubman is on an (excellent) par with the 3 series, and I actually prefer the MINI. The Clubman also has a panoramic sunroof as an option. The NAV/Entertainment architecture on the MINI is very similar to the BMW i-Drive, so transitioning from a BMW to a MINI is almost seamless. Interior comfort, in my 6' 1"" opinion, is actually superior in form, fit, and finish to the 3 series Bimmer, and the wagon design with folding rear seats of the Clubman is more practical than a sedan when you have stuff to load (BMW 3 series can be ordered as a wagon, but these are rare on BMW lots in the USA). MINI promotes and lends itself to some very nice individualizations (Stripes, wheels, etc.), so you can easily and economically modify the look of your MINI to make it uniquely ""your own,"" whereas with BMW, you more or less get what you buy/lease. Gas mileage could be better, but these cars inspire sporty driving, so my mileage may be as a result of my own lead foot and not the car. Warranties and maintenance plans are comparable between the MINI brand and the BMW (MINI is owned by BMW), and the MINI service department (at least where I live) is friendly, clean, well stocked, knowledgeable, and first rate with loaner cars available for customers. All this said, I think one of the things I like most about driving a MINI is that they aren't as ubiquitous and as cliche' as the BMW brand, and it's just a hoot to drive at about $8K+ less MSRP than a comparably equipped BMW. If you enjoy driving for the pleasure of driving and don't test drive a MINI Clubman S when considering premium compact cars, then you are shortchanging yourself.
"
mini,clubman,2017,Stewy33, 02/15/2019,Perfect all around every season car.,5,"35,000 miles later in the harsh winters of Wisconsin, The Mini Clubman S All4 is the perfect all around every season car. I average 33.5 MPG year round on 93 octane, with that confirmed on the pump. The green mode is great for cursing down the highway. The car has plenty of rear storage if you fold the back seats down. I was able to bring home a 55 inch TV with both barn doors shut no problem for reference. The 2.0L engine is okay... The Mini's engine is a down tuned BMW motor. (cough, cough) DINANtronics = +58HP/88TQ for the 2.0L S model installed for under $1,000. (20%+ HP gain) and trust me it is worth every penny!!! The 8 speed automatic transmission shifts so smoothly you barely know when it is shifting when you don't have your foot into it. Winter wise the All4 system (AWD) is outstanding. I tossed on a pair of Michelin iceX tires and drove to work in 2 blizzards this year. 5 inches of snow down...no problem. 6-10 inches in your way....the front splitter turns into a plow and starts stuffing the radiator opening, but she will keep going. (watch your temperature gauge!!!) My favorite feature of the car is the tire pressure monitors. My least favorite thing about the car is the front doors. They seem small and you can hit your head getting in. It is funny watching a passenger bonk their head getting in! (LOLOLOLOLOL)
"
mini,clubman,2017,TJ Dinkelspiel, 01/29/2018,CLUBMAN,5,"Smooth and Efficient Ride.  Wide base and excellent in the snow.
"
mini,clubman,2017,Mark, 02/22/2017,New model=worse model,2,"The Clubman was redesigned for 2016.  If you look around the miniusa website you'll have a hard time finding anything relating to fuel efficiency while it was very proudly displayed among the info for the previous model.  It's a nice car, but one of the few perks it actually had was fuel efficiency. Now it's got a new engine(3 cylinder!) and the MPG is humorously bad. It gets 23 mpg in the city which is on par with some large sport utility vehicles but it's still a tiny car by comparison.  We've had three MINI's so I'm not a MINI basher. We previously had a Clubman that got 32 mpg on the same to work routes the new Clubman gets 23 mpg. What automaker does that?? In sum, you can get far more for far less money with lots of other vehicles.  The only benefits is that it looks different and you can find your car in a parking lot.  We have a ALL4 base model which is not listed among the choices here."
mini,clubman,2018,Chris B., 01/21/2018,Get the S,2,"Owned new clubman for 6 months after deciding between Mini Cooper S 4 door, Honda Civic, Audi A3, & Honda Accord.  We went with the Clubman for the handling, storage capacity in the back, ergonomic rear doors, and the allure of being part of owning a Mini.  Within the first 30 days started feeling buyers remorse due to incredible sluggish acceleration and even in ""sport"" mode the car lacks power (lack of horsepower almost felt dangerous in traffic and especially entering highways), which made us wishing we would've paid more for the S model.  We went back to the dealership to trade it in and they wanted 35% less than what we paid (we knew there would be depreciation), but the dealership elaborated that Mini halted production of the Clubman for several months because they were unsure if they should keep producing the car because customers were veering more towards Mini Coopers or Countryman models.  They also said that the value depreciated because of poor demand & potentially high cost of parts. We walked hoping that we would grow closer to the car. The car has an excellent cabin-feel, handles incredibly well, and the sunroof(s) are an amazing feature that make the cabin feel much bigger.  During a snowstorm the car slid off the road and the suspension got ripped apart... I firmly believe most cars would've survived the wreck, but the tiny parts got mangled from the impact. We purchased a Mini Cooper S for the handling and speed. The regular Clubman is just too boring and doesn't seem like a car that Mini wants to continue making.
"
mini,clubman,2018,Rick, 10/29/2020,Best small car I have ever owned!,5,"The 2018 Mini Cooper Clubman S is the best small car that I have every owned.   I was more then happy to trade in my 2017 Subaru Impreza Premium for my fully loaded Clubman S automatic in Dynamic Red Metallic.   From the first minute, the differences between these two could not be more stark.   I love the acceleraton of having the turbo 2.0 litre engine, combined with the 8 speed automatic.   I decieded to get a fully loaded car as I was tired to having such minimal amenties in my old Subaru.   I'm so glad that I did as I just enjoy the car so much and it's a real pleasure to drive too.   Years ago, I test drove a first generation Mini Cooper S and I thought the ride was too harsh much more towards sport.   My current car is much more friendly for a long drive.   I'm glad that I got the larger Mini as the extra space has come in handy for daily living, commuting, and shopping then smaller 3 door model.  I have found that the car is as refined as the 3 series BMW too.   I am happy to recommend the Mini Cooper Clubman S as a great all around vehicle and it's reliable too.  
"
mini,clubman,2018,Jerry G, 08/20/2019,Great Little Go Kart,5,"Before you purchase a Mini Cooper, You need to know that underneath the quirky exterior of the new Mini's is a BMW! They are also not cheap cars. They are compact upscale small cars. They are extremely fun to drive, they are quick, and very nimble! 
"
mini,clubman,2018,Greg Chick, 05/07/2020,Can drive 9 hrs. and feel great.,5,"The Mini Cooper Clubman, John Cooper works is a great car, cute, fast, I even get 32 MPG.  But a real big downfall is that the front tires went thin at 20,000 miles.  Heep in mind my driving got over 50,000 miles on my Honda CRV all wheel drive.  The dealer wanted $850 for a pair!.   So I went to Discount tire.
2,000 miles later, the brake light came on, I took it into a shop, the front brakes were gone.  Rotors and pads & switch etc. just under $1,000.  I didn't even ask the Mini dealer for a price.   The rears had another 10,000 mi left, so I am set to do fronts tomorrow.   As a note, I got over 50,000 miles on the CRV brakes AWD and they were still strong as per the Honda dealer when I traded it in for the Mini on new Years day, 2019,    
One other thing I realized about the dealer is when they did the $400 oil change, they did not rotate the tires.  The backs were 50% better.  Keep in mind, these are run flat tires, real expensive.   
"
mini,clubman,2018,Koala Mama, 12/06/2020,"Fun, unique compact car",4,"We bought this used 4 months ago, we looked at Honda CRV, Mazda MX5, Kia Soul and  others, we love it.  It is sporty, nimble, quick, and I love it's unique style, We have a rare color combination of Digital Blue with a white roof/mirrors and Satellite Gray interior that really stands out from other vehicles in its class..  It is comfortable to drive and roomy without being too large.  Gas mileage is great.  We recently took it on a 1000+ mile trip and found the storage space to be adequate for our luggage.  The one thing that I really, really don't like is that they have manual seats.  Seriously?  You can't put an electric seat in a $40k+ car?  Heated steering wheel would be nice as well. It is difficult to see out the rear window due to the pillar from the two doors, a camera that projects into the rear view mirror, like Cadillac, would greatly improve visibility. 
"
mini,clubman,2018,matt egan, 05/19/2019,JCW Clubman 2018 Rocketship,5,"Wow! This mini roars in sport mode with the JCW 228hp. engine growling and throaty all the way.  The 258 ft. torgue is gripping, and exhilarating.  This is what driving is all about. So lost in the many soft cushy cars out today.  I love this car.
"
