Company,Model,Year,Reviewer,Date,Title,Rating,Review
pontiac,aztek,2001,miwright, 09/08/2009,Go ugly early!,4,"The Aztek was recently chosen as one of the ugliest cars ever built.  I concur.  It is also the most utilitarian car that was ever built.  Parents always teach that it's what's inside that counts.  I have head room galore, unprecedented comfort, and radio controls at my finger tips.  Add a heads-up display (nice for me, a pilot), a zip-in tent, sound system controls at the tailgate, an ice cooler for a console, myriad other creature features, and you have the best little house on wheels!  I pity the man that looks only on the external challenges of this fine automobile and misses its inner beauty. My other cars are a Jaguar VDP, a 300ZX and a Lexus... guess which I like the most?"
pontiac,aztek,2001,rodgerramjet47, 10/01/2010,New buyer needs help with quirk!,4,"Just bought for 15 yr old Son for him to drive in a 6 months, and wife now after some brainless driver side- swiped her beloved 2005 Screeming Yellow mustang!  Bought cheap and car is absolutely like new red/black GT AWD. Got from original owner who has regularly documented maint hx and new guaranteed trans.  SUV has intermittent very loud intermittent rattle that seems to come from left front.  Rattle comes on more when air is on, maybe(?) Thought at first to be worn/loose shocks, but with all the A/C comments, wondering if condenser is failing and making grinding noise-- RPM drop?  Note: Air bolws VERY cold!?  "
pontiac,aztek,2001,justin, 05/18/2010,great,4,never have had a problem with my aztek. runs great. a few things have gone wrong. but i got the car with 150k. should have gotten a bigger motor. but i can't complain. i know everyone thought they were ugly but i think they're one of the nicer mid level cars GM built.
pontiac,aztek,2001,Mina, 07/16/2010,It got a bad rap,4,"At first I thought it was just plain ugly!  Then I drove it and bought it, needing a car NOW.  Fun to drive, great U-turns, comfortable, enough features.  New engine at 72,000 miles - a piston/cylinder spring broke - but that's the only problem.  26 mpg on trips - really good for the space we had.  Seating was good, even used the tent and mattress once (we're older).  Liked having shoulder belt in middle of back seat.  Disgusted that Pontiac/GM didn't have a comparable sized replacement, now in 2007 Rendezvous.  Like that, but, again, discontinued."
pontiac,aztek,2001,billduffy, 02/28/2002,2001 Aztek GT,4,"I like this car, I've owned mine for about 3 months.
Lots of interior room and features.
Gas mileage is awesome for a big vehicle, I'm averaging 24 MPG. 

With all the bad press about this car, I thought people would
be laughing at me while I drive, but nothing like that has happened.
Everyone I talk to about the car like it.

I have some problems with build quality,
but these problems should be easy fixes
and be covered by warranty.

This car has been great!"
pontiac,aztek,2001,magicbus20, 05/05/2014,The Best UGLY car you could ask for.,3,"167,000 miles is much more than I wanted when getting my first vehicle. This thing was ok and gave me a great experience. It lasted a littler over 200,000 before I gave up on her. (I can't tell for sure because of a short in the odometer.) Which brings me to the first con, electronics. There were a couple of shorts and other weird things happening. The transmission started to shift hard and slip out of gear on hot days. 
Overall I trusted this car with my life. Usually got me point a to b until a cold winter day. Heater had gone for some time and finally she overheated and kicked the bed, or so I thought. Family mechanic brought her from the dead. Still rotting in the yard."
pontiac,aztek,2001,Andrea, 05/01/2002,Love my New SUV,4,"After only having this vehicle for a 
month, I don't think I could drive 
without it! It is so comfortable and 
easy to drive. I recommend it to anyone 
looking for a good mid-sized SUV."
pontiac,aztek,2001,BusinessOwner, 09/18/2009,Must Purchase!,5,"This vehicle is the best vehicle I have ever owned! I have nearly 170k miles on it and have never done a single thing to it, besides oil changes and tires. When I hear about peoples vehicles breaking down it shocks me because everything works on this Aztek and it is truly flawless! I have heard many wonderful things about them before purchasing but owning and drive makes me a believer! My next vehicle will be a low mileage Aztek (if I can find one)... And the styling is still sharp for it's age! I love my Aztek TCH"
pontiac,aztek,2001,Steve, 10/19/2005,Disappointment,2,"I cannot say enough about how unsatisfied I am with this car.  It is a complete lemon.  Air conditioner quit at 40,000.  New tranny at 57,000, and new engine parts at 61,000.  I still owe more than it's worth and am looking to sell it for much less.  I am very disappointed in this vehicle only because I love the space and its fun to drive.  But now i own a $20,000.. $7,000 car, after paying 10,500 for it and putting almost the same back into it to fix it.  Wish i had never purchased a Pontiac"
pontiac,aztek,2001,mjessup, 05/19/2006,Crazy Car....,3,"Loved this car...when I bought it still under warranty.  Super fun.  Good price.  Great camping-getup.  Cool features (heads-up display!!) Met all my needs for the 1st year.  Then the warranty ended and I've had nothing but problems.  Like the others: Air conditioner out X2, Head Gaskets, Brakes X2, Various Engine Parts, Fuel Pump, and CRAZY mechanical problems that just won't quit (ie: lights come on and stay on when nothing is wrong, security system locks up and shuts everything off while driving, gauges spin in circles, headlights turn off, once OnStar even started talking to me..and I'm not a subscriber... it really IS a Christine!!) I've spent more in repairs than payments. Never again."
