Company,Model,Year,Reviewer,Date,Title,Rating,Review
ram,1500,2011,mrish, 06/02/2014,75k and going,5,"I'm just now hitting 75k miles on my 11' Outdoorsman.
It has been completely reliable to date.
No issues to report at all.
the only thing I've done is change the oil, air filter, and plugs.
Which by the way, has to be changed every 30k miles and there are 16 of them.
I have a 30' travel trailer that weighs in at 6400# and it tows it great.
I use it as my daily driver and it is absolutely comfortable.
MPG is about 17, mostly interstate."
ram,1500,2011,Tom K, 10/09/2016,My experience is different than most,3,"I see a lot of very complimentary reviews on this truck.  But I've owned mine for over 4 years now and my experience has been and continues to be that, although the truck performs very well and still turns heads--including mine--with it's looks, there's been a litany of reliability problems that have changed my word-of-mouth recommendation from glowing to questioning and now I just tell people that it's been unreliable.  Let's review, shall we: rattle in the front door (can't find it, and I've taken that whole door apart), doormat light under the driver's side mirror flickers, vanity mirror lights not working (these last 2 are non-fused circuits, which means it's likely the general electronic module--read expensive), very annoying buzz in the stereo (try getting this troubleshot--impossible), dropped a lifter and the camshaft got chewed up (fixed under warranty, but still an internal engine failure at 58,000 miles), and now the power steering pump is going out.  What's next?  I had a Ford F150 for over ten years and didn't have a fraction of these problems.  Plus the 16 spark plugs need to be replaced every 30,000 miles.  ~$250 a service)  I really thought I'd keep this truck for 10 years or more.  But now I'm thinking ""pay it off and sell it"".  Update: back seat rattles if no
one is sitting in it and a new rattle in the center console.  Second Update: TPS Sensors have become a recurring problem.  Can't seem to go more than a couple months without and then another one drops out.
"
ram,1500,2011,Theresa Davies, 03/24/2016,will drive it till one of us concedes,5,"bought my 2011 truck new after my  beloved Tahoe got caught in a flood. I've driven the heck out of it.  Its a truck it's suppose to be driven hard.  I've got over 110k on it and I love it still. I love the looks I get when I pull up next to some business men and I  hop out in my suit, heels and briefcase in hand. It puts their overpriced family vehicles to shame. Only issue I've had is tow mirrors make a whine when your driving over 40 and the wind hits them just right. Just recently I noticed a small oil drop on the driver side front. Oil checks out, nothing loose so ?
Still driving my Ram and still love it!  I've got 150K and no issues at all with it.
I now have major issues with my Ram - it had intermitten starting issues.  Battery fine, Fuel pump fine, everything checked out but it would not start at times.  So I looked to see if anyone else was having issues.  It turns out it is the fuel pump relay.  A rather expensive repair.  Because I don't give up that easily I researched further and found that IF your ram has the tire pressure monitoring system and you by chance get a flat and are unable to get the flat fixed right away or end up having a tire that does not support the use of the tire pressure monitoring system you will eventually run into electrical problems for other parts of your vehicle.
"
ram,1500,2011,gianofan, 12/27/2014,"After 3 years, still a good truck, but a few flaws",4,"After 3 years of owning this truck and putting 44k miles on it, I thought I share a few thoughts.  First of all, this remains a very good truck overall and I'm still happy with it.  That said, I'm eyeing a new 2014 or 15 Longhorn and considering a trade.  This is primarily due to the new 8 gear transmission.  The 2011 had only the 5 gear, and there is a huge performance difference between them (which I realized after a test drive of a 2014 model recently).  There are also a number of other nice new features in the newer models...."
ram,1500,2011,cgt79, 10/04/2011,Excellent Truck!,4,"Purchased my 2011 Ram about a month ago, and I could not be happier.

The truck is very comfortable and rides very nice, for a truck.
The fit and finish is excellent, plenty of cubbyholes for storage and soft touch materials.
The center console with bucket seats is huge and offers two levels of storage

The 5.7L Hemi has plenty of power when needed and gets decent gas mileage for a full size truck (I am averaging 17.5 for mixed city/highway)
and the transmission is smooth and responsive.

Other than a minor issue with the brakes (sensor was mis-adjusted so the brake lights stayed on and cruise would not work) the build quality is very good."
ram,1500,2011,kmartin25404, 12/21/2010,I Love My New Ram!,4,"I purchased a 2011 Dodge Ram 1500 Laramie.
I looked at Ford, Chevy, GM and Dodge prior to my purchase.
I have been very happy with my new truck.
I like the interior features and amenities.
The ride is very nice.
It has plenty of storage.
So far, I've been pleased with the fuel economy being a full size pickup.
The leather is elegant and plenty of leg room, even for it being a quad cab.
I highly recommend this truck."
ram,1500,2011,jarhead83, 09/04/2011,2011 dodge ram,4,I have had my truck for 3 months have about 4700 miles on it truck gets good mileage 16-21 5.7 hemi 4x2 slt bighorn but for the bad news the truck has been in the shop 4 times since I have had it 2 for the paint 2 for my power back glass leaking still do not know if it is fixed waiting a few days to wash again but know it will be going back as soon as the shop opens go in this morning it started and no gauges worked windshield wipers came on and would not cut off windows will not roll down radio will only cut off if you turn it off even with switch off so this will make 5 times in 3 months of which I owned the truck I like the look the power but man at the problems I'm having 
ram,1500,2011,bigmiles, 02/01/2013,Great to drive,4,"Purchased used June 2010, 34K miles, now have 68K. Con's: Have heard clicking/grinding noise under pedals when traction breaks. I suspect universal to transfer case, but dealer will verify. Other issue is the Uconnect / radio, cuts out, pops, this too will be dealt with at dealer. No cabin air filter for these trucks, guess that was a cost savings from manufacturer, I installed my own in 15 min. at a cost of $28.00 great investment. Glad I purchased the warranty. Pro's: Drove on vacation, I always use cruise, 19 MPG avg for trip of 2600 miles. "
ram,1500,2011,jfwill82, 02/25/2013,Engine Failure @ 16000,4,I purchased my ram new in july 2011. Up until recently it has been perfect. It has 16064 miles on it and the check engine light came on but i didnt notice any performance issues. I took it to the dealership to get scheduled in and they hooked it up to the computer and said it was only a missfire. I kept driving my truck and it only got worse. Loud knocking and backfiring and missing and valve noise. I took it back to the shop and they actually did a little bit of diagnostics on it and found the cylinder head had broke where the rocker shaft bolts to it. I have also had a grinding noise when losing traction when braking. 
ram,1500,2011,atraveler, 06/03/2012,"Most comfortable, economical truck ever",4,"I bought my truck used, with about 20k miles, I have driven it around 4 k with absolutely NO problems.
Driving the speed limit on the highway, using cruise, very little hard acceleration or braking, I am getting around 23 mpg.
I have owned 4 Dodges and several Fords and Chevys, and so far, this is the best.

I would recommend it to anyone."
