Company,Model,Year,Reviewer,Date,Title,Rating,Review
volvo,s60,2001,slcraft, 01/15/2012,"153,000 miles and still tight as a drum",4,"I bought this car and have owned it for a year.
It was bought used as a two owner of lease.
For the year, miles, safety features and modern amenities/luxury items if offered it was the most car for the money I could afford that was also the safest. Mine is still super tight and rattle free.
I was able to get the TPS (throttle position sensor) which is about a 1000-1500 repair done free at my dealership because it was a recalled (ww.vexedvolvo.com) and DO NOT buy a car that hasn't had it replaced, they all fail.
They warranty is 10 years and 200,000 miles for replacement.
Other than that it has been trouble free.
Make sure tranny fluid has been changed and timing belt done too!"
volvo,s60,2001,tfoster123, 05/02/2012,I love my S60,4,"I actually recieved this car at 192,000 miles, but I had been driving it as a family car from 168,000. We LOVE this car. My father and I do all the maintainence ourselves because let's just face it, Volvo's prices are nuts. At 198,884 (as of today) there are a few problems. My A/C cuts out after about 15 minutes, and I cannot turn it on if I want to get on the freeway. I also have a very rocky shifting, but have never had any real transmission issues as of now (knock on wood) and the suspension is less than desirable. However for a 18 year old? This was a great car to inherit. Other than the problems listed above, I love this car. "
volvo,s60,2001,VOLVONUTT, 03/02/2002,S60 IS THE BEST YOU CAN BUY,5,THE CAR WAS EXCELLENT WHEN I PICKED IT UP AND JUST GETS BETTER AND BETTER WITH EACH MILE!
volvo,s60,2001,Stell, 01/05/2010,Volvo for Life,4,"I have owned my S60 since 2001, just hit 70k miles. It has been reliable and saved my life in a highway spinout at 70+mph. I have been lightly rear-ended twice and I felt nothing, barely any damage, this car holds up and I feel SAFE! It does well on gas mileage for long highway trips but is a total gas guzzler in the city.  It performs well in winter weather. I change the oil every 3500 miles and keep up routine maintenance. Car is really spacious and the trunk holds a lot. Overall it has been a reliable, safe, easy-to-drive car and I receive many complement on its looks."
volvo,s60,2001,82airborne, 09/27/2011,My Volvo,3,"I have to be honest I read some reviews and was quite in disbelief of the what people said. I just bought a used Volvo that has 217,854 miles on it and it runs perfect. Basically what it boils down to is that my car had 1 owner who bought the car in 2001. If you dont take care of your car it wont run 217,000 miles..period!. i want to hear stuff like the light bulbs are easy to fix but the housing is brittle so be careful. I dont want to hear ""this transmission sucks i bought the car in 2001 owned it for 4 years and never changed the oil in it and it blew up..Worst engine Ever!"" because then you sound dumb and I learn nothing....so thanks and no i dont work for volvo im in the army i work"
volvo,s60,2001,Proj, 06/23/2009,Not bad,4,"This car is ok. I'm a true Volvo fan and this is a little disappointment in the reliability department coming from my '88 760 GLE. But it's so much fun to drive and very comfortable. If you get one of these, make sure the transmission fluid is clear and red and the transmission control module has up-to-date software! If the fluid is not clear and red, only use 3309 ATF when you change it. The transmission is very sensitive in these cars so be prepared for some serious upkeep on it. I've been fortunate so far."
volvo,s60,2001,Kathy, Mtn View,at 68K need to get new car,3,"I have had the S60 for 10 years now, it has never left me stranded but I never get more than 20 MPG, even for a long trip.  Had to replace the sunroof, now it seems the radiator is leaking, the transmission seems quirky, it has trouble shifting into higher gear so that may be sign of trouble, at 68K would not expect any of those items to be an issue.  So at this point I am in process of looking for a good used car, will trade this in.  "
volvo,s60,2001,manofsteel05, 06/14/2011,I HATE this car!,2,"This car is an absolute nightmare! I've had this car for 5 months and its spent most of the time in the shop.
This car has MAJOR transmission problems.
$3200 to rebuild the transmission and its still not working properly.
The front suspension stinks, it has major design flaws and wears out prematurely.
I just replaced the right side CV joint, control arms, sway bar links and tie rod assemblies.
$1000 plus.
The cooling fan went bad (previously replaced in a recall) and blew out my heater core
$1200.
I haven't dealt with my ETM but from what I heard its only a matter of time until mine dies. $1000
Do not read any of the early posts, the most recent posts are when the problems begin."
volvo,s60,2001,Michelle, 09/17/2008,I love it!,5,"I bought my Volvo S60 new in 2001 and just turned 92,000 miles. For the most part, I have taken the car in for regular service maintenance. It has been a solid, reliable and fun to drive car. I have read some of the reviews below and I don't know why I haven't experienced any of the issues. The only thing I can say, is my car was maintained through the dealership. As the salesperson suggested, I changed the oil every 7,500 miles not the 3,500 recommended for most cars.  Volvo has truly delivered with this car! The seats are comfortable. I have sat in the drivers and front, passenger seat and have absolutely no complaints.  "
volvo,s60,2001,Matthew, 04/02/2008,Great car,4,"I purchased this T5 with 50K on it from a Volvo dealer figuring they would have auctioned it off if it was bad. This car has been a joy to drive, fast and fun, with no machanical issues.  At 113K, it still feels new. I have had a few repairs but no big deal over all. I will be looking to buy the R once I reach 200K on this one."
