Company,Model,Year,Reviewer,Date,Title,Rating,Review
alfa-romeo,4c,2015,bruinnut, 01/20/2016,A true exotic that you need to drive to believe,5,"This car is not for everyone. It is not for those who want to drive a ubiquitous people mover from point A to point B. It is not for those who want to be in a cocoon separated from the road and without feel for the spirit of enjoyment on the road. But if you want a car that inspires, that will keep a smile on your face, that allows you to understand the relationship between road and machine in the most intimate and spirited detail, then the Alfa Romeo 4C is the only car south of $300k that will punch your ticket. 

The 4C is beautiful and masterful inside and out. The cockpit is made entirely of carbon fiber. The panels are made of high strength and lightweight sheet moulding compound. The engine is a highly tuned turbocharged 4 cylinder mid-mounted masterpiece, that delivers a cacophony of sounds that will let the driver know exactly how much fun it is having. The gearbox is a choice of paddle shifters or automatic, with a driver-selected all weather, normal, dynamic, or race mode. 

The cockpit is made for the driver. The controls are tilted to the left; the steering wheel is not a joystick with volume controls, bluetooth buttons, navigation, or cruise control. It is made to steer and to allow you to easily shift gears.  The seats are firm, comfortable, and supportive. If you want a bunch of buttons to move it up and down, inflate a back bolster, or cradle you with cushions, circulating air, and heat, look elsewhere. If you want simple and comfortable functionality, then this seat is perfect.

When on a drive, please plan extra time for taking the long way home, to the office, to the gas station, or anywhere else. You'll want to take that extra turn to stay behind the wheel. And when you park it or stop to get gas or groceries, get ready for folks you don't know to spill out and engage you in conversation as they daydream about driving your car. Yes, it is that amazing.

Update after 9 months of ownership:  

The 4C still puts a smile on my face every time I start it up. I've taken some day-long trips and the supercar has performed flawlessly. So far, there have been no technical or mechanical issues with the vehicle. The 4C is a rare vehicle and will certainly continue to turn heads for years to come, both for its sheer beauty and design, but also because it will prove to be a timeless sportscar. 

By the way, the 4C won't be around for ever. If you want to experience a true supercar at a BMW coupe price, now's the time.
"
alfa-romeo,4c,2015,bob, 03/18/2016,"If you like 80's exotics, this car is for you.",4,"It's been said before -- this car is not for everyone.  But, if you love driving a light, tight, awesome looking, sensory overkill fast sports car, this is your vehicle.  

The 4c is unlike anything else on the road today -- and thank heavens for it.  Now, if you want comfort, quiet, listening to your tunes while drinking a latte, and wanting to be unseen when puttering around town, then this is not your car.  Enjoy your Lexus.

Pros:  Just a blast to drive.  Its ""honest"" which in itself is unique today.  Nothing is covered up or added simply to fool anyone.  It's the real deal, not fake.  It's exciting, refreshing and unlike any other car made today.  It's obviously hand built and fit and finish is better than most exotics. The beautiful carbon fibre interior will make your eyes water every time you look inside.   The noise from the turbo charger waste gates will make you laugh out loud. It sounds a like 80's rally cars and seems to go like one as well.  Performance is more than fine for city streets.  You can floor it and run it through the gears without being tossed in jail.  The F1 style gearbox works remarkably well -- better than a Ferrari F430.

What's also surprised me is how reliable it has been.  In a year of ownership, not one thing has gone wrong.   To say I was expecting something different is an understatement.

And the car is just beautiful, along with being completely unique. If you want people to look at you, buy this car.  Between the noise and the looks you'll be a rock star on the boulevard.  Service is also very reasonable.  Yearly service on the car is only $240.  Try that in a Ferrari or Lamborghini.

Cons:  Ok, it's noisy,  And the wide body and doors do make it difficult to park in a normal parking space.  And it's a pain to get in and out of.  And it's a bit difficult to see out the back of. And the trunk is ridiculously small.  And the trunk latch is in a silly place.  And the seats are tight. And the seats don't move a lot. And the seat belt warning buzzer is annoying.  And it has no GPS. And the seat belts rub against your neck.  And there's no glove box.  And there's these silly wires coming out from under the dash to charge your phone.  And the cup holders don't hold larger drinks. And it has some turbo lag. And if you want to put things in the trunk, you have to put them on the ground first because you need both hands to open and latch the rear lid. And it has no power steering so parking can require some actual muscle use.  And if you're over 6 foot 3 you're going to say it's too small.  And if you're too wide the seats are going to be uncomfortable.  And it doesn't come with a manual gearbox.  And there's no climate control. And the Parrot radio is a complete joke.

So if the Cons have turned you off by now, then you know this car is not for you.  But if you love the idea of driving an 80's exotic with all of it's drama, feel, personality and looks BUT with AC and brakes that actually work in a car that doesn't fall apart before your eyes and is reasonably affordable to own, then this car is for you.

I personally love it.  You can thrash it unlike you can other more expensive sports cars and it only costs about the same as the 10,000 Corvette C7's you see everyday.

Thank heavens for Alfa Romeo. Someone was nutty enough to make a car a real drivers car today that doesn't seem like every other car you drive.  I don't think we will ever see anything like it again that us normal folk can afford.  Its a modern classic with a classic personality.  Now, how cool is that?
"
alfa-romeo,4c,2015,4C4ME, 03/17/2016,Most fun car I have ever owned,5,"If you love to drive -  this is your car.  It is fast, corners well, creates conversations and makes you smile!  I have never enjoyed driving so much.  Until I owned this car I was never a ""car guy"".  Now I am.  Best decision I ever made.  This is a true sports car, not a GTO, not a family car.  It is uncompromising and unapologetic.  The best comment I ever heard that perfectly describes the 4C was by a mom who asked if her son could go over and look at my ""Hot Wheels"" car.  That captures the essence of the 4C.  It will bring out the kid inside of you!
"
alfa-romeo,4c,2015,Phil Berry, 04/17/2016,Alfa Lovers Only,5,"I have owned 11 Alfas in my life. This is the best one ever. Mid engine, 4 seconds 0-60, maximum 160 MPH, and 43 MPG. A PURE Sports Car. If you have never owned one, you don't know what you are missing. Not for everyone, for sure, but those of you who have ever driven and Alfa or owned one will love this car.
"
alfa-romeo,4c,2015,HOBIE, 12/30/2017,ONLY EXOTIC FOR EVERYMAN,5,"really.. THIS IS AN ABSOLUTE 21st. CENTURY DRIVERS CAR.. If you are worried about trunk space etc..  please leave.. { it has more trunk space than the New Ford GT at $500K} this is a real sports car, so precise that you will never be the same once you drive it.. I have time in C7s/ P 718 Boxsters etc. and other mid-engine cars  and for the price and the technology it can't be beat!!  HOBIE...... Continuing. 7/2018.. For all the months I have been driving this thing, every time I get behind the wheel {top on or off,}  I turn to my sweetie and say ""I LOVE THIS CAR"" . Its basically a mini supercar and with some of mods out there, it can become a true beast..  which i intend to pursue now that I'm past my first 5K mile service!!!  HOBIE   As of 7/2019 ditto!!!!
"
alfa-romeo,4c,2018,SPYDER, 07/16/2019,62 Yrs old - SPYDER is my name!,5,"     This Alfa Romeo 4C Spider is the most engaging car I have ever driven...every time I get into this supercar, a smile comes on my face!! If you love twisty, tight corner back roads...this car never disappoints!!
      I drive with many other drivers of different makes...on these back roads...and they are wishing to drive an Alfa Romeo 4C instead...First, They cannot keep up, secondly...the handling of the 4C is with it's extremely wide footprint...is noticeably unmatched by their vehicles!
They definitely know what an Italian Supercar is all about!!
     I realized at 62 yrs old...life is short...I am having a blast before it is my time to go!!
"
alfa-romeo,4c,2018,Timmnk, 03/11/2020,Supercar?,5,Not sure I would call it that...but its a fine auto.
alfa-romeo,giulia,2017,Mr. Auto Expert, 08/02/2017,The best sports sedan available today!,5,"I have owned 67 cars since 1974.  Many of them were high performance or luxury vehicles.  From all the world's major companies.  (BMW x4, Audi x2, Mercedes x2, Lincoln x2, Cadillac x3, Porsche x3, Saab x2 to name only a few)  In that collection which I have bought and sold, I owned 3 Alfa Romeo's pre-1995.   This new Alfa Romeo Giulia sports sedan is BY FAR, the best car I've ever owned, period.   There have been ZERO reliability issues, that seem to consistently plague Italian made vehicles. I base my review on my 44 yrs of car driving experience and knowledge of automobiles in general.  Styling, performance, handling, and practicality.  I give this car the highest marks possible in each of those important categories. If you are considering leasing or buying a new 3-Series BMW, C-Class Mercedes, or Audi A4 or Lexus, drive this car first, so you can be impressed by the overall stupendous drivability and performance of this fantastic Italian masterpiece!   I can not recommend this car highly enough.   Now that its been 3 years of ownership, I can add that the reliability has been perfect for this sport sedan.  I have had zero problems or issues with the car.  Obviously Alfa Romeo has greatly improved their reliability from past experiences.   This is an outstanding car and a true value.  After driving this for two years now, I still say the Giulia is the best sport sedan sold today.  We've had ZERO problems with this car.  Everything is wonderful, especially the driving experience we have daily with it.
"
alfa-romeo,giulia,2017,Jerry Jerome, 06/15/2017,This car is a head turner,5,"I have owned a 2017 Guilia TI for 3 months.  There was a glitch in the voice recognition portion of the phone blue tooth funtion that was fixed after several attempts and is now functioning flawlessly.  I have owned MB, BMW and Audi's and this car accelerates, stops and handles better than any vehicle I have ever owned.  People are always stopping me to admire the car and ask about it. It looks as good as it drives.
"
alfa-romeo,giulia,2017,ECCalfa, 03/08/2017,Love it,5,"Love the design. It's eye catching. The handling is incredible. The 4 cylinder sounds like a V6 and has a good growl. It's a blast to drive. It has a lot of cool features like auto wipers, collision warning, and headlights that light up the corners when you start a turn. The Harmon Kardon speakers sound great.  The tech package is very simple, but it works really well and takes no time to master.  My guess is while it's more basic it's probably going to be better than most systems that they try to force too many features in and they are glitchy. Slam on the breaks and the car stays flat, zero noise drive.  The quality is top notch, not single defect or rattle. Only had it for a few weeks - really hoping the reliability is there too. The front sport seats are a tad hard and seem to be built for smaller people. The shifter is taking some time to get used to. That's about all I can find on the downside.

2 year update - still love it. Mine has been more trouble free than the Infiniti I had prior to this car. A few little quirks here and there but nothing worth mentioning.
"
