Company,Model,Year,Reviewer,Date,Title,Rating,Review
aston-martin,db11,2018,Gene, 12/22/2018,Our third Aston,5,"This is our third Aston Martin. My wife thinks that it is the most beautiful car we have ever had, and this car is our 76th car. When I go to Cars and Coffee with it they have us park with the exotic cars. Last month between a Ferrari and Lamborghini. It had a crowd around it from the time we got there until we left. It gets noticed more than I thought it would, but always with positive responses. None of the negative that a Ferrari or Lamborghini gets. It is a true GT car with a bit more towards sport than the Bentley that is a bit more towards comfort. Our Bentley is a GT Speed that also has 600 hp but has all wheel drive. The DB11 has 600 hp but with rear wheel drive and can be a handful if you turn off the traction control. It has a beautiful leather  interior that is very comfortable even on long trips. It is just about the perfect GT car.
"
aston-martin,db11,2018,Scott, 08/26/2018,We call her Jane,5,"I absolutely LOVE my DB11 V12 Coupe.  It is an exotic car, with the performance of an exotic car, but it is easy to drive and not as flashy as most exotics.  We live the heart of Boston and driving around the financial district is as easy as our Porsche Macan Turbo.  Visibility is great and the 360 camera system helps a lot in tight spaces.  I worried a lot about scraping the front chin but in 3 months we have not scraped it yet.  It feels and sounds like you are going faster than you are at lower speeds, but at higher speeds they all feel the same.  It is not an exaggeration when I say going 75 feels the same as going 105, which requires frequent monitoring of speed on the interstate.  The interior is absolutely amazing in every respect, and the seats are both supportive and comfortable, even after several hours in them.  It is also one of the sexiest cars on the road.  If you want an exotic that somewhat blends in, is lovely to look at and sit in, easy to drive and more performance capability than you will ever need off the race track, then you cannot go wrong with a DB11.  If you do not care about gas mileage, then go with the V12.  I had the performance package installed bumping it to 630 hp; noticed the difference as soon as I left the dealership with it.  
"
aston-martin,db11,2019,Mark Holloway, 06/11/2020,"Pedestrian-stopping beautiful, power and handling",5,"I have owned the DB11 and the DB11 AMR.  The AMR improves on an already very impressive formula.

The DB11 is so beautiful, it makes you smile every time you see it in the driveway and pedestrians will stop to gawp and take photos.  The proportions and lines are just perfect, with those flared hips and long bonnet accentuating the looks.

The quality of the cabin is undeniable, with hand-stitched leather everywhere, smelling just wonderful.  The electronics in the infotainment system are mostly from Mercedes (albeit an earlier generation), which is, frankly, a relief as their system is one of the best.

The power is awesome and, frankly, more than you will need most of the time.  Massive torque delivery is at almost every part of the RPM range.  I have very rarely put my foot fully to the carpet, other than on a dry, straight road on the German autobahn.  The AMR suspension is stiffer than the original DB11, meaning alpine roads are easier to navigate but still fun enough if you accelerate.

Given it is a hand-made car with millions of lines of software code, some niggles are to be expected, particularly from earlier models.  My AMR is a 2019 model and has been virtually trouble free, apart from a loose hose on the cold-start system.

Overall, a lovely car that will make you smile every time you get into it and others smile when they see it.
"
aston-martin,db7,2002,008, 11/16/2002,Aston DB 7 Vantage Coupe,4,"Boy, I thought I got a lot of comments 
on my 64 Mustang Convertible. You 
cannot drive the Aston anywhere without 
getting complete strangers coming up to 
you to talk about the car: ""I wanted 
all my life to see an Aston"" ""Oh my 
God, the James Bond car!"" ""Are you 
married?"" It is a real pleasure to see 
the joy this automobile brings to 
people."
aston-martin,db7,2002,Mr. B, 04/27/2003,Good Stuff All Around,4,"I personally own two DB7's, one in red 
and one in green, and they are by far 
two of my most favorite vehicles. The 
vehicles have never broken down and 
they always respond to any weather 
condition, any driving surface, and any 
other distraction remarkably. The 
interior noise level is minimal even at 
high speeds. It is a great vehicle."
aston-martin,db7,2002,Simon Guntherd, 12/01/2002,Great,4,"When i first got into this car I 
thought it was a bit cramped but after 
i took it ou tof r a test drive I 
forgot all about the interior and let 
the my feet and hands take over.  Get 
this car if you ever get the chance"
aston-martin,db7,2002,AstonThree, 09/29/2002,Third one,4,"I just ordered my third one. Obviously 
I like the car. I think these cars are 
with out a doubt the sexiest looking 
cars on the road. They aren't flashy, 
like Ferrari. ""I would be embarrassed 
to drive a Ferrari"" Class not flash! 
This car turns many heads &#8220;I get a 
thumbs up at almost every intersection 
from someone that spots the car"". 
People always try to egg me on to race, 
I always ignore them."
aston-martin,db7,2002,Noah, 03/16/2002,My beautiful Aston Martin,4,"The cost seems high, yes.  However if you are willing to get into the range of 100,000+ many things open up to you.  Companies such as Ferrari, Maserati, Bentley, Porsche etc.  You must ask youself not how much you want to spend but what do you want. I wanted a car that was powerful, beautiful and well made.  I wanted a great touring car.  I wanted a car that I could take a trip to the coast with.  With that I purchased the Aston Martin Volante 2dr.  When people say, ""well your down 100 grand how do you feel?"", I just smile and laugh.  Cause I know I am up a million."
aston-martin,db7,2002,Hoss Boss, 11/26/2002,The Greatest,5,"This would be my 12th one and i really 
love them, i could'nt ask for anythign 
else from this car. I would recomend 
that everyone should get one someday. 
I can do anything i want and go 
anywhere i want to with these cars."
aston-martin,db7,2002,T.Glick, 10/22/2002,My New Aston....,4,"I just bought a brand new DB7 
Vantage Coupe.  It is a beautiful car, 
inside and out.  It is colored in an 
irridesent grey, and the interior is 
Black with carbon fiber trim.  It is a 
magnificant auto.  I ordered this car 
with the James Bond special edition 
sport package, sport tuned exaust 
and all.  Everywhere I go, heads turn, 
one guy even bowed to the car and 
said, "" im not worthy"" the other day.  
The car put me back quite a bit, but it 
is every bit worth it.  I've had no 
mechanical problems at all, 
however, it is only 2 weeks old.  
Powe (420 hp) ,performance (0-60 in 
5.0) and beauty...I love this car."
aston-martin,db7,2002,Symonte, 10/26/2002,DB 7 Vantage Coupe,4,"I always thought my 64 Mustang 
Convertible brought smiles of joy to 
the faces of people. That was nothing 
compared to the DB 7. Almost every time 
you drive it, complete strangers come 
up to you to talk about the car, 
sometimes leading to crowds of 4 or 5 
people. It is really quite a pleasure 
in our increasingly cold, impersonal 
world to see people react with such joy 
when they see this car."
aston-martin,db7,2002,The Pat Master, 07/01/2002,One summer day,2,"Do you like expensive toys? I thought I 
did too, until I bought an Aston 
Martin. My Vantage was simply a large 
money pit for uncomfortable rides in a 
car that handles like a Ford Escort."
