Company,Model,Year,Reviewer,Date,Title,Rating,Review
bentley,bentayga,2018,Larry Keller, 08/28/2018,Software problems with new electronics,3,"This is our fourth Bentley that we have owned. We purchased a 2018 Bentagya in November 2018. Currently we have 7200 miles on it and this is what we have encountered.
This generation of Bentley has a new set of electronics compared to the last three we owned. We do not like this new set of electronics, the car is very unpredictable and not user friendly. We do not feel this is a SUV that you can relax and drive. You need to be attentive to certain situations that can occur.
For example every time you turn on the air conditioner and / or heater, you must set your settings each time, (windshield, dash vents, or floor). You need to press more buttons to get the system to work. I have figured out that you need to set up the air system before you start driving due to the time to set up and not looking at the road.
The driver door does not close automatically and will cause the parking brake to come on, whenever you stop. See more in other paragraph.
Bentley has also designed a shut off mode for the motor, that is on unless you turn it off each time you start the car. If you forget to shut off that button or change modes, watch out. You will go to push the gas at a stoplight and nothing will happen, then about the count of 3, BAMMMMM!!! Your car shoots off thru the light. We have almost rear ended several cars because of this. You go to push the gas and nothing happens, you wonder what happened, and then it starts and rockets off. 
The front end collision braking system has activated several times on me, and once on my wife, when there was nothing close to the front of the car. When this occurs it almost throws you thru the windshield and makes you nervous each time you see the red light in the dash light up.
The biggest problem we have had is the driver door will not shut automatically with the motor all the time. Sometimes it shuts and sometimes it does not. If you restart the car, it will work (electronics). We took it to the dealer; they tried to update the system with a software update. It did not work. Our door still does not close and now they want to order the part to fix it. I think it is more of an electrical problem than part, but we will see.
The day before we had the car in for service, I had a low tire light come on, so I asked them to fix it. I was told when I picked up the car that they could not fix the tire because the tread was too low and it was against their policy to fix tires in that tread range. Keep in mind that the car only had 6900 miles on it at that time. So my question is, are the tires on the Bentagya only good for 10,000- 12,000 miles? I guess so. Expect to replace your tires after the first year of driving, due to the cheap tires they are putting on them.
This Bentagya is not the SUV that we were hoping for when we purchased it. With what we have encountered so far, I would suggest a Range Rover and save yourself $130,000.
"
bentley,bentayga,2018,Gersalv, 08/07/2019,UNSAFE TO DRIVE,1,"I own a 2018 Bentley Bentayga. It is everything they say about handling, car colors, speed, etc. Hoever what is NOT said is the car' s safety. After only 8800 miles, I took my car in for the first service, which I thought would be routine oil change, filter, etc. I was horrified to learn that my brakes were dangerously low! I had to not only replace pads but rotors as well which had already been damaged. The service manager at the dealer told me this is a common problem with this car. I am an elderly woman who drives to Dr's apts, church, shopping, etc. I called Bentley numerous times for an explanation. Customer Service told me the Regional Manager would call. After not less than 5 calls, he has yet to return my call. 
You take your life and the life of your loved ones  in your hands driving this  car.
"
bentley,bentayga,2018,Bryce, 10/26/2019,Simply amazing,5,"I simply have nothing bad to say about this incredible work of art.  I drive mine fast and hard.  I always turn off the auto engine shutoff on every car I drive.  This is now standard in every high end car.  O -145mph feels the same as 70-150mph.   No jerk, no stall,  you are just instantly gone.  It is like a jet engine with no gforce.   I have recommended one to all my friends.  Super comfy as well
"
bentley,bentayga,2019,Jon Wilson, 07/22/2019,"Yes, pure amazing",5,"There’s nothing really to say, accept this car is amazing, the one problem though, is the price. But that’s really all there’s to say! So I recommend this car!
"
bentley,bentayga,2019,John Kidd, 02/11/2020,John Kiidd,5,"VW had a lot to say with the Bentayga, Urus and others within the group. Season, save money on underspend designs. The Bentayga is a stunning Suv. Don't need luxury in the boot, but Bentley do give you some expensive options.The audio is excellent but the MMI could of been upgraded. Install a wide body Mansory kit for about £85000 (Not cheap) but it makes the motor Amazing, try and keep away from keeping the bonnet & radiator couling Carbon look, if painted with the right body colour, it will look Stunning"
bentley,bentayga,2019,GVH, 02/05/2020,German luxo rocket with traditional English issues,4,"Not pretty but imposing. Excellent interior with 1990s infotainment .The W12 engine is a rocket while its trasmission while fast and precise, is too ""reactive"" and switches gears too often at medium speed city traffic Excellent ride and silence, very polished.Does not feel as big as it is behind the wheel. Glitchy warnings scare you with alarming messages such as drive system fault!
"
bentley,continental,2002,Al Edmond, 08/04/2002,Al's Bent,5,"Its been the greastest car i have ever
owned, i get looks from everyone and the
girls just come and run to me when im in it."
bentley,continental,2002,joel, 02/28/2002,wow,5,i love this car!
bentley,continental,2002,Big Balla, 03/31/2002,My Bentley,4,"Great Car, but only for the financially stable....  Ha! Rides and handles great, awesome acceleration."
bentley,continental,2003,TOADY, 04/26/2003,SWEET CAR,5,"I had this car for about 3 months now 
and Im obsessed!  The car handles 
great, rides like a cloud."
bentley,continental,2003,SM, 12/30/2019,car window falling apart,1,"car window falling apart. Over $5000 to fix
"
bentley,continental,2018,TTJ, 07/04/2020,Car of your dreams,5,"This car is easily one of the most sought out cars in awhile
2018 Supersports Convertibles  are rare used . Only 150 made it to the US This is your last beautiful ride 
Smooth , incredible power. Beautiful , Quiet ride . With the windscreen , the Top down is beautiful.  Lamborghinis and Ferrari’s are showy 
Everyone who sees this car is intimidated and inquisitive. Many just want to sit in it
You can actually drive this around town 
Just a true obsession
"
bentley,flying-spur,2014,Happy Mom, 12/29/2016,A Heavenly Ride!,4,"I have driven many luxury cars, Mercedes, BMW, Maserati, Jaguar, to name a few, but this ride by far, is like no other! On a scale of 1-10 I give it a 12 in comfort and the same for it's impressive look. My only issue is that I'm a tech-lover and it seems to be that even this updated version (I previously owned a 2009) doesn't offer the same technology as, say the Maybach or even a simple Mercedes GL (which I had as a loaner car and appreciated the technology). So I'd say that's the only thing it lacks but otherwise it's one helluva machine!
"
bentley,flying-spur,2014,Suzie Villere, 06/14/2020,Looks and runs like a Bentley!,5,"This is not for the faint of wallet, but is a car you can own for a couple of decades.  Bentley styling is timeless... the 1990s-era Arnage still looks handsome and stylish today.  The materials are the very best, and the fit and finish is unparalelled."
bentley,flying-spur,2015,Abe, 12/13/2015,>2 minutes tin can,4,"The review after 3 years with about 23,000 miles:
I really did not have any problem with anything except with the display unit. It kept freezing and not responding to any touch/button unless the car is turned off and turned on again. They replaced it under warranty but I understand it would have been >$6K items if I had to pay. Other than this there has been no other issue. Car is still very nice to drive and feels as good as new. Of course there has been NO fix the to electronic performance that I mentioned below. It is pity for a car like this to have such terrible electronic performance. Cars with 1/10th the cost has better electronic performance. Apparently this was a known issue even on the previous models. Some body should have been fired over this!
By the way, I have V8  Flying Spur not V12 as the heading says. I could not navigate to change it to V8.

I have 2015 Bentley Flying Spur V8. This is how long it takes for it to load up the phone files and it takes almost 25 seconds for the rear camera to come on in the morning. When you go over the road divider rectangular reflectors it makes noises that makes you think you are driving ""PINTO"" It actually ""accelerates"" when you want to decelerate in cruise control mode before it decelerates. These are some of the features that Bentley calls ""normal"" It took repeated calls and days for the Bentley customer service manager to call me back. Other than some of these problems, it is a beautiful car, fun to drive, quality finishes all thru. Information system is actually pretty functional and intuitive but its performance sucks! It is a big car but it feels sporty and connected to the road. It would have been really a great car if it did not have these problems that Bentley calls normal.  I have about 6K miles on it so far and it had no mechanical problem.
"
bentley,flying-spur,2015,Charles Jones, 07/01/2016,Fantastic!,5,"The 2016 Flying Spur is absolutely perfect.  The interior quality and finish is second to none, as expected.  The thing that surprised me the most is how fun the car is to drive.  You cant hear a thing when driving in the cabin.  The ride is so smooth I didn't even notice I was going 100 mph until I looked down and the beautiful instrument cluster.  Purchasing a radar detector is certainly a good idea. This is a heavy car but it corners and handles like a dream.  Put it in sport mode and you actually have more power then you know what to do with. Took the car over a windy mountain pass and I was simply amazed at how well the car ate up the curves.  Coming from an S550 4matic there is really no comparison between the two.  Totally different driving experience in a good way.  Oh, and its also nice when passengers from other cars are taking pictures of the Flying Spur as you drive by.
"
bentley,flying-spur,2018,Bhullar, 10/21/2018,Fair deal,4,"Great luxury CAR ,I own 2018 custom made of order. But inside gudgets  and  latest tech like blind spot indicator,chamber for sunglasses, navigation tool. definitely poorer then my S550 mercedes Benz 2017
"
bentley,flying-spur,2018,drputt, 03/24/2020,Superb,5,"drives like a dream
"
bentley,flying-spur,2018,Djlboston, 06/07/2020,It’s a yacht that drives like a speedboat,5,"I have the 2018 v8s. Classic black. It may not outperform the best from Mercedes and BMW, but it dwarfs them in class and scarcity. Worth every dime. 
"
