Company,Model,Year,Reviewer,Date,Title,Rating,Review
fiat,124-spider,2017,Michael Lang, 04/03/2018,8 Months research and finally bought the ABARTH,5,"I had concerns over buying a FIAT. Lets face it, lemons are common but some get real good 500 ABARTHS that work well. The fact that Mazda was building the 124 inspired me to look past this. The car itself is 100 times more beautiful that the Miata version. My sticking points were ABARTHs comming to US had FIAT badge on wheel. As of March 2018 that has changed. Abarths now have proper abarth badging on the interior for 2018 but you have to look around as there are many older versions on lots. Next sticking point was that Miata's got the Retractable Fastback and FIAT's did not. What is more Italian that the RF top. Looks like the 70's Targa tops. Fiat could have branded it a Targa and they would not have been able to keep them in stock. I know all my friends were hoping for this as well. UGH! So I bought the ARARTH in Black. Wow the color is so deep and rich in the sunlight. Pictures do not do this car justice. Must see in person. My ABARTH is a bit rough in 1st gear for a manual. Been driving manuals all my life. This one I stalled 4 times on way home from dealer. The car wants to go. Low RPMs the car lags a bit and begs you to let it breath. There are two essential tweaks that fix this. One the DV+ diverter valve allows more low end and solves some issues with the cheap plastic diverter valve that comes from the factory which is either open or closed.... No in between. This DV+ also helps prevent turbo flutter which is potentially damaging buy allowing flow the turbo air flow back though the valve as the turbo winds down between shifts. Much healthier.. Second as the high pressure through the lines can bring with it some oil, it is good to add an oil catch can on these cars to reduce the amount of oil that can get back to the throttle and multiair unit which can be damaging over time. These two changes do help the car become more bullet proof. The car shifts great and has power.. Much more than the miata which I drove several times in my search trying to decide whether to drop the Fiat and just get the targa I love and deal with the angular futurist look of the miata rather than classic Italian beauty. I got the loaded version. I suggest just getting it with all options. Bose system is awesome, Navigation is easy. While touch is disabled when the car is moving, it is easy to manage shifting and using the dial to change channels etc. so the Tech in the car is great. Was able to save all my Sirius Channel Favs on way home from dealer lot. ABARTH sounds great in either Sport of Normal. Noted the Sport mode dials up the performance a bit which did feel more responsive. Im about 5 foot 10 inches tall and hover around 200 pounds and I fit comfortably in the car. If someone is over 6 foot they may find it cramped. I love the gauges and Abarth logos on seats and steering. It gives the car uniqueness and people have no clue what the car is when they see it which Scorpion badges all over it. I was asked at a gas station if it was a Ferarri. Lol I wish. Car takes corners like a champ and those Brembo Brakes really work well. I know that squirrel thanks FAIT for its life. Convertible top is same as Miata and is sooo easy to put up or take down. Chrysler and many aftermarket sites are selling a lot of after market upgrades so this car is very good if you want to make it a track car. But.. I only bought the two items i spoke of earlier. Abarth already has limited slip diff, Front and rear anti sway bars, Front and rear strut tower braces, Brembo brakes, and a killer sounding exhaust etc.. so its more performance than most people need. Im getting around 30 MPG average which totally surprised me. In summary, this car is more than I could have hoped for. I would like to see an aftermarket company make a targa top for this car but outside of that. Its my childhood dream of owning that Triumph TR7 or Fiat X 1/9 Bertone Targa car that I could never
 find married to modern day conveniences. I want to slap myself for even considering buying that Miata. I would have never forgiven myself. :) I am living my childhood dream of owning and driving a EURO roadster even if it is a Miata in Drag.

1.5 Years later: so it’s fall 2019 and I was asked to update my review: in the most true sense, I fully stand behind my Decision. I love Abarths 124Spider. I drive all the time in Sport mode. It handles, drives, turns, and responds like a light weight convertible sports car should. It gets great gas mileage even though I can’t keep my foot out of it.lol It has been very reliable and I still get head turns, shouts out windows etc. of how cool my car is. I also get many pretty young women slowing down to take a second look or flirting. So it’s a confidence boost. Lol No issues mechanically at all. Just oil changes and a tire rotation. I feel my research paid off as nobody is buying them. 20 years for now I may sell one at Mecum for a major profit as a rare car. I bought 2 of them so I will keep 1 till I die for sure.
Read more
"
fiat,124-spider,2017,Leo M, 12/11/2016,What a great ride!,5,"I purchased this Car November 19, 2016. Its a base model Lusso with no real upgrades. I have had an extended highway trip and several day trips and I have fallen in love with this car. I owned an 85 Fiat Spider 2000 and I am partial to the Italian styling evident in the body design. Needless to say the performance over the 85 model cannot be compared. The 1.4l turbo accelerates on demand and shifts smoothly up and down. I am using the Asin auto transmission. The road handling and cornering are sharp and responsive. Even so, its a smooth highway drive even on long trips. Its not the fastest 0-60 but it is quick. In my opinion, the base sound system is adequate for all but the most serious audio enthusiasts. I stream Pandora thru my phone and the sound is terrific once adjusted for treble, bass and balance. So my major positives are style and road handling. The only major drawbacks are leg room and trunk space. I am 6'1"" and I can fold my knees into a comfortable driving position, but there is not enough room for my big feet. Strangely, I have more than enough head room with the top up. If you have big feet there is limited room for the clutch, hence my selection of the auto trans. Any over 6'2"" will have difficulty driving this car and they will not fit in the passenger seat due to the trim located where the glove box should be. There is very limited storage space inside the passenger compartment. The trunk has enough room for two small duffel bags and a computer bag. That's fine for my use as a weekender car. Price point for base Lusso is very attractive. In my opinion, a lot of the extras in tech package are not necessary or worth the addt expense. Lastly, when people see it they will think its a Miata or they ask what it is. Personally, I do not think it looks that much like a Miata but there are not many on the road yet, so its understandable for mistake. its a great car for those looking for a fun weekender.
"
fiat,124-spider,2017,drbjaz, 08/08/2016,"After twelve months, we still love this car",5,"After twelve months of ownership, we're still in love with our FIAT 124 Spider. We've taken it on several road trips, some as long as six hours of driving and 400 miles in a day. For a roadster, the ride is excellent. We never feel tired, uncomfortable, or anxious for the ride to be over. It's awesome being able to enjoy the journey as much or more than the destination. For me, the Spider is the perfect blend of comfort, performance, and driving pleasure. Finding a nice twisting road through the mountains is pure joy. The handling is superb and the power is more than adequate to handle any situation whether it's climbing a steep grade or passing a slower vehicle. It stays planted in the curves and corners. The Spider has performed flawlessly with no problems of any kind.  My original review is in the paragraph below.

Realizing that a two seat roadster isn't for everyone, if you enjoy driving, or would like to enjoy it and have the luxury of being able to get by with just two seats, the FIAT 124 Spider is a great choice. Unless you just don't like driving, the FIAT Spider is sure to put a smile on your face and make you want to take the long way to wherever you're going. This car isn't a super-powered muscle car, but is light weight, nimble, peppy, and handles superbly. While beauty is in the eye of the beholder, for me, this car is gorgeous. Many sports cars are known for their harsh ride - not the FIAT. While providing great sporting performance, it also has a very comfortable and enjoyable ride with the top up or down. I'm 5'-8"" and the car fits me very well. I can imagine that someone over six-foot would feel a bit tight. I test drove both the automatic and the manual and concluded that, while both are really great, the manual provides an edge higher level of driver engagement and driving pleasure. But, upon the insistence of my wife, I purchased the auto. While I enjoyed the manual, I'm very pleased with the auto. It's great cruising on the open road where you're not shifting a lot anyway, and it's also less of a hassle in city traffic. I couldn't be more satisfied.
"
fiat,124-spider,2017,Marvin Goodpickle, 10/09/2017,"So far, so good!",5,"I haven't owned a ""roadster"" since I ditched my 2000 Miata back in 2011 because it was nickle and diming me to death. This 2017 Fiat Spider blew me away. I was seriously considering a Miata again, but after I read a pile of reviews and took several test drives, I was hooked on the Spider. (Plus the local Mazda dealer was jerking me around). Granted, Fiat skimped on the ""Mattel-made"" sun visors and the bland, colorless instrumentation (not even a red line on the tach), overall, it's very easy on the eyes, very well made, and with enough accoutrements or lack thereof to meet most-but not all-budgets. My main complaint is the noise at highway speeds. They indicate in their marketing that it's quieter than a Miata, but it's definitely more noisy than my 2000. The radio is pretty useless at highway speeds, unless you have a headset. At first, I was taken back by not having a spare, but I suppose the fix-the-flat stuff in the trunk will work OK. (Maybe I should read the directions before I need it...?). Oh yeah, and it's a blast to drive. For an aging grown-up, the fit is snug but comfortable, the steering and handling are great, and it has MORE than enough power to get me very quickly from point A to B in style without acquiring too many tickets-I hope!
"
fiat,124-spider,2017,Leslie Shopf, 12/22/2017,Fiat spider part 2,5,"I had a spyder 20+ years ago that was very fragile and had lots of problems. This car is 180 degrees from that. With the exception of the cup holders and glove box which are awkwardly placed, there is nothing I would change. I feel such joy and satisfaction every time I am in this car.  The only other problem, which the dealer is unable to fix, is that my tire inflation warning light comes on even when the tires are properly inflated.
"
fiat,124-spider,2017,Stelvio, 12/01/2016,This much fun has got to be illegal,5,"When looking for two seater, drop top roadsters, that capture the fun of driving a curvy, technical back road for a low price, you have a choice of a Miata (Mazda MX-5) or a ?. And Mazda does it well with a light weight, quick, well made and reliable car. But it's styling, for me, was like the rest of the car, superbly functional.  All it needed, was some passion to make it perfect and a little tuning by a culture with a rich road racing history.  Along comes Fiat, to bring it both.  The beautiful throw back looks of the 124 Sport Abarth, added to the MX-5 would have made a great car inspiring, and the looks distinctive, but it would still not be a Italian sports car but rather a better looking Mazda.  But Fiat ripped the heart out of the Miata by replacing its engine with the soul of an Italian. Now it has it own looks and the totally different driving experience that a turbo charged motor brings to a car.  But what about that tuning?  That is where the Abarth model's unique features come in .  The Bilstein shocks added to the front and rear, revised roll stabilizers, limited slip differential, 17 inch wheels with 205 low profile tires, the revised more throaty exhaust that adds four horsepower, - combine to allow the engine, suspension, and even the steering to be dialed in with the sport mode button to transform the 124 from a gentleman's sporting vehicle into a superbly controlled, feisty, canyon carver expert that blows the top off the fun driving chart. This car feels like it is nailed to the pavement no matter the road surface or the severity of the curves.  Add the Brembo brake option as I did, and you can bring down your boiling cup of espresso to a standstill in a heart beat. Put it all together, as Fiat has, and this is the most fun you can have for a $25 tank of gas that will take you 350 fun (did I mention it was fun?) filled miles..  I have only known her for 1000 miles so far, but I can tell you already that if it were possible to marry this car, I would.
"
fiat,124-spider,2017,Sunny FL. Why does anyone live north of NC??, 03/17/2017,Fantastic Car!,5,"2017 Fiat Spider 124 Abarth, manual with brembo brake pkg.  It is such a joy to drive.  Handles fantastic, beautiful interior, beautiful looking car outside and inside. Love the hood and design of the car.  I owned a 95' 325I for about 9 years, (very good car), and a 2006 330I for about 2 years.  The 330I cost a lot of money in repairs.  I wanted to purchase a 2014 Cayman S but the price of admission for a nicely optioned used one is about $50,000.  I test drove the Fiat Spider and for $31,700 brand new it was a no brainer.  Plus the Spider comes with 4 year 50,000 warranty vs 3 year 36,000 for the Miata.  I still would like to get a Cayman someday (but would like to keep the Spider as a second car) but for now I couldn't be happier with my decision.  I look forward to driving the car everyday.  I'm 6' 1"" and fit comfortably but it would be nice to have about 1 more inch of room so I could get the seat back a bit further ( I also wish the Cayman seat went back about one inch further).  That's why I gave it a 4 star out of 5 for comfort. I test drove the Fiat and then went and test drove the Miata the same day.  The Mazda Club with brembo brakes you can get for about $30,000 and the Spider Abarth is about $31,700 plus tax.  You can't go wrong with either car.  I believe the Mazda handles a little better and is a bit faster.  But for my everyday driving the Spider is just perfect.  It just came down to personal taste.  The clincher being Japanese build quality with Italian styling.  I like the alcantara seat fabric and the Recaro seats.  Plus the quad tail pipes.  They sound great in 1st and second gear but I wish they were louder as you go through the gears.  I love both cars but just liked the looks a little better of the Spider.  If you want wheel locks so some clown doesn't steel your wheels you can get them from the Mazda parts dept. for about $59 or order them online from Good-Win-Racing.com part # 61-1057F for about $99.00.  After reading the comments about the goodwinracing wheel locks I opted for those.  Don't think you can go wrong either choice.  Happy motoring.  And do your self a huge favor, regardless of what your wife or parents or friends say, make sure you get the manual...  Shifting gears is half the fun of owning the car. 

One year ownership update.  I have put 13,300 miles on the car.  Zero maintenance issues.   Car has been fantastic and dependable.   Took in for scheduled maintenance one time for 72.00.  It's a great car.
"
fiat,124-spider,2017,Wilson P, 10/10/2016,Fun Is All There,5,"My previous sports cars include a Porsche Boxster, a BMW M235, an RX-8, and three editions of the Mazda Miata from 2006, 2010 and 2013. I mention that history because the 124 Spider from Fiat is the least expensive ( i paid right at $28K) and in my opinion, the best looking of them all. You might know that Fiat and Mazda joined forces to build this car and the Fiat style and Mazda reliability are a winning combination for me.  None of the Mazda Miata cars required more than oil changes and standard maintenance. Nothing ever went wrong with those cars. I hope the Fiat does that well. If you are a six footer the car might not be as comfortable and the attractive  interior is close at hand. The car is very drivable and steers, brakes and handles well. When most cars slow for turns, i speed up (a little) and the Spider really shows its moxie in corners. Gas prices may not stay this low but i can fill up with premium fuel for about $25. I think people who live in warmer climates or want a fun weekend ride will love this car. The more you like to drive, the more it will appeal to you. Its about as much fun as you can have for not a lot of cash.
"
fiat,124-spider,2017,Glenn Welt, 09/06/2016,"Better than $55,000 Mercedes",5,"Until August 2, 2016 I was ready to buy a 2017 Mercedes SLC300 via European delivery. Then I realized that I'd be paying $55K in advance for a car that wouldn't be in my home driveway for 6 months or more. Just to be sure I was making the right choice, i googled ""2017 convertibles"" and suddenly saw a pic of a car I'd never seen before.  Having done a test drive in a Mercedes, I was impressed with the quiet ride at 70mph on a freeway with top down. I was able to converse with the salesman at normal volume. One thing that totally UN-impressed me was that to start the newest Mercedes you MUST put a key in the ignition!  Within 48 hours of my Mercedes test drive, I was cruising in a 2017 Fiat 124 Spider which seemed just as quiet on the highway and has push-button start. When I started comparing the overall specs of both cars, the new body styling of the 124 Spider and at HALF the price of the Mercedes, it became a VERY easy decision. As the former owner of 2 Porsche, Lotus Esprit, 3 Mercedes SL convertibles and a Rolls, after a month driving my new 2017 Spider I am VERY happy with my choice!

3 MONTHS LATER ... I now have just over 1,000 miles on my FERRARI 124. FIAT owns Ferrari which gave me an idea. I removed or covered ALL the FIAT emblems and now drive the ONE and ONLY car that passes for a Ferrari (yes people believe the emblems they see) but costs about 1/8 the price! I even got a Nevada vanity license plate that says NICECAR so if I pass you in a flash and you see the tag, good luck catching me! BOTTOM LINE: Not since my Porsche racing days have I had so much fun behind the wheel of ANY car, regardless of the price !!!
"
fiat,124-spider,2017,Mark, 06/10/2017,Bloody GORGEOUS!,4,"I have been gagging for this car since Fiat/ Mazda bought it to my attention. It has taken me months to drill down and get the car I wanted. All I ever found on my search was automatics!!! ( I love driving and the thought of an automatic is just sacrilege in my opinion) Of course it had to be red, and I opted for the luxury package which is totally worth it especially the LED lights and their capacity to light the road ahead at night. Just outstanding. Its GORGEOUS from every angle. Driving it is a pleasure. Love the torque and relaxed nature of the engine. Would prefer the exhaust a little louder (I have the 500 Abarth and its a mean sounding, just beautiful chorus which is subdued in the 124) Was surprised Fiat didn't option it with the flat bottomed steering wheel that they have in the 500 which is a tactile pleasure, but none the less, it does feel good in the hands along with the shifter and short throws. Italian cars really do it for me, they connect me emotionally which is lacking in other cars. Mazda and Fiat have done a wonderful job and I hope it pays big dividends for them. Would like a boost gauge and cooled seats as the leather gets really hot during the summer. Update: Love the car, loathe the dealership experience which has now closed with no notification! Seems Fiat are pulling out of the USA. Communication is abismal. The car gets 5 stars, the dealership experience zero stars. 
"
