Company,Model,Year,Reviewer,Date,Title,Rating,Review
infiniti,q50,2014,Ashley, 03/25/2016,Don't let the reviews scare you!,5,"I was in the market to purchase a Q50, the reviews were scary. Look, the infotainment center is a computer! Just like any desktop computer, it is going to take a minute to boot up & become responsive. So if you are expecting super fast touch screens, do not look at this car. For me, It is quick enough, I never complain about it because I look at it as a computer and interact with it as such! I Love the car and all the features is offers! The ride is smooth, the car is quick & coming from a Hyundai Sonata the difference in quality all around is massive! I bought this car for a long term daily drive & am a happy camper!
"
infiniti,q50,2014,jpat0973, 03/01/2015,Ordinary driver's review after 2 months,4,"I'my not a professionally trained driver looking to evaluate this car on how many Gs it pulls.  I'm an ordinary guy who commutes 100 miles per day and bought this car to drive it like most people will - on traffic filled highways and streets with stop lights, not hairpin turns.  It is whisper quiet on the highway, faster than anything else you'll see on the road, and sips fuel.  Technology is beyond what I need, but has nice features.  I didn't get the deluxe technology package because I am more than capable of staying in my lane and hitting the brakes.  Bottom line, this is a really nice sedan (it's not a sports car). Extra note, it's great in the snow."
infiniti,q50,2014,uttim75, 12/21/2013,Almost perfect,4,"This car is nearly perfect.
It has a combination of looks, power, and technology that's unbeatable in its class, except for one thing: it bundles features that should be standard into expensive packages.


I was ready to purchase the Q50 AWD Premium with navigation and leather.
But in order to get memory seats and a reverse tilt down mirror, you have to move up to the Deluxe Package (another $3,100).

This is unacceptable.
I do NOT want the Direct Adaptive Steering that's part of this package.
Really disappointed Infiniti would force its customers to buy this new technology that many do not want. "
infiniti,q50,2014,imrgaff, 03/21/2014,Three years and still an Awesome vehicle,5,"After three years this is still the best car I have ever owned.  I have not had one problem with it and it has just been a joy to drive.  I almost dread turning it in for a new lease.  

This is my third Infiniti - G35, G37S and now the Q50.
I have loved all of them but this is by far the best of the bunch. Everything about this car is great including the technology, which is amazing.
The handling and the ride are better than both of the previous cars.
"
infiniti,q50,2014,banman10, 07/24/2014,Excellent New Model,5,"This is my second Infiniti. I Previously owned the initial model year 2003 Infiniti G35. 12 years old, 225,000+ miles and ran like new. 
The new Q50 is a spectacular car. The fit and finish of the vehicle is on par with a BMW, Lexus, etc. The attention to detail is evident throughout. The navigation system and iPad like internal systems (music, navigation, concierge, etc.) touchscreen adds significantly to the driver experience. Alternative driving modes including Sport mode afford the driver incredible engine and drivetrain responsiveness. When combined with the drive by wire handling, which has to be experienced to be appreciated, it provides a great overall driver experience.

Well it's been over 2 years driving this car. The car is a pleasure. Fun to drive, excellent handling (best of any car I have owned), tremendous acceleration, comfortable on long drives, quiet and great sound system. Leased the car now I will buy it.
"
infiniti,q50,2014,mtlinfin, 08/03/2014,Not Bad,4,"I had a 2012 G37S, so this is a direct comparison.
The Q50 isn't bad but it's a more refined and watered down G.
The build is more solid with tighter fitting exterior joints and more solid interior.
My G would creak and pop over any imperfection, this is much more solid of a car with a stiffer structure.
The steering is not like the G AT ALL!
New steer by wire is HORRIBLE!
I have the elect assist and it has more feel but on center isn't great and too light.
The car is quieter, but could be better.
The run flat tires are prob the culprit.
The gas mileage is pretty good, avg 30.9 on 600 mile trip at 65-75 mph.
The infotainment system is half baked and needs major work."
infiniti,q50,2014,Mohamed Samman, 03/15/2015,Q50 experience-15 months later,4,I leased a Q50S AWD Hybrid in Nov 2013. The first couple of months I had problems with the Infiniti Connection technology that even the dealership couldn't figure out how to fix. Since then it has been a very pleasant experience. The recent addition of the inTouch apps is nice. The handling and cornering is the same if not better than BMW 335. In Sport mode the acceleration is awesome and the paddle shifters are very responsive. When accelerating from low speed in standard or eco mode the transmission appears confused which gear to shift to first and sometimes fails to respond properly to the driver's foot on the gas pedal.
infiniti,q50,2014,johnnywild74, 03/16/2014,best car i ever owned,5,best car i ever owned very powerful great looks tech is awesome in the car
infiniti,q50,2014,grutkay, 04/26/2014,Initial reviewer has a case of sour grapes,5,"I purchased my Q50 just recently, I got the total safety package including drive by wire, the radar activated brakes, the camera that views the road, etc...

It's the best car I've ever had in my life! Comfort is superb for long trips, fuel economy is only 1L/100km more than my old Chevy Cobalt. The engine has a frightening amount of power to it, this car accelerates on 0.2 seconds longer from 0-100km/h than a Bentley Continental GT! It's a real powerhouse!

I love the safety packages, I picked this car so my wife would have good comfort and safety and she loves the seats, the built-in heat and all around smooth ride.

[non-permissible content removed]"
infiniti,q50,2014,Pierre, 02/29/2016,Love my Q50 but... What were they thinking???,5,"Inside this sleek, elegant body lies a powerful, well-balanced drivetrain.  So what's wrong with it?  The electronics, that's what (and the disappointing mpg figures).  The Intel-powered navigation and touch screen controls take almost two minutes to boot up.  The array and alternate modes of controlling are befuddling.  It all detracts from an otherwise very attractive chariot.  Shame on Infiniti for launching a product with instruments/interfaces that were obviously either untested or works still in progress.
"
infiniti,q50,2014,David, 07/24/2015,My last Infiniti,2,"Good looking car, strong engine for the most part, comfortable interior on road trips, but overall a disappointment.  Definitely buyer's remorse.  The inTouch electronics are buggy, slow, or just plain don't work.  Dealer has been really nice, but they can't change the poor quality and design of the manufacturer's electronics.  I have a complaint logged with Infiniti Consumer Affairs, and they were also really nice, but unwilling to do anything about the problems I've had.  I've had the car about a year and a half, and its been in the shop cumulatively for almost a month.  And after today, when several functions of the car electronics disappeared, I now have to schedule it into the shop again.  I have never had problems like this with any car I've ever owned.  My second Infiniti, but it will be my last.
"
infiniti,q50,2014,w2w2p, 11/11/2013,Luxury sport sedan for family,5,"I purchased my brand new Infiniti Q50 a few weeks ago. Everything about this car is great. Superb performance and quality. I was looking for a luxury sports sedan that can easily fit a child seat + 2 adults (occasionally) in a backseat and has reasonable trunk space. Also looked at C class and BMW 3 series, but they felt too small in that aspect. The main advantage of Infiniti Q50 in this segment is that 37k base car gets you 5.2 sec 0-60 performance. ~330 horses with no turbos, sounds awesome!"
infiniti,q50,2014,Ken Cribbs, 07/24/2016,You must drive this car to appreciate its wonders!,4,"It takes some time to appreciate the advanced technology the 2014 Q50S Hybrid brings to the table.  Once you ""get it,"" you won't want to go back to conventional drive trains or steering/suspensions. Now three-plus years into ownership of my Q50s Hybrid with all available options (except for AWD, which isn't needed in my urban tropical climate), I enjoy driving this vehicle more than ever. 

Ignore the naysayers! The hybrid Q50s with the 3.5L gas engine apparently has been discontinued in current model years, so this gem is now quite scarce on the market. If you find one in good shape with reasonable mileage, by all means, buy it!
"
