Company,Model,Year,Reviewer,Date,Title,Rating,Review
isuzu,amigo,2000,Tammy R, 03/09/2004,Love it!,4,"Gas mileage is horrible on V6, but 
very fun to drive.  Top can come off, 
but it's a hassle.  You only want to 
do it at the beginning and end of 
summer, as it will need a new gasket 
each time.  

Tows like a champ.  V6 will tow 4,500 
lbs.  Tows my 18' bass boat, no 
problem."
isuzu,amigo,2000,hbc, 05/12/2004,Excellent vehicle,4,"Excellent vehicle, fun to drive, 
comfortable ride, very reponsive, very 
well designed, great warrantee"
isuzu,amigo,2000,chris, 10/04/2005,Crash Test Dummy,4,"I only owned this Amigo for 6 hours.  I was driving it home when a 2002 Ford F150 turned in front of me.  I was going 50 mph.  The collision was nearly head-on at somewhere between 60 and 80 mph.  The Amigo held up great! All the damage was in front of the passenger compartment.  I was in the hospital for 2 days for observation due to concussion, but I am definitely getting another Amigo.  Thank you to the engineers at Isuzu!  I'm also going to get one for my teenage son."
isuzu,amigo,2000,Mike, 03/31/2006,Isuzu rules the world of real trucks!,4,I have owned the truck for 5.5 years and I still love it.  No problems to date (75K); it still has the original brake pads.  I have the factory hard top which is easy to remove and replace with the factory soft-top in the summer.
isuzu,amigo,2000,DMS329, 05/28/2008,I Love my Amigo!,4,"For a small 6-cyl SUV, it really cranks it up when I need to merge onto the interstate and handles great when I need to take evasive measures to avoid someone not looking when they are changing lanes.  These Amigos were built to last since they were originally built for off-roading.  I closed up the back seats so I can haul my dogs around to agility trials; I can get two 300 airline crates in it and stack everything else on top of the crates."
isuzu,ascender,2003,MARK ELDRIDGE, 09/04/2003,GREAT VALUE,4,"WE PURCHASED THIS VEHICLE FOR USE AS A 
TOW VEHICLE.
CONSIDERD A YUKON AS ALTERNATIVE ANDD 
FOUND THIS MORE COST EFFECTIVE.
I FOUND ISSUZU STYLING AND TO BE BETTER 
THAN BOTH THE TRAIL BLAZZER OR ENVOY.
WE OPTED FOR THE V8 AND IT RIDES FAR 
BETTER THAN THE 6 CYLIDER. WE ARE 
AVERAGING 18 MPG WITH A CONSIDERABLE 
AMOUNT OF CITY DRIVING.
WE FOUND THIS VEHICLE TO BE ABOUT $4,000
LESS THAN A COPERABLE TRAILBLAZER AND 
ABOUT $6,000 LESS THAN AN ENVOY.
ISUZZU OFFERS DOUBLE THE STANDARD 
WARANTY OF CHEVY OR GMC.
WE HAVE THE LIMITED EDITION WITH EVEY 
OPTION.
BOSE STEREO IS GREAT."
isuzu,ascender,2003,PaulG6373, 01/29/2003,Great Balance-Features and Performance,4,"We test drove many vehicles looking for 
a quality mid-size SUV, Explorers, 2003 
Cherokee's, Mountaineers, Envoy's, etc. 
The last SUV we tested was a beautiful 
black, 2003 Isuzu Ascender Limited (V8 
4WD).it was impressive from the outside 
and even more impressive on the inside. 
Interior is beautifully crafted, of 
great materials, and contained every 
feature we could imagine.. the 3rd row 
seat had plenty of room (unlike 
Explorer's), and the seat folded down 
much better than the one in the 
explorer as well. During the test 
drive, the vehicle handled like a much 
smaller vehicle, with very little body 
roll, road noise, yet with plenty of 
power."
isuzu,ascender,2003,Katmandu-1, 02/17/2003,Great value and a true workhorse,4,"If you like the GMC Envoy XL or the 
Chevy Trailblazer EXT then check out 
the Isuzu.  The Isuzu specific version 
including unique front grill, 
headlights, bumpers, and fenders.  Most 
of all, we liked paying 4 grand less 
than for the GMC/Chevy, and getting a 
better warranty!  We wish front seats 
were not so stiff, but incredible mix 
of interior features more than makes up 
for things."
isuzu,ascender,2003,bebe237i, 10/20/2007,Acender review,4,"My Acender has been wonderful because of the size, we have taken it on many trips. I bought the third row Acender and the extra space is wonderful. The seats are easy to move. I have only had a few mecanical problems window motror, the ac doesn't work on the 5th setting and the clutch fan went out. But the clutch fan was kind of pricey but you can buy the gmc envoy clutch fan, it's cheaper and it's the same part. Other than that I love my Acender."
isuzu,ascender,2003,Jack Sang, 02/09/2003,isuzu Review,5,"I liked the car. It is the best car in 
the world"
isuzu,ascender,2003,robertabf, 07/23/2003,2003 Isuzu Ascender LS 2WD 5.3 V8,4,"Owned an Envoy, but was looking for 
the V8 engine.  The GM 
Envoy/Trailblazer has great front leg 
room for a tall person, so it had to 
be either the Envoy or Trailblazer XL 
models since they are the only ones 
available with the V8.until I saw 
the Ascender that is!...WOW  It is the 
only way to get two-tone paint and 
that really makes it look great.  The 
V8 is very powerful and much more fun 
to drive than the I6.  Very quiet 
running and the ride is great...Really 
appreciate the details put into this 
vehicle.  Great stereo and rear air 
too...I think Isuzu could sell a lot 
more of these if they were more 
available."
isuzu,ascender,2003,csieka, 07/31/2003,go for it,4,"We like this vehicle, however we 
have already had it in for repairs on 
the a/c switch.  It is suposed to have 
a monitor for the life of oil, but the 
mechanic manager said we should 
change oil every 3,000 miles anyway.  
As front passenger sometimes the 
consule proved to be uncomfortable 
when traveling long distances.   
Overall we are still very pleased."
isuzu,ascender,2003,tix6174, 07/20/2003,Surprise!!!,4,"Great vehicle!!
Had already been looking at the Envoy XL
and Trailblazer EXT, but didn't really
care for the stylings of those. Stumbled
across the Ascender here on Edmunds and
discovered it was the same truck, so had
to find one to test drive.  What a
difference!!!
The GMC ""felt"" smaller inside and I
don't like the look of the TB (plus
there are hundreds around here).
The ride was much better too!
So for about $5000 less, I got a better
warranty and up-level options (Limited
minus leather), plus that great V8. "
isuzu,ascender,2003,alb_1974, 08/08/2003,Excellent,4,"So far I have 600 miles on mu Isuzu 
Ascender and I love it, the ride is 
very smooth, quite and very confortable 
inside."
isuzu,ascender,2003,MICAH MAISAMARI, 08/08/2003,Driving fun,4,"Being new and few on the road Iam 
regularly asked about it's handling. I 
tell people how much fun to drive."
isuzu,ascender,2003,markd, 10/22/2003,Buying a car,4,"I have realized why there are not many 
Isuzu Ascenders on the road. Recently I 
went to the dealership and test drove 
one as well as showed interest buying 
one.  My wife and I really liked the 
car, but salesperson did not really 
show much energy to sell one at all.  I 
have called him a couple of times, and 
all I got from him is he will call me 
back very soon, but have not heard
since.  I tried again, but no results.  
It's a good car, but they need to work 
how to sell it.  No adds in the paper 
either escept Demo one which was sold 
(according to the dealership) day 
before it went to the paper. Honda and 
Toyota"
isuzu,ascender,2003,fish98, 11/11/2003,problems,4,"I have 16,000 on my car, so far it has 
been in the shop three times.  The 
power steering Pump and horn relay 
went out and repairs are taking over a 
week.  Unfortunally everytime the car 
breaks, parts have to be order from 
the manufacture.  "
isuzu,ascender,2003,gunter, 03/03/2003,Impressive SUV,4,"I have been test driving SUVs for the 
past 6 months and had decided on the 
Acura MDX.  A friend suggested I check 
out the Isuzu Ascender.  After driving 
both vehicles and comparing styling, 
cargo area, passenger comfort and 
overall value, the Ascender has won me 
over.  It is a much better looking 
vehicle than the MDX both inside and 
out. I felt more comfortable driving 
the Ascender (I am 5ft 2, 118 lbs) and 
I can actually carry other adults in 
the third row.  The gas mileage is 
better on the MDX, but the MDX lacks 
the style and comfort of the Ascender."
isuzu,ascender,2003,JARED KEYS, 12/30/2003,Great vehicle with a cars drivabilty,4,"I like this vehicle already! Wish is 
were mine. Purchased it for my wife 
(kid mobile) because it is large and 
safe on the roads yet has the driving 
feel of a car.  I feel confortable 
knowing they are safe while I am not 
with them and if a problem occurs 
ONSTAR is there to the rescue!"
isuzu,ascender,2003,Alfred T. Child, 03/24/2006,2003 Isuzu Ascender Ltd,4,Better interior lighting is needed.
isuzu,ascender,2003,Isuzu owner, 04/07/2004,Great value,3,"This is truly a wonderful value. The LS 
is loaded with goodies I would never 
pay for and I got it for a steal at 
25k,and low interest rate. The interior 
could use some dressing up, but for an 
active family the Ascender meets all my 
requirments.  Not to many on the road 
and my wife is asked often about the 
SUV.  Carbon Copy of Envoy, but lower 
cost and exterior is more appealing."
isuzu,ascender,2003,mark076, 06/14/2004,2003 Envoy Limited,4,"Was Looking for a GMC Envoy but the 
Isuzu had a much better exterior kit 
on it.  "
isuzu,ascender,2003,shumuzu, 07/04/2004,Should have known better...,1,"Bought Ascender in Feb.'03 & 
was in the shop by March, and at least 
6-8 times since. The a/c odors (could 
not sit in the car until we blew out 
the system with all the windows down.) 
Repaired 10/03,still smells.  There 
are many interior parts inferior in  
quality.  THe gear shifter came off in 
my hand, stearing wheel whines,plastic 
compartments won't shut/open properly, 
the radio/cd player has been replaced 
1 time,& parts have again been ordered 
for a repair.The ""old pick-up truck"" 
rusty, screachy sound they can't seem 
to find. Although anyone riding in or 
near the car can here us coming!  "
isuzu,ascender,2003,djsiek, 09/20/2004,Piece of Junk,1,"It is a good thing Isuzu gives an extended warranty.  
You will need it.  We have had one electrical 
problem after another.  Because these problems are 
not the same in 3 or more cases we can not say this 
falls under the lemon laws of our state, but believe 
me we consider this car to be a lemon.  The front 
passenger seat is extremely uncomfortable.  The 
maximum gas mileage we have been able to get is 
17mpg.  Several exterior pieces are plastic and 
extremely easy to damage. Within 6 months of 
buying this vehicle started having squeaks that 
sound like loosing of hinges etc..  Do Not Buy an 
Isuzu Ascender if you are smart."
isuzu,ascender,2003,mesnsbs, 05/13/2003,The Best SUV Out There,4,"After testing different SUV, me & my 
husband decided to get the Acura MDX.  
One day we road past a Isuzu dealership 
& saw a new SUV.  We made a u-turn to 
go back to see what it was & fell in 
love with the Ascender.  After test 
driving it we knew we found what we 
were looking for, especially the price. "
isuzu,ascender,2003,Scottl29, 01/15/2003,One great SUV!,4,"I purchased a 2002 axiom and had it end 
up being a lemon. Don't believe that it 
can really tow what it saws. I towed my 
boat at 2500 lbs total and it bent the 
axles, ruined the brakes, and had 
problems with the drive shaft. I 
stepped up on trade to the Ascender. 
Awesome. You can tell it is 
manufactured differently. A lot 
sturdier, more power, and more 
comfortable as well. I love everything 
about this SUV and would buy another 
one in a heart beat!"
isuzu,ascender,2003,her suv, 03/19/2003,Ascender the Undiscovered Gem,5,"If you are looking for a large SUV to 
transport 7 adults comfortable while 
riding in the lap of luxury, then the 
Ascender is for you.  The exterior and 
interior designs are well defined and 
impressive.  This SUV does everything 
but brew your coffee in the morning.  
The mileage is very good, I am 
averaging 18.5 in city driving.  The 
warrantees on the Ascender are better 
than almost all other large SUV's.    "
isuzu,ascender,2003,allison milford, 05/19/2003,Great,4,It has been great!!!!!
isuzu,ascender,2003,Batman16, 06/03/2003,2003 ISUZU,4,"We have only 500 miles on our Isuzu so 
far, but this feels like a quality 
piece of work.  Everything about this 
auto is smooth and quite.  The ride is 
great."
