Company,Model,Year,Reviewer,Date,Title,Rating,Review
mercury,cougar,2000,david689, 01/26/2015,"Great, Reliable, Affordable",4,"I drive my Cougar every day, 60 miles each way almost with no problems. Gets pretty good mpg. Sporty and safe, the Cougar is the best of both worlds. Not too roomy inside but that's expected. "
mercury,cougar,2000,ms__brown, 08/22/2012,"Like other reviewers, loved this car...at first...",2,"I bought my Coug in 2004 with 50,000 miles on it.
I've had minimal mechanical ""failures"" but many mechanical problems.

The headlights dim a lot and if I have the wipers, headlights and stereo on at the same time, it dies.
Sunroof never worked.
The car won't start for an hour after it's been running in more than 90 degree heat, but the thing ALWAYS starts in the winter, even if it's 70 below (bought in ND and never used a block heater).
It now has 116,000 miles (I don't drive a lot) and it needs a new suspension, shocks, struts, etc. I recently replaced the front tie rod so I wouldn't die.
Shaky after 65 mph.
 
Not kid friendly.
 No hooks for child seat in the back, so trading."
mercury,cougar,2000,tcmommy, 01/28/2012,Dont be fooled..,3,"I bought this car used as my very first car. It had 55k miles on it and I loved it at first. It now has 153k miles and I dont even feel safe driving it. At about 70k miles I had already gone through 1 alternator and 2 batteries. The car started shaking really bad and I needed to replace entire transmission. All in all, I've had to replace, many tires (more than usual), 4 alternators, 2..yes 2 transmissions, transmission and engine mounts, many batteries, the trunk no longer stays open on its own, check engine light will not go off, even though dealers have checked numerous times, lights have a film over them, and power window motor twice. It looks nice, breaks great, but just not worth it. "
mercury,cougar,2000,Liz, 02/24/2009,Wonderful Car,4,"I just bought my Cougar last January, and I love it. It drives and handles great. I also learned that on long trips the gas mileage isn't as bad as you would think. I have drove it from North Carolina to Nevada with no problems. Now I am about to drive it from Nevada to Washington and so far the car seems like it has no problems this time, even after not being drove for 7 months. I just wish that the cup holders in the front were better. Besides that its a great car."
mercury,cougar,2000,Mike, 11/20/2006,Great Car,4,"I got this car in apr 03 from an auction for 3k. well it had 97k miles on it then and it has 143k now and i've never had anything replaced. i did notice the hatch on the back likes to stick and the cup holder doesn't fit larger cups.. doesn't seem like that is worth complaining about tho. i think it is the ""sports package"" edition since it has everything on it i.e. moonroof, leather, electric seats, spoiler etc. i have traveled from Richmond to Miami and last summer stayed in Syracuse NY and drove down to Richmond VA just about every weekend for 3 months (yes a 7 hour drive!) and the car has never broken down or any problem what so ever! maybe i just got really lucky.."
mercury,cougar,2000,Jackson Burfitt, 12/29/2016,LENGTHY BUT INFORMATIVE,5,"I have had this car for 2 years as of now it has 102,911 miles on it when I first got the car it had about 60,000 miles on it. So I've driven the hell out of this car, 2 months after I got the car I had to change the alternator a couple times in a row no biggie my mechanic has a 1 year warranty, so I only had to pay for one. I've had the same alternator for 2 years no problems what usually happens is that the wiring or the regulator goes out. As for ""unsporty"" acceleration blame that on the stock air box/filter and the CD4E transmission (if you have auto the manual is way better if you know your optimal shift points.) I have put a K&N cold air intake performance spark plugs/wires and reflashed my PCM. And I'm still not done with her yet and she already pulls 10 times better than when she was stock (maybe a hyperbole ;) a little.) The body is still stock and I always get compliments people think it's a Jaguar sometimes. The car handles fantastic because of it's wide wheel base and touring multi link independent suspension agile like the cat it's named after. Interior looks a bit cheap but there are ways to fix that. Steering is a bit heavier than other cars but it's because of the Euro steering styling which I'd prefer over any other because I can ""feel the road"" so to speak, and since it is FWD you will feel torque steer (better around turns.) I've had a lot of close calls with accidents because of idiots on the road. It is definitely a car that you can drive and have fun as long as you take care of and it will take care of you!!
"
mercury,cougar,2000,BH, 07/30/2017,Great car good on gas?,5,"I would buy another one!""
"
mercury,cougar,2000,Anonymous, 12/07/2010,I love this car!,5,"I bought my Cougar new in 2000 and now am approaching 120,000 miles.  It has been the most reliable car I've ever had.  Only normal maintenance until last year when I had a repair bill for $700.  However, one bill in 10 years I'll take any day.  This car is fun to drive, sporty, fast, yet tons of cargo space if you need it (fold-down hatchback).  I average 24 mpg city/30 highway, which is better than many new cars.  I've been trying to convince myself to trade it for a new car, but I just can't find one that matches up (considering it'll mean a car payment again + having to cross my fingers I get another good car).  I may give it to my nephew (and that tells you how much I trust this car)"
mercury,cougar,2000,FREDDY COUGAR, 11/06/2008,A great car!,4,"After reading some of the troubles other people had with their Cougar, I must have got all the good parts. My 2000 Cougar SE had only 25 miles on it and came with the five speed. For the next 6 years and 120,000 miles not a thing went wrong aside from the tires and brakes being replaced 3x. Then the alternator went and a few months later the original battery died. I consider that normal wear. For 2008 I've done a the front brakes and my 4th set of tires and have 145,000 miles on it. I give the car a good detailing every spring inside and out and she still looks new. I'll keep her as long as nothing major goes wrong with the engine or the tranmission. Good luck to the other owners."
mercury,cougar,2000,angel42497, 03/19/2014,Mercury Cougar,3,"I currently have this car, and all the other complaints about this car above are absolutely true. It is a complete gas hog, it has ALOT of mechanical issues, my interior sucks, headlights are horrible. My car has 134k miles on and is expected for problems, but too much. My Engines motor mount is bad, which causes my car to buck leaving me wonder if it will start for me. Hot weather it is TERRIBLE in, after it gets to about 80+ degrees it wont start. I have never had a problem with the cold though it has been negatives many times. It's fuel injector is going out, transmission is bad, and the RPMs get ridiculous. It sputters whenever you hit the gas lightly. Over all it isn't a good first car."
mercury,cougar,2000,Scuba Steve, 04/04/2002,"good looks, good drive",4,"I got my Cougar a little over a year 
ago, and have had 0 problems to date.  
Its by far the most fun car I have ever 
driven, with a gutsy enough little 4 
cylinder and the easiest shifting 
manual transmission that I have ever 
seen.  The car handles like a dream 
around corners.  The 1999 Cougar had 
problems, with few to none of them 
transferring over to the 2000 model 
year.  If you would like a car that 
runs good and looks great, grab one of 
these."
mercury,cougar,2000,Zach, 08/11/2008,So-so car,4,This was a very nice car. The first day we bought it off the lot we got ours brand new and haven't had too many problems with it. Only a few things here and there. Car has a sleek design and it is fun to show off and just go for a cruise. The gas mileage is a little low but better than some of the new cars today. It was a great buy and soon it will be my sons car!
mercury,cougar,2000,Cougarchick, 06/18/2002,my car,4,"i love my cougar.  it's never let me 
down.  handles well in the snowy 
minnesota winters."
mercury,cougar,2000,Pebbles073, 06/19/2002,2000 Mercury Cougar,4,"I've had my Cougar for almost 2 years 
now and I LOVE it!!  Never had a 
problem.  The car is stylish (turns 
alot of heads) and very quick.  My 
lease is over 9/03 and I will be sad to 
see it go, it's definitely been my 
favorite lease so far."
mercury,cougar,2000,Jamie, 11/04/2015,Problems from the start,3,"I got it as a present from my father before i even had my licence. Mind you he didn't let me pick out the car i wanted or even asked me what I liked in a car. I hate two door cars but i was happy because it was a car..  As soon as I got the car I had to replace the alternator. Then after 2 months of driving it the car starts to jerk every time I drive it so I replace the fuel pump. That does not fix it so it must be the transmission that i have to fix. For all of that i can just buy a new car. There is a lot of recalls on this car
"
mercury,cougar,2000,Danny Reyez-Macias, 03/02/2016,FOR THE LOVE OF GOD NO,2,"I had this for 2 years and it had 83k miles on it when I first had it... But boy oh boy, can the murderous ones look enticing.
Pros-
It had alright front seats
The CD player was great.
The sound system was awesome
It's really sporty.
Cons-
It rusts easily (Muffler fell off after a month of heavy rain after I hit a pothole)
There were many electronic issues. (3 batteries, 1 alternator, 4 tune ups within 2 years)
Sensor failures almost killed me twice.
After 6 months, the boot arms started wearing out.

Overall: It's a sporty death trap. Don't buy it.
"
mercury,cougar,2000,Kimberly Smith, 06/07/2016,Driving With Prayers,5,"I drove my car off the show room floor in 2000 and I'm just now having problems with 90,000 miles and thats with very little to know rust, so I believe I've gotten my monies worth.
"
mercury,cougar,2000,Cougar gal, 01/06/2016,My friend's Cougar,5,"Borrowed his Cougar a few times. It was swell.

Updated: I was too harsh with the ratings.  It deserves 5 stars!
"
mercury,cougar,2000,kristan85, 01/30/2011,Hunk of Junk !!,2,"I've had my Cougar about 4 years now and it's only just over 89,000 miles. I've had to have 3 fuel flushes ..the gas was filthy and very dark brown and causing the engine to miss. I've had to put 2 new batteries in it along with an altenator. I had plugged ECG valves. Last week I spent $700. on a new fuel pump along with a fuel/oil pressure censor. I've replaced all 4 tires. The dash lights and headlights are always flickering. It won't start if it's cold out. My sunroof won't open. It's starting to rust. The battery light is always flickering on and off (even with a new battery and altenator). When it's cold out my trunk won't stay open I have to hold it up (hatchback)..do not recommend!!!"
mercury,cougar,2000,tjl, 08/13/2008,Fun car,4,"I just bought my 2000 Cougar V6 with every option it could possibly have. It had some of the problems I read about in these reviews like stalling and the electrical but I brought it to a Mercury dealership 7 times till they got it right. They replaced the fuel pump, egr valve several vaccum lines. Every once in a while the engine light comes back on and it's just a vaccum line came off the egr valve. Just put it back on and the light turns off after a cycle or 2. It's been running great since I just put a Cougar banner across the windshield and an aem ram air intake. It gave the car a mean growl to it. Now I'm just waiting for my new exhaust.."
mercury,cougar,2000,12 paws, 01/03/2010,Smooth & sweet,4," I've had this car since 2005. I'm very happy with this ride. Traded a Buick Riveria (very sweet) in to get this Cougar. She's got the looks and power. Ready for new struts now,comfort is a must!!!"
mercury,cougar,2000,No Thanks, 08/29/2010,Just Say NO,3,"Cougars are really beautiful cars. BUT don't let looks fool you! Mechanically, this car is awful. The interior & exterior lights would flicker horribly. At night, I could barely see. & eventually, it got to the point where I wouldn't even drive the car at night. I would feel the car begin to sputter & shake whenever I drove uphill. I tried to help these problems but after 4 alternators, a complete rewiring, new struts & a new rear axle: I traded it in! It was so disheartening to think that I had such a hot car but I didn't feel safe in it. I hated driving it so much that in the 4 years I had the car, I only put 20,000 miles on it. I would not recommend a Cougar to anyone. "
mercury,cougar,2000,unsatisfied, 04/03/2002,Don't buy one,3,"The Mercury Cougar is number 5 on the ""lemon list"" put out by the government.  I have had mine in (that has less than 30000 miles on it and is still under warranty) 4 times in the last three months!  The have replaced the ""brain"" to the transmission, fuel pump, etc.  2002 is the last year they are making them because they have so many problems."
mercury,cougar,2000,What a Lemon, 10/05/2008,What a Lemon,3,"I would not suggest anyone to buy this car. I fell in love with this car when I first seen it but in this case looks were not everything. I bought this car as a birthday present to myself and since driving it off the lot a year ago I have already spent $4000 in repairs. It is sitting at the garage right now waiting for another transmission. I have had it in the garage twice before with the same issues. Other than the trans my AC stopped working this past summer, the fan at the radiator stopped working, the headlights do this dimming thing that just drives me crazy, but hey, it has a great radio. It's seen the back of a tow truck more than the road itself. "
mercury,cougar,2000,beau66, 05/06/2002,unreliable,3,"Although this car looks good and has 
some of the best features for the 
price, it is unreliable.  I've had the 
cougar for almost 2 years now, and I 
have put over a 1000 miles on it just 
from taking it to the shop to get 
repaired. It has had problems since 
day one.  Ford customer service is a 
joke.  They won't do anything to help 
me get out of this vehicle, they do fix 
the problems that occur, but when all 
you have is problems something 
else needs to be done.   Sure the 
repairs are warranted, but, its not 
worth having a new vehicle if you 
can't count on it."
mercury,cougar,2000,Joshua, 12/21/2008,Worst Car I've Ever Ridden In my life.,3,This vehicle Is not reliable. I just recently wrecked my wougar going 45 and ran straight into a electrical pole. The airbags did not deploy and the seatbelt did not lock in place for the passengers in the backseat. The Cougar is not a good vehicle for a first time driver. Do not buy this car for your teenage daughter or son. It crushes like a can. I put a dent on my front right fender by just leaning on it. It broke down many times for multiple reasons. 
mercury,cougar,2000,Ashley, 03/14/2009,Not a reliable car.. i hate my cougar,2,"I bought this car about two years ago after having a friend total my vw jetta which i loved.  the cougar is nothing compared to that car and i can say i have had more problems with my cougar than i ever had with my jetta.  within the first few months of having my car i liked it, it was nothing special but after like four months i started to have major problems with it. since i have spent probably close to $6000 fixing it.  replaced the transmittion, any and every sensor possible, the alternator is bad now and i have had probably 5 batteries all go bad.  the car stalls when it gets cold out or rainy.  it is a very unpredictable car and i would not recommend it to anyone... wish i never got it"
mercury,cougar,2000,carlos, 03/20/2009,cougar,4,"i love my cat is a really good car, i had some problem like the alternator but is really good i nerver have problem about the gas i drive my car with 0 of gas an nerver stop is a great car "
mercury,cougar,2000,Cougar owner, 05/25/2002,Oh my Kitty,4,"I purchased my Cougar in April 2000. 
Most problems related to service but I 
did take the car back about 4 times the 
first two weeks for radio problems. A 
few months afterward, I took it back 
because of bubbles that caused paint 
chips. The car has had several recalls 
that I knew nothing about until a year 
later. The most recent problem was the 
RPM revs in neutral. Passengers are not 
crazy about the back seat, so this car 
is for the selfish...few riders and no 
little kids! The car seat does not fit 
properly in the back. I like the looks, 
but I am not completely satisfied. I 
won't be buying another 
Cougar...neither will I buy another 
Mercury."
mercury,cougar,2000,Nkb310, 05/15/2009,too many problems,4,"the second day i braught it home, it has trouble starting, i got new battery, new starter, and it still wont start properly..its not reliable...i dont want to be stranded, a week after having it i had to get 2 new altenators put in...and it howls wich i dont like...i have had nothing but problems since the say i baught it which is too bad becuase i love everyhting else about it, i love the driving, the stereo, the appearance, and even the annoying cup holder... "
mercury,cougar,2000,ok...., 05/28/2009,ok.......,2,"i really liked this car when i saw it on the lot, but now i hate it. Its got a lot of problems and i would not recommend it to anyone else. It shakes in between 60-70 mph The check engine light turns on and off. Its horrible on gas i get maybe 18 mpg The windshield wipers are horrible I hate this car I'm gonna buy a jetta!"
mercury,cougar,2000,Shawn M, 06/05/2002,Beauty is only skin deep,2,"This car looks great and handles great. 
It lacks power and acceleration 
especially with the auto trans. The gas 
mileage is horrible at about 14.2mpg in 
the city. I've had various mechanical 
problems including fuel pump, brake 
pads wearing out every 12k miles, 
faulty tires and more. The service is 
terrible and takes FOREVER. I would not 
recommend the 2000 Cougar to anyone 
unless all you want is to look good."
mercury,cougar,2000,Horrible Vehicle, 07/06/2009,Piece of Junk,1,"My wife purchased this car new for around 30,000 Canadian and it has been nothing but trouble, broken master cylinder causing brake failure while driving, intake manifold carboning up, broken brake calipers, premature brake wear (every 50,000 km), sun roof failure, fuel pump failure, poor suspension (shock failure 80,000 km), check engine light comes on constantly, maintenance light on since new and dealer cannot clear, the car is worth nothing now. Do not purchase this car! "
mercury,cougar,2000,Wanda, 07/10/2009,I wouldnt buy,2,"I have had to replace 3 alternators, has to get tires replaced a lot.  I have to get my transmission electrial system replaced.  I had to get wiring for from my engine to my alternator.  My set does move up it stays in one place.  My trunk, will not open on its own.  Recommendation, is to check out every's car reviews before purchasing this vechile."
mercury,cougar,2000,brittlya, 07/30/2009,I hate this car!,1,I truly hate this car! I am always having some type of problem with this car! Every year since I have had it there has been something that breaks down on it! Its truly ridiculous! I would not recommend this car to ANYONE!! Its the biggest waste of money thats ever been spent!
mercury,cougar,2000,Tlover, 08/18/2009,Loved it!,4,Well this car was given to me by my parents as my first car.  It was a great first car!  Very sporty and got alot of attention.  The only problem I ended up having with it was the sunroof broke and was going to cost a fortune to replace!  Next problem...I don't drive it anymore is that I was rear ended at 50mph which in turn made me slam into the car in front of me.  The car was absolutely crushed like a little can and guess what...no airbag deployment.    Don't crash and the car is great!
mercury,cougar,2000,Cougar Lover & Loser, 12/27/2009,Looks Good but Buyer Beware!!,4,"I have had my Cougar for going on 4 years now. It had 69k when I bought it & I just took it over the 87k mark last week. Let me start off by saying that I love the looks of this car, especially with all the bells & whistles (like leather seats, moonroof, and traction control) BUT the looks alone are not worth the hassle the Cougar brings. I have replaced the alternator ($700/ea) three times! IN LESS THAN 18,OOO MILES! Today, I noticed the same old flickering lights & I headed off to trade her in for a Rav4! "
mercury,cougar,2000,hitmore35, 06/19/2002,Not very pleased,3,"I've had my Cougar for 2 years, and 
it's been in the shop for MAJOR issues 
about 10 times.  3 times for the fuel 
pump (twice replaced), 2 recalls, 
Transmission slips, brakes, leaks of 
all sorts, electrical failures,  and 
the list goes on...
It's a shame because the car itself it 
very nice looking, but it's TOTALLY not 
worth the trouble.   I'm looking 
forward to moving on to a different car 
soon."
mercury,cougar,2000,dom, 03/20/2010,fun but some problems,4,Car is ok to drive but some minor problems have come up 1. Sun roof broke and some times leaks from rain 2. Driver side window doesn't always go up 3. Alternator die a year ago. 4. The counter for how many miles you have left is way off its died twice on me when it said it had 23 miles left  its ok but I would Rather have a Ford mustang and I will be selling this car
mercury,cougar,2000,jessii0825, 04/02/2010,jessii,2,"I bought this car from private seller after owning one before and loved it. Since I have this car I have put more money in than its worth. Had transmission replace, starter, gear cable and now something seriously wrong with engine (timing and wheel something) which will costs another 2300 to fix. I said forget it and I'm selling for parts (of course I don't know who would want these crappy parts). I would never recommend buying this car. Its junk!"
mercury,cougar,2000,Zoey, 08/03/2010,Been good to me,4,"I bought the car new, it was cute and got great gas mileage.  I have the 5 speed transmission.  Everything held up great.  I took good care of my care and can recommend it as a used vehicle if you are looking for good gas mileage and nice sound system.   I didn't have any of the negative experiences mentioned by other owners. The tires went to 78K original, the tire tools clunk around, but you can fix that.  Great sound system.  Not a speed demon, but got me to where I wanted to go and didn't cost me much after the purchase price.  "
mercury,cougar,2000,JosieListens, 09/12/2010,Heaven to Hell,4,"I got this car as my first car. It was bought with busted valve gasket (easily fixed, cheap). Beautiful car! Drifter body kit, engine mods, custom exhaust and muffler. 4mo after getting car Timing Belt crystallized (expensive, had to get tensioner too). 1mo later replaced vacuum line. Engine light has always been on. NOW, master cylinder blew. I loved this car in the beginning. Super fun, with 5 speed transmission, super quick. BUT, it JUST SITS more than i drive it. Expenses to get it fixed are just ridiculous!!"
mercury,cougar,2000,John_j_c8, 07/08/2002,"awful car, AVOID AT ALL COSTS",2,"From day 1, this car was plagued with 
problems.  Defective radio, broken hood 
prop were the first things.  Then 
alternators, AC Compressors, fuel pump, 
rotos, brake pads, alignment, tire re-
balance, insulation hanging from the 
under body, fabric on the seats came 
apart, poor fit and finish and many 
more PROBLEMS.   Avoid this car."
mercury,cougar,2000,ihatemycar721, 10/05/2010,AWFUL CAR besides look and stereo,2,"This was my first car, i had bought it for cheap through family. THIS CAR IS CURSED! My hood didn't latch and flew up while i was driving on the expressway! Cup holder spills drinks everywhere. Have had to spend tons of money on fixing things. Headlights have a film on them. it VIOLENTLY shakes between 50-60 mph, needs a new motor mount. paint chips and fades. not a lot of storage. cloth on seats are itchy.it is just bad luck all around. air bags have not deployed in my 2 accidents they should have. seat belt locks constantly. LOVE the cute sporty look, and it has GREAT stock stereo system!"
mercury,cougar,2000,Kevin Chiu, 07/24/2002,This car was a LEMON!!!,1,"I bought my 2000 Cougar V6 Sport brand 
new in January of 2001.  After 6 months 
of driving, I had over 30 pages in work 
orders.  Everything in this car was 
wrong.  Ford spent more money fixing 
this lemon then I paid for it.  To top 
thing off, Ford Customer Care would not 
help me.  Avoid this lemon!!!"
mercury,cougar,2000,cougarman, 08/19/2002,I like it...,4,"I purchased my cougar in November of 
1999.  I love it.  I make sure it has 
it's scheduled maintenance, and in 
return, it purrs like a, well...cougar.

After 3 years, I just replaced the 
tires and brakes.  That's it. No other 
problems.  There were a few minor 
recalls for items like a battery cable 
not connected correctly, but the 
service I receive from my dealer gets 
me in and out quickly.

I have a 5 spd which performs well in 
merging situations and pulling out into 
traffic.  The interior is really 
constructed for not more than 2 people, 
but the bucket seats make for a 
comfortable ride."
mercury,cougar,2000,Wandawoman99, 08/26/2002,Love my Cougar!,4,"In fact I love it so much, I am about 
to trade it in on a brand new one!  I 
have never had any problems out of my 
2000 cougar.  It has been a fun 
reliable car for me.  I am looking to 
buy the 2002 Anniv. Special real soon!  
So you can go look up my little Blue 
trade in and get you a really good car!"
mercury,cougar,2000,RF, 08/31/2002,Great little car,4,"I've owned mine for 2 years now and 
still enjoy driving it.  It handles 
like crazy, has a decent amount of 
power, and looks great.  Everything 
has worked flawlessly - I've only 
performed routine maintenance.  I 
replaced tires early due to finding 
the cars handling limits.  It sticks 
like glue!!"
mercury,cougar,2000,maggycat, 09/05/2002,Runs like a %@$#&@i#$!!!,3,"Within 4,000 miles a bolt broke in the 
engine - took two weeks to fix and 
dealer wanted me to pay for rental car- 
unbelievable!  Love the way the car 
looks inside & outside - drives harder 
than my 1981 Ford Fairmont Futura - 
very disappointed with the car and I 
only have 25000 miles on it - 
dealership even more disappointing - 
glad my lease is up in 10 months - also 
HORRIBLE in snow!"
mercury,cougar,2000,Mark Renes, 09/09/2002,Garbage car!,1,"I was reading the reviews, and I can't 
believe anybody had anything good to 
say about this car.  My car is sitting 
in the shop right now, with the Ford 
techs trying to figure out why I'm on 
my 4th alternator, and why my car won't 
start 90% of the time. When I picked up 
my car in January of 2001, Reverse 
didn't work and it got a transmission 
overhaul at with 16 Km on the car.  My 
rear bumper doesn't fit properly either."
mercury,cougar,2000,Mike Jensen, 09/18/2002,"Looks cool, built like junk",2,"Ford bought back my car as a lemon.  
I'm glad it happened as it had many 
problems and I still had 2 more years 
on my lease.

On the otherside, the car looked 
great.  It was kind of embarassing 
having a tow truck pulling it so often, 
but I liked the design of it."
mercury,cougar,2000,my cougar 00, 10/21/2002,mine,4,"runs good needs a little more trunk 
space"
mercury,cougar,2000,Cougarman2000, 10/19/2002,Great Car,4,"Since I bought this car about a month 
ago I rarely drive my 2002 honda civic 
LX Sport. This car turns heads 
everywhere I go, and the chicks love 
it. Lots of power in the V6.
Just a great car overall. I've put 
8000KM on it already and no problems 
yet. The car has 48000KM on it now."
mercury,cougar,2000,mbserna, 10/27/2002,We love this car!,4,"Im surprised to read about the problems 
some have had with this car.  My 
husband and I have had no problems.  
We've driven it coast to coast and 
haven't had to take it in for anything 
except for oil changes.  It is a fun 
car to drive and the hatchback with 
folding seats gives us plenty of 
storage room.  We've hauled furniture 
and had friends borrow it to haul 
things that wouldn't fit in their 
cars.  We're sad to be selling it, but 
the bucket seats in the back aren't the 
best to put a car seat in."
mercury,cougar,2000,auttie95, 01/12/2011,2000 Mercury Cougar V6,4,I got this car for my first car and so far i had to replace my battery...spend $300 cause my engine light was on but come to find out it was my O2 sensors...my door sensors are all broken and my sunroof is broke...SUCKS ON GAS !!! it also makes a really weird noise when i start it up and the RPMS go crazy
mercury,cougar,2000,DDD000, 11/22/2002,Lemon,2,"I purchased my 2000 special edition in 
Aug of 2000.  I paid $22,300.00  I have 
had nothing but constant problems with 
this car.  It has been at the service 
department more than I have had a 
chance to drive it."
mercury,cougar,2000,Rocketman53, 12/02/2002,Nice Kitty,4,"For you Fast and Furious types, the 2000 Cougar is a much better car than 
most reviews lead one to think.  Yeah, the steering feels a bit heavy, but it's 
a subjective observation.  I don't find it objectionable.  The power of the 2.5L 
V-6 is more than adequate, 145 mph top end, while the four wheel disc ABS 
brakes strong enough to stop you in a hurry.  The interior is sleek, and all 
business.  The New Edge look makes the Cougar a real chick magnet.  Ford 
blew it when they discontinued the model line.  The prices are a bargain 
compared to other similar vehicles."
mercury,cougar,2000,volcomchik04, 01/21/2011,great lookin car for a costly price!,3,"Bought this car back in 2003 from a family member it was runnin great for a while, but since about 2005 i have had to have multiple alignment jobs done,multiple new tires,a new radiator,radiator hoses,new power steerin hoses,new batteries, a new transmission, new motor mount, multiple alternators, new mass airflow sensor, new spark plugs, just recently had to have the o2 sensors replaced and the egr valve fixed, and my catalitic converter needs to be replaced (fyi just for the catalitic converter alone its gonna be $300)...all in all its a good lookin car and has lasted me a long time but im definately ready to get rid of it!!...It has cost me a lot of money!!"
mercury,cougar,2000,bronwyn, 01/05/2003,wonderful car,4,"It seems like the Cougar is really hit 
or miss in terms of quality, but I 
really adore my car. It has never 
given me any problems (the radio did 
have to be fixed within the first 6 
months, but the radio panel was loose 
and now the problem's fixed.) I'm not 
sure how another user is driving his 
car, but mine gets 35-40 MPG. The 
trunk is huge, but you can't 
comfortably sit in the backseat. I am 
planning on trading mine in for a 
newer model I love mine so much. (3 
years ownership, never a problem.)"
mercury,cougar,2000,Mihai B, 01/06/2003,Worst car ever,1,"Bought this car brand new and since 
that day, i'm spending most of my time 
at the dealer for all kinds of 
problems. I'm trying to get rid of it, 
but it lost so much value over the 
last 2 years that i'm losing to much 
money. I do not recommend to anyone!"
mercury,cougar,2000,tony_from_ny, 02/04/2003,Problem Kitty,3,"I bought this car new.  Loaded, and 
with discounts and incentives it only 
cost $18,500, well below sticker.  It 
has been a disappointment.  9 visits 
under warranty for a lot of little, 
nagging problems. Some I fixed myself 
after giving up on the dealer who was 
clueless.  Now that the little stuff 
has been taken care of, it's not bad. 
Fairly comfortable on a trip, although 
the sport suspension (an option) is a 
little rough on bad roads.  The 170HP 
rating is optimistic. Probably closer 
to 155 in reality."
mercury,cougar,2000,CandyCane, 02/22/2003,Love love love this car!,4,"I love this car.  It's really fun to 
drive, has lots of pep. Love the looks 
of it too; very different from the 
looks of most cars in it's 
class...makes it stand out.  Steering 
is a little heavy; I think that would 
be my only complaint, but it's 
honestly not THAT bad.  I have had it 
for 2.5 years now and have never had 
to do anything but routine 
maintenance; have had no major 
problems at all."
mercury,cougar,2000,Burton22, 07/16/2003,Can't Drive Hard,3,"I got the 2000 V6 Auto... And i am 
hoping it has alot to do with being an 
automatic but the trannie just cant 
shift fast enough when it's needed. and 
when it's at 4500 it likes to kick 
out.. Dont make it fun when you like to 
drive fast and hard.. "
mercury,cougar,2000,luvmycar, 06/18/2003,This is the best car!!!!,5,"I purchased my car used and it is the 
best car ever.  My last car was a 
Volkswagen Jetta and i hated it 
(needless to say i only kept it for 
about 5 months).  The Cougar is a 
great car and i have had no problems 
with it and would recommend this car 
over a Volkswagen Jetta any day. It is 
a great car for anyone that is looking 
for a excellent car at a good price.  
I dont know how other people treat 
their cars but i dont have the same 
problems that everyone else seems to 
have."
mercury,cougar,2000,Lizzy, 07/17/2003,I Love My Cougar!,4,"I love this car! I was a little 
disappointed with the engine, I figured 
a car that sporty looking would have an 
equally sporty engine. I've heard that 
the Cougar has acceleration problems. I 
guarantee you that everyone who says 
that drives an automatic. I have the I4 
engine and I have never had problem 
accelerating. Get the manual! But this 
car is unique, and you don't see too 
many of them out there, making me just 
that much prouder of my car!"
mercury,cougar,2000,patskar, 07/23/2003,I hate this car,2,"I've had this car almost 3 years and 
have just put in it's 5th alternator.  
I've also had two other separate 
electrical services.  The radio has 
been replaced twice and the hatch 
release has been repaired twice and 
still doesn;t work.  I am so sorry I 
bought this car.  It looks pretty, but 
that's about it."
mercury,cougar,2000,doege, 07/27/2003,costs too much,3,"I will have to spend $600 every year 
after my warranty runs out to replace 
the feul pump. The mechanics that have 
already replaced two have told me no 
matter what I do it will still go out. 
My CD player already doesn't work and 
my car is almost 3 years old. I have 
bought 8 new tires and prices just went 
up in my area to $140 a tire. I would 
never buy a cougar again myself, and I 
would not reccomend buying one to 
anyone else. "
mercury,cougar,2000,Mrhdaisy0, 07/28/2003,I love it!,4,"I wanted a cougar for years before I 
actually bought one.  I'm not at all 
disappointed.  She could handle a bit 
better in the snow, but overall, I love 
her!"
