Company,Model,Year,Reviewer,Date,Title,Rating,Review
porsche,718-boxster,2017,BruceJ, 07/29/2016,My first Porsche (updated),5,"I bought one of the first 718's available, though not on purpose.  I was shopping for a used Boxster but the 718 looks so much better and it's so much faster, it was very hard to resist.  I have a base model with ""only"" about 20K in options - PDK, wheels, nav, lighting upgrades, and the premium package.  The purchasing experience at Sunset Imports was very pleasant and quite easy.  I've driven it about 1000 miles so far so it's not even broken in yet, but this is easily the best car I've ever had the pleasure of driving.

(Update) I've now had the car for most of a year, and have joined the local chapter of the Porsche Club.  The 718 continues to delight me, even when it's sitting in the garage waiting for the snow to melt.  It's rock solid, with no issues or trouble at all, and a pure joy to drive.  I've taken it on several long road trips and find that it gets better gas mileage the faster you go.  Who would have guessed? :)   I can't recommend this car enough.  Drive one and you'll see.
"
porsche,718-boxster,2017,Steve, 02/10/2017,Black Magic box,5,"This is my third Porsche and this one is the best. Performance and road handling are better than a new corvette and $20k less. Fuel economy is better than the 13 model. I test drove the new corvette, the BMW, and the Porsche was much better on ride comfort, controls, handling. We use this vehicle on long trips due to not only being fun to drive, but the fuel economy and comfort are the most important to us. The local service from Porsche is first rate compared to other dealers autos (corvette dealer is terrible). If you buy a Porsche you won't be disappointed.
"
porsche,718-boxster,2017,Sean C, 09/16/2017,7th Heaven in 718S Boxster,5,"I purchased my 2017 718S Boxster in May of 2017. This is my 7th Porsche since 1991. I have had 4 911's, 1 Panamera E-Hybrid S and 1 2003 Boxster. My 2017 718S Boxster is the best so far. It is amazing how Porsche continues to improve every model of car they build. I am very impressed with the performance of the 4 cyl 2.5L Turbo of the 718 S and the fuel economy is fantastic. My most previous Porsche was a 2006 Carrera S Tip. up until this current car, was my favorite.  was great as well as reliability. I had 90K on it when I sold it and bought my 718S. We decided that we wanted a convertible and with the new styling and improved performance, and fuel economy of the 718, it was a no brainer. The PDK transmission is amazing, fast and perfect. The handling is unparalleled to any car in its class. I don't use it as a weekend car, but drive it on a regular basis. I bought it in May and have 6K on the car now and it is glorious. Id recommend it to anyone looking for a fantastic performing sports car that is great looking, fast and fuel efficient. 5 Stars all the way Porsche! Keep it going!!!
"
porsche,718-boxster,2017,David S, 10/14/2018,I'm not sold on the Base model,4,"My 2010 Base was in the shop for major maintenance so I got to drive this Boxster around for three days.  After those three days, I was mostly happy to get my older Boxster back.  My '17 Boxster had a number of options including 20"" wheels and PDK.  I have a number of gripes with the car: 1) acceleration isn't linear.  The turbo kick reminded me a bit of a Saab 900 Turbo. 2) The view out back is greatly restricted.  What happened to the rear window? 3) The engine sound is atrocious, like a chain-driven aircooled Beetle met a 2.5L Subaru.  4) Gross absence of storage nooks. // That said, no doubt this car is faster and looks better.  Handling was a tad softer and the steering slightly less communicative. Surprisingly comfy for 20"" wheels. Otherwise, very similar experiences.  I'd like to test a 2.5T or the GTS.  "
porsche,718-boxster,2017,Sean R, 09/17/2018,"4th Boxster, better than ever!",5,"Our Carrera White PDK 718 Boxster S is our 4th Boxster and without a doubt the best overall Boxster yet. The biggest difference in the new series is the motor. The sound is less compelling at lower RPM’s  but the power is intoxicating throughout the rev range. The 981/982 series has always felt more refined vs the 987 series and with that a bit less connected at times. Perhaps it’s lightening of parts that’s lost a certain heft to things like the doors closing or the switch to electric  steering. There’s a smoothed out refined demeanor that translates to a smoothness in effort on the road along with a maturity about the cars. The new 718 has taken that to the next level of refined sofistication and driving excellence. It’s next to impossible not to be smooth and enjoy this car when driving a backroad. The interior and exterior are subjectively the best looking yet. All in all we are very pleased with this next genation and it really rounds out what one expects or needs in a sports car.
"
porsche,718-boxster,2017,Jeff Berger, 10/31/2018,Boxster 718,5,"Much better acceleration then two models back. Great acceleration at higher speeds too. Top speed of 170 mph with 0 - 60 in 4.9 seconds. PDK is faster 4.2 and 177mpg, but i love stick. Those glorious cup holders are still there. Enough space in back and front trunks. Bluetooth integration easy. Garage door opener can be programmed easily too. Love the new body style, more elegant, sporty and aggressive looking. Don’t have navigation, as I like Siri via Maps, and Sirius Satellite was free for three months but I never renewed as I didn’t use it. Careful as the front air damn is extremely close to the ground. Be careful in driveways and dips. I don’t have break assist to speak to. The only thing I should have gotten is automatic mirror retraction and side and rear view mirror dimming. The value of the car dropped precipitously at the year and year and a half marks, but this is expected in a new sports car. Basically it’s art! I rated a lot of catagories with “ok” as 5 Stars, but this just meant those attributes didn’t matter to me or didn’t apply. So, as you can tell, the only negatives for me are low front airdamn, road traction to a slight degree (I do tend to drive quickly), depreciation and, I forgot, mileage is better than the previous model but is still so so.
"
porsche,718-boxster,2017,Jack, 11/16/2018,Silver bullet!!!!,5,"I bought my 2017 718 S with 6,500 miles. $21,000 below sticker price. It is a beautiful unbelievable driving machine. My advice to anyone looking for a Boxster is to search the market for low mileage pre owned. Lot of fun and so rewarding to lock a deal down. I love this car and will have for years. PDK is so fast and fun!!!!
"
porsche,718-boxster,2018,David , 08/11/2019,A Perfect Sports Car!,5,"I always wanted a car only for me that provides speed, power, agility yet comfortable and quiet on the road and found all the above attributes in the Boxster GTS! Before purchasing this white with red top and red leather interior, I drove a Corvette GS, Mercedes C63S, Mercedes E53, 911 4S Cabriolet but none came close to giving me feeling of closeness and quick reflex of the Boxster GTS. This car feels like perfectly fitted leather gloves. The car feels like a part of me. Because of luxury items and extra cargo space, I was about buy a fully equipped E53; however, it just did not corner and moved like Boxster GTS. The Corvette GS was quick and sounded great but I felt like I was stuck in a bathtub and it was too big. C63S was powerful with awesome sound from the engine but it was too rough, unrefined in its way of moving. Porsche 4S was quick, smooth and moved with grace but just did not feel as intimate and close fitting as Boxster GTS; it felt big and is whole lot bigger than its little brother Boxster. The Boxster GTS is the sports car of my dream. 
"
porsche,718-boxster,2018,Mtaylor, 01/08/2021,Great car despite the terrible dealer experience,5,"Sublime handing, comfortable, much faster than expected, this is simply the best toy car I have ever owned.  It is unfortunate that the dealer fraudulently used my social security number and personal information to sell other cars.  I am still fighting with credit agencies to get my good name back more than a year later.
"
porsche,718-cayman,2017,Phil, 12/10/2016,Where has this car been all my life?!?!,5,"Let's get the disclaimer out of the way first; this is my first Porsche, so I can't do the sound comparison - I'm happy, but I can't compare to ""back in the day."" What I can say is that this is one fine, well-built, high performing vehicle. This car simply attracted me, especially after I couldn't find much else that appealed to me. Several makes and models seemed to be going for luxury at the expense of performance. I've always preferred cars that I drove, rather than ones that drove me. And those were getting increasingly difficult to find. I've always driven manual transmissions, and several ""sport sedans"" and even ""sport cars"" were abandoning them. So I plunked down a deposit in mid-July, knowing I wouldn't get it until around the first of December. It was worth the wait. Is the Porsche 718 Cayman inexpensive? No. But it's also not cheap, either. This is a well put together car with very good materials. It has an intelligent layout that is pretty darn intuitive and easy to understand. It has the smoothest shifting of any of my previous ten cars. I'd always wondered if a car can really feel like ""it corners on rails""; now I know one can. The handling of this car, and its responsiveness, is what I'd dream about if I dreamed about ""the ultimate car."" I wanted a car that would be just plain fun to drive on meandering country roads, and now I've got it. We've all had that one car we felt connected to - I had mine in my late 20s. But this Cayman looks like it will rival, and likely surpass, that connection. I suspect that in a very short time I will know what the car will do, and it will know what I'm up to. I've only had that one other car that generated that level of trust. And the look of this car is stunning (and with better lines than the previous Caymans). Also, a plug for Sun Motor Cars in Pennsylvania, an excellent dealership, is in order. So let's sum it up: looks, handling, the fun quotient, comfort, acceleration, a (gasp!) car with a manual transmission, that feeling of connection, a car that exudes thoughtful class and excellence - yes, this new Cayman checks all the boxes for me. One. Fine. Vehicle.
"
porsche,718-cayman,2017,smerdyakov, 12/02/2016,718: there is no substitute,4,"Having been interested in Porsche for many years, I began reading reviews of the new 718 series as soon as they began to appear. I finally got the chance to drive one (a base Boxster) about a month ago, and I was very impressed: it was superior in every respect to the 2014 Boxster S that I was driving. After thinking it over for a while, I returned to my dealer last week, and drove the base car again, followed by an S. I was again impressed by the base car, but the S clearly had higher performance. Having had a Boxster, I decided to buy a Cayman this time: better visibility, the ability to take it through a car wash, getting away from troublesome sun glare with the top down and less expensive. My dealer (Checkered Flag in Virginia Beach) gave me an outstanding deal, and I bought my new Cayman S on 11-29-16. If you have read reviews that whine about the noise of the new 
engines, ignore them: the new engines have a bass note that is very satisfying. The 718 is also superior to its predecessor in every respect - better steering, better ride, better handling, better acceleration. I am very pleased, as anyone will be who is looking for the quintessential sports car.
Update, 12-2-18. After having this car for 18 months, I got very tired of it. The instruments were hard to read, the controls were hard to see and use safely, and the blurpblurp engine noise got to be very tiresome. In addition, an oxygen sensor sailed after only 2,000 miles. Overall, a nice car, but I will never buy another. I traded it for an Audi TT RS, which is a much better car.
"
porsche,718-cayman,2017,smrt50, 02/05/2017,"Wow, I love my New Porsche Cayman S",5,"I've owned an Porsche Panamera 4 for several years, but decided  to trade it in for the new 2017 Porsche Cayman S.  One word, ""WOW"", this vehicle is a totally Amazing. I enjoyed my Panamera 4, but driving the Cayman S will put a Smile on your face for hours. This vehicle is responsive, amazingly fast, and you'll fall in Love on the test drive.  I researched this vehicle for several months and the reviews were excellent.  After owning my Cayman S for 3 weeks, I have to agree with the Five Star reviews.  I love everything about this car, the ride, handling, responsiveness, comfort, and true Porsche Driving experience.  I thought I would miss my Panamera 4, but once I got behind the wheel of my new Cayman S only one word comes to mind, ""Wow""."
porsche,718-cayman,2017,Thomas E. Ostberg, 03/20/2018,Great Performance,5,"A wonderfully performing two-seater, with an excellent sound system by Bose.  Has superior handling, particularly at speed, and acceleration above sixty miles-per-hour is phenomenal.  The engine can be a bit loud during acceleration, but the sound is terrific.
"
porsche,718-cayman,2017,Porsche 44, 01/11/2018,Neighbors are so Jealous,5,"This is sexy amazing. 2.0 4cylinder is more than enough...for now. Car handles amazing, looks beautiful and begs to be driven [non-permissible content removed]
"
porsche,718-cayman,2017,Jack, 11/15/2018,2017 718 Cayman S,4,"Costs for maintenance seem pretty high, but it is a Porsche.  Cost of the car was fine, it's when you start adding options. Yikes!   Great car, fun to drive.  Sounds OK, but not a beast like the flat 6.
"
porsche,718-cayman,2017,Shannon Roe, 12/18/2019,Best handling SportsCar,5,"She’s got curves, turns heads, accelerates quickly and will be every bit as good to you as you are to her... the Cayman 718 is a goddess. Take her on a back toad, sling her around a few curves and you’ll realize you just met your plus one, your soul mate, your better half. Do yourself a favor and buy the car.  
"
porsche,718-cayman,2018,Ter Louie, 02/01/2019,Nice little car,5,"Have another with flat 3.4 six.   The four sounds very weak in comparison
"
porsche,718-cayman,2018,willy j, 09/18/2020,"Had many options, but chose the Porsche 718",5,"Glad I opted for this brand and model.  Well made; high quality comfortable to drive for me and my wife; and sufficiently fast.  Handles like a slot car on steroids.  The PDK transmission is impressive.  Unless you run 10,000 mile annually, I would not purchase the maintenance package--not worth the cost.
"
porsche,718-cayman,2019,Smerdyakov, 08/09/2019,Porsche is right - there is no substitute,5,"In 2018 I bought an Audi TT RS, which I thought was nearly perfect. That feeling lasted until I drove a high mileage 2012 Cayman R a few days ago. I was very surprised by how superior the driving experience was to my Audi.
Two days later I bought a well optioned 2019 base Cayman with PDK, which felt very similar to the old R that I had driven. I bought a base car rather than an S because the performance is outstanding, more than sufficient for my needs, and it was much less expensive. I am delighted with it, and have resolved to never again buy any sports car but a Porsche. Excellence is expected, and always delivered.
"
porsche,718-cayman,2019,Shandon Boe, 12/11/2019,This was dope,5,"Probably the highest quality car on the market. I suggest you cop this whip.
"
porsche,911,2000,enriver, 09/30/2014,"Best Porsche I ever owned, before my newer one.",5,"Fast and responsive -This Carrera is the best Porsche I have ever owned, it is quick, agile and and feels completely safe on any surface. Gone is the extreme over-steer and the front end lift under acceleration, and at 0-60 in 4.1 seconds, the 997.2 is nothing to sneer at.  I bought this Porsche in 2015 with 9,000 miles, it looks new, it feels new and it is very well maintained and a pleasure to polish. Much maligned by the snobs who call themselves ""purists"" and no more IMS and RMS fear mongering with the new cam drive design. No additional oil between changes.
"
porsche,911,2000,Rob, 05/04/2010,No substitute!,4,"Have owned car about a year, purchased used with 50k on it. Had original window sticker and records. Always wanted a 911 since I was a kid 30 years ago, but fearful of cost of owning a performance German car, but wish I had done it years ago. Awesome driving car, a solid rock. Bullet like acceleration, brakes that stop on a dime and give 9 cents change, on rails handling, visceral exhaust noise. Classic style that will never be mistaken for some pseudo Asian competition. This car is addictive to drive. I find myself always taking the long route home."
porsche,911,2000,Joe, 10/13/2010,Nothing better,4,"I bought this car 5 years ago - speed yellow with black top, and then 28,000 miles. It's almost 11 years old now with 60,000 miles.   No one believes it.   These are phenomenally fun, well- built and fast cars.   I drive mine daily and thoroughly enjoy it.   By far the most satisfying car I've ever owned (and I've owned Mercedes, Audi, Lexus, Toyota, etc...)  There is no doubt that the only thing that will replace it will be a newer 911 convertible - hopefully a Turbo.   In a word - you need one!    "
porsche,911,2000,KaptHero, 10/02/2009,Great Car!!!,4,"I picked this car up used, one owner, 48,000 Miles and it's been a dream.  No oil leaks to speak of, mechanically sound. This is a great daily or just weekend driver.  I change my own oil for under $50 and that is with a K&N Filter and Mobil 1."
porsche,911,2000,New Porschephile, 01/30/2004,Not just a toy,4,"I had never owned a high end sports 
performance car.  This was definitely a 
step up from the Japanese ones I 
previously owned and the newer ones on 
the current market.  Initially, looked 
at buying a Maserati Spyder with F1.  
Oddly another customer at the Ferrari 
dealership recommended trying Porsche 
and I have not looked back.  I thought 
this would be a car that sat in the 
garage to maintain its value with low 
mileage.  I can't stop driving it 
though, taking it to work everyday, 
routine shopping, long-distance trips, 
and sometimes just for fun.  It has 
been a pleasure to drive.  The kids 
want to ride in it all the time as well."
porsche,911,2000,Seamus, 05/13/2002,Two years in,4,"This is my first Porsche.  On the 
whole I am pleased with the car and 
would consider buying another (likely 
a Turbo as I really feel the car needs 
another 50+ hp).  Reliability is 
fairly good although I and many other 
996 owners have had new rear main oil 
seals.  The last factory ECU tune 
downloaded at service now has the 
check engine light flashign on and off."
porsche,911,2000,Gary, 08/04/2018,"Favorite hot wheel as a kid, favorite car at 50.",5,"Waited 3 years to give fair review for this car.  My biggest fear in purchasing this car was cost of maintenance. After 3 years and 28k of spirited driving😀 I love this car. No expensive parts to buy because nothing breaks. I took it 1500 miles south then back with no issues. Owned many sports cars over the years but nothing drives like this. Look forward to running errands. Very drive able in town, and over 4k rpms always bring a rush and roar. Worst I can say about this car is the plastic interior parts could be better. And if that's the worst thing on a car buy it.
"
porsche,911,2000,Greg Adams, 12/07/2019,Love for a maligned automobile.,5,"My car, a 2000 C2 has been my faithful companion. Before buying a car like this, one must understand that maintenance is costly. That said, I'm happy for the exchange between enjoying my sixth Porsche...most of which were great cars had issues of their own. The 996 in its raw form is what Ferdinand Porsche originally believed the evolution of the brand would eventually evolve into. The older cars have issues, this particular car has issues. At the end of the day its all about smiles for miles. My car is a daily driver. Since I've purchased it, the car has had its foibles, nothing major but significantly less the my Ferrari's in the past. Personal opinion....the haters of the look of this car lack appreciation of artistic form meetings exceptional performance. I could go on, but I think I'll go for a drive."
porsche,911,2000,Dan H, 01/06/2018,Great till the engine seizes,4,"I was a victim of a catotrophic engine failure of a 2002 Porsche 911.the car had 65k on it and I DID the IMS bearing fix and clutch replacement while I was at it. I ha e to say up until your well maintained engine seizes it is a wonderful car :-(
"
porsche,911,2000,Thomas, 01/16/2006,"If you can Afford One, Buy It",4,"I have had several air cooled Porsche 911's and this first water cooled auto is a blast to drive and own.  It has great handling and awesome excelleration through the gears.  It can easily handle the C4 Corvettes and most of the tricked out Hondas and Subarus that aren't too tuned up.  I don't waste the gas on the new 350ZX's that pull up and want to go at it.  A lot of people tailgate you out of jealousy, but you get used to it and just slow down to aggravate them.  Through the twisties, nothing out there can keep up with you as long as you stay on the gas pedal, the handling is phenomenal. I am going to sell this car soon and upgrade to a late model 996 Turbo.  "
porsche,911,2000,JG, 07/07/2009,1st Porshe,4,If you have never owned a Porsche. You should at least once in your life. It is not just a car it is pure man and machine made whole in one. It is perfection. Want to go fast in a straight line buy a Vette; want an experience buy the Porsche.
porsche,911,2000,markmjm, 07/29/2003,"Fun To Drive, When its not leaking",4,"I sold my 95 NSX because it couldn't 
safely accommodate children. My 2000
911, of course, can do this, and it's
more comfortable, it offers more
technology (in terms of safety,
performance, etc.), and it is about as
much fun to drive. However, despite
good JD Power reliability ratings I have
been disappointed. With only 6000 easy
miles on the odometer, I've had to deal
with 3 oil leaks -- a pinched O-ring, a
leaky valve cover, and in the past few
days, the main oil seal has begun to
fail.  I understand that 911s have a
reputation for oil leaks but this is a
bit much, especially compared to that
NSX...."
porsche,911,2000,BP69, 07/23/2003,More Power Please,5,"The input from the steering wheel 
always impresses me.  The car is 
terrific to drive, light on its feet, 
and a pleasure to drive.  It needs 
more power though.  I was looking at a 
GT-3 or a turbo but then found TPC on 
the East Coast.  They are shipping me 
a supercharger and I will have around 
440 hp.  Problem solved!!  "
porsche,911,2000,No1touch, 03/20/2004,It's a blast!,5,"This car performs beautifully.  
Precise handling, excellent 
acceleration and great, classic 
styling contribute to a great 
experience in the vehicle.  27 mpg at 
65 mph is a bonus.  It ended up my 
best mileage vehicle."
porsche,911,2000,2000 911 Cabrio, 06/02/2006,2000 911 Cabrio,5,"I've owned this car since new and used it as a weekend toy, and what a toy it is.  On the 1 or 2 occasions where I thought about selling it, I've only had to go and drive it for a few miles and I've come back with a smile on my face.  It's hard to believe that it could be improved on.  The only problems I've had have been with the top was not working correctly when I first got the car.  The performance, handling styling and overall experience of ownership have been above my expectations.  I would absolutely buy another Carrera."
porsche,911,2000,jayman, 03/25/2002,Unbelievable,5,THAT WAS THE BEST CAR I EVER HAD THE MILLAGE ON IT IS GOOD AND I LOVE IT.
porsche,911,2000,DLH, 06/24/2017,I never thought I would own one.,5,"The 996 gets a lot of criticism and I think a lot of that comes from being an easy target because it's a Porsche.  It's like nothing else I've ever driven. There is no practical reason for it to exist and I'd like top thank all of the Porsche enthusiasts for allowing it to exist. I haven't had a motorized method of transport that makes me smile like this since my friend killed my old jet ski. It's the go kart your mom wouldn't let you have as a kid. I never thought a naturally aspirated flat six could be this good. 300 horsepower isn't a big deal in modern cars but the difference is you get to use all 300 horsepower. It's incredibly well built, it's immediately apparent that it was made by true craftsman. It goes like stink all the way to the redline and the sound is delightful. The manual transmission is excellent and the visibility is unmatched by modern vehicles. It's one of the last lightweight cars and it begs to be driven hard. Yes the headlights are awful, the interior is nothing special, the radio is confusing and you have to do a preemptive IMS fix. But I don't care what anyone else thinks, I love it.
"
porsche,911,2000,Pronounced_Porsh-A, 09/14/2004,Love this car!!!,4,"The sound of acceleration is 
intoxicating, as is rolling through a 
slow-speed zone in first or second 
gear. This car turns heads. One minor 
problem is lack of a cup holder. One 
MAJOR problem is that every 20 year 
old idiot in a honda will tailgate 
you, as well the 'never will afford a 
real car' minivan driving middle age 
losers (male and female). Cannot tell 
you how many times I have been driving 
merrily along and some MORON pulls up 
next to me and starts revving his 
engine: especially contractors in 
pickups trucks. Gas milage: 
unbelievebly good. I just re-tread 
with factory spec tires, and the cost 
was under a grand. "
porsche,911,2000,Zordos, 03/09/2004,2000 Porsche 911 Millennium Edition,4,"After arriving back from the Porsche 
Zuffenhausen factory where I went on 
the tour, I felt compelled to promote 
these fine cars. I was blown away by 
not only the legendary performance of 
this fine automobile but also the 
quality of both the components and 
workmanship are matched only by the 
attention to detail in the design. 
There is very little to find fault 
with. Mind you Porsche has been 
refining this car for over 40 years."
porsche,911,2000,Big G, 08/18/2008,A Man's Dream Car,5,"I went from a boxster to my conv. carrera.  What a huge difference in power, speed and handling.  I love getting the looks from other drivers when I pass them and that engine roar makes people turn and admire this powerful looking car.  Like some of you out there, I take it out for a spin and return back home with a smile.  "
