Company,Model,Year,Reviewer,Date,Title,Rating,Review
saab,9-2x,2005,matthewakamatt, 11/25/2014,180k and still love it,4,"The Saabaru is a great blend of sportiness, reliability, and practicality.  It's sporty and powerful enough to stay entertaining for years.  I really enjoy the on boost power, but there's not much low end torque.  Handling is good enough for the street, but it's not really at home on the racetrack.

Mine is still completely stock, and has been incredibly reliable.  I've got almost 180k miles on it, and have only had a few repairs in all that time.

I really like how practical it is.  I frequently load lots of stuff in the back and tow a 5x8 utility trailer with it for household projects."
saab,9-2x,2005,ScottB, 10/30/2005,Su-baab,4,"I would have bought the Impreza wagon but, the seats were too narrow.  However, the Saab Leather seats are slightly wider, much more comfortable.   What astounds me about this car is the fuel mileage.  I drive pretty quickly in town, and get 29-30.  On the highway, I get up to 34 mpg.  Wow."
saab,9-2x,2005,waveho, 04/17/2009,Long-term ownership review,4,"Wife bought the 05 9-2x Linear, with cold weather package (heated seats, windows, leather, etc.) at the end of 2004 to be used exclusively as her primary vehicle in her pharma sales job, which requires a LOT of driving.  About 180,000(!) miles later, its Subaru quality is still shining through.  In all this time, it's only required new tires and brakes at regular intervals. This is a car that is driven often in the back roads of central Virginia and the Appalachia area of West Virginia. It's always burned a bit of oil, and the fog lights have had to be replaced due to sand and rocks thrown from trucks during the winter.  This is a quality car, fun to drive (5-spd).  Highly recommend."
saab,9-2x,2005,estevanker, 12/11/2009,100k Problem-Free Miles!,4,I've been driving this car 150 miles daily to work and back and have not had a single issue with it. The car averages 33mpg and is awesome in the snow and ice. I anticipate driving it another 100k miles.
saab,9-2x,2005,mrdragon016, 04/08/2011,Good First Car,4,"I bought My Saabaru a couple weeks back and everytime i drive it, it brings a huge smile on my face. Its got plenty of kick and can turn on a dime. with a 4 banger as well as AWD its a amazing little car"
saab,9-2x,2005,David, 08/09/2005,9-2X,4,"The 9-2x is not an Audi quattro, or an Evo, or an STi. But it doesn't have the price tag of those other AWD performance cars. What it does have is the basics that the WRX gives you, minus some of the WRX's boy racer bug-eyed-ness, plus a little swedish minimalism along with a superior warranty and maintenance program - for a few thousand dollars less than a new WRX invoice! Of course, I'm talking post-GM employee discount pricing where the numbers went south of $20K. No car is without fault, but this one suits my daily driving demands (both rationally and emotionally) better than any vehicle I've driven in the last 10 years."
saab,9-2x,2005,double75, 04/26/2012,Keeps on ticking!.,4,"I have a 2005 Saab 92x Linear Automatic. I bought it way back when they had the GM employee discount for everybody. So I bought it instead of the Subaru Impreza.the mileage is over 266,000 miles and she keeps on ticking. I makes sure she is dealer tuned every year and I change the oil every 5,000 miles. I've had the rear struts changed. Right as I type this i have her in the shop. I busted three Lug Studs on the left driver rear hub while driving. While i was checking the proper torque on the other lugs, I busted another stud on the front left hub. The dealer busted two studs about two months ago on the back right rear tire during service. The car has been good to me and my family. "
saab,9-2x,2005,Scott, 09/22/2009,"Practical, Reliable, Rally-Bred Monster",4,"Last year I went used shopping for a practical AWD compact for city use and occasional road trips. To my surprise, this turbo Saabaru (which, yes, has an automatic) was the best of the lot by far. Plodding around in town it's as docile as any other auto-compact, yet the turbo means it doesn't run out of steam on the highway (I'm looking at you, SX4/Fit). But it's not all practicality: being a WRX, it's ready to play whenever. Put the tach above 3500 and it hisses, growls, and rips a hole in time. Show it some curves and it annihilates them (it's front heavy, but there's so much grip it almost doesn't matter). Best of all, you can go back to driving casually once you're done abusing the tarmac."
saab,9-2x,2005,amie, 11/09/2008,Great car,4,"I have been slamming the miles on this car which now has 151,000. I have had no problems other than replacing the tires. The paint on the hood  peeled and Saab finally agreed to re paint the hood.  It is a fast car and I get a lot of compliments on it. It still looks new when I clean it up.  Would do it all over again"
saab,9-2x,2005,Rippen Griffin, 02/25/2009,Rippen Griffen 9-2X Aero,4,"Best car I have ever owned! Plenty of interior room for a small family, and the rear seats fold flat for more hauling room.  Super reliable - over 108k miles, and no service repairs!  My car has been modified, to produce ~100 hp over stock hp, and is still a reliable daily driver."
