Company,Model,Year,Reviewer,Date,Title,Rating,Review
suzuki,aerio,2002,blubaustin, 07/21/2013,Suzuki Aerio 2002 GS,3,"Pretty cheap car to buy bought one for $1400 with
95k miles, currently has 98k miles. Pretty good starter car if you can invest the money in it to keep it running. For example: a person who cant consistently pay a car payment ontop of full coverage insurance but can afford to save up money and eventually fix stuff. Car is pretty peppy so I don't know what other people are talking about on the car not having pep. Also seems to get pretty good gas mileage. Hwy it averages about 35mpg city, I haven't really measured."
suzuki,aerio,2002,kimmypoo, 03/31/2009,This Car Should Definately Be Revived!,4,"I bought my car used from a dealership.  Hadn't ever seen any model like it.  I was actually one of the first in my entire community w/ this type of car, stopping traffic w/ people asking me what type of car it was how cute it was.  So, that tells you something about it's looks.  Driving experience has been wonderful.  No problems whatsoever.  I use mine everyday over 123k now and still great.  Roomy (even for 6,4 husband), reliable, works great!  I'd want to buy another one if needed but found it's been discontinued.  W/ this car's reliability record, this should not be!  Bring it back Suzuki!  "
suzuki,aerio,2002,tucsonics, 08/09/2012,Sub-Toyota Quality,2," The quality sucks. I had to have the water pump replaced, engine mounts replaced, right axel replaced, and only have 99k miles. The front spoiler is too low, and got hooked on many curbs. It's trashed and costs $800 to replace. Not worth it. Poor paint job, scratches off easy to reveal black primer on bumpers. "
suzuki,aerio,2002,456, 03/19/2002,AERIO SX,5,"GREAT VEHICLE, LOVE AT FIRST SIGHT, HANDLES WELL, LOTS OF ROOM FOR HAULING, PLUS IT TURNS A LOT OF HEADS GOING DOWN THE STREET. THIS IS MY SECOND SUZUKI THE OTHER ONE ONLY NEEDED OIL CHANGES AND TIRE ROTATIONS."
suzuki,aerio,2002,dee, 07/07/2017,Bad motor,1,"This is our second one. I bought it as a back up. We loved this car in the beginning. we bought it used. it was well taken care of, sense my teenager was driven it and she loved it and she wrecked the first. I tried to make sure i kept this one in good shape. I made sure it was in for servicing checks every 6 weeks. She wanted it to last but it didn't--not even with great care.    All of a sudden the timing went on it.  plus $600 more for other parts--Because my daughter loved it so much..i had to pay to have it fixed. -It was expensive. Then 48 hours after my daughter gets it back it gets low oil pressure light,  it had to be towed -another big expense on it.  Four different places- say the engine is done,  they think the engine seized. I was told by 3 out of the 4 places that no engine is available within 900 miles and the engine that is 900 miles away has a blown head gasket.  I'm upset---The inside of my daughters car is like brand new, the cars body is also like brand new, paint is in perfect condition.  I invested on a brand new paint job the month before. The car now sits in our garage and my credit card is full of the expense.
"
suzuki,aerio,2002,ccox, 07/16/2008,Love this car,4,"Bought this car because I really like the way it drove. Very comfortable, quick response, roomy. At the time I really wanted a Chevy Monte Carlo, but when I test drove it, I decided on the Aerio. Much more room! I have had this car for 4 years and have no complaints, no problems! It's a great car."
suzuki,aerio,2002,Mike, 12/27/2007,175000 and still runs great,3,"I use this car for work. Stop and go driving. I start and stop the engine approx 41 times a day and the car runs for 10-12 hrs at a time.  I have beat this car into construction sites, drilled a guard rail doing 65 mph backwards, and drove it off road nailing rocks and going over logs. I replaced tires, two front wheel bearings at 150,000 miles, 4 front brake rotors, a serpentine belt.  It now needs a full exhaust system and a radiator, its not the most comfortable car on the market or the most fuel effecient but keep good fluids in it and it should provide you with adaquate transportation.  I wouldn't hesitate to buy one again.  "
suzuki,aerio,2002,Bill D., 05/24/2002,I love this car!,5,"I saw the Aerio for the first time at 
the NY Auto Show and was impressed. I 
bought one and love it. It has good 
power, handling, general performance. 
The winshield, and side glass provide a 
lot of visibility, but that means a lot 
of eye strain from light as well as the 
heat from the sun. Also, the LCD 
display on the radio is hard to see in 
direct sun. I've gotten many positive 
comments about the car and my teenage 
son likes it too. I'd recommend the car 
to anyone looking for a sporty, 
affordable, small wagon."
suzuki,aerio,2002,Curtis, 04/30/2010,Great Car!,4,"I got this car 2 years ago with 45,000 miles on it. I have been in 2 accidents with it and it still runs great. It has 94,000 and I've never had a problem with it besides now-a-days it doesn't want to shift right away when I get above 50 mph and my radio has a short. Other than that it is a good starter car. I am looking to get rid of it thought because I want a SUV. "
suzuki,aerio,2002,steven Netti, 09/19/2002,SX,3,"Not Bad

The dealer was bad==not the car

I would buy again elsewhere"
